,Unnamed: 0,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,0,500,Temperature,100.0,1.12174487643,21.121484375,20.547307312,0,0,659.532,659.0
1,1,294,Nitrate,58.8,0.233854851691,7.70866441727,7.74050692312,1,1,415.958333333,416.5
2,2,182,Depth,36.4,29.0164496723,-35.0,-52.4917582418,1,1,415.958333333,416.5
3,3,24,Temperature,4.8,0.527373082418,14.460168457,14.3307866414,1,1,415.958333333,416.5
4,4,423,Depth,84.6,1671.30134292,-25.5,-963.899527187,1,2,250.666666667,248.5
5,5,71,Temperature,14.2,1.25926051568,22.9131713867,22.6145697795,1,2,250.666666667,248.5
6,6,6,Nitrate,1.2,0.0872255169034,0.0448506809771,0.0950493998826,1,2,250.666666667,248.5
7,8,137,Nitrate,27.4,0.301610037466,7.70866441727,7.84382400025,2,3,255.278350515,250.0
8,9,97,Temperature,19.4,4.89557405678,14.2833496094,10.9378575905,2,3,255.278350515,250.0
9,7,266,Depth,53.2,248.426180566,-86.0,-99.9041353383,2,3,255.278350515,250.0
10,10,246,Temperature,49.2,4.81876332497,12.7356811523,9.46876486181,2,4,101.588235294,109.5
11,11,186,Depth,37.2,470.630600051,-64.0,-176.669354839,2,4,101.588235294,109.5
12,12,68,Nitrate,13.6,4.6557032909,9.03385353088,6.70653054293,2,4,101.588235294,109.5
13,13,248,Depth,49.6,1594.16064646,-4004.5,-3759.65322581,2,5,141.304347826,102.0
14,14,137,Temperature,27.4,2.4326732947,23.2915893555,23.6399058544,2,5,141.304347826,102.0
15,15,115,Nitrate,23.0,1.75110824821,0.156859710813,1.26419631395,2,5,141.304347826,102.0
16,18,143,Temperature,28.6,1.22628710865,25.3956542969,25.3709228942,2,6,108.111888112,65.0
17,16,180,Depth,36.0,1529.52982079,-5.0,-710.777777778,2,6,108.111888112,65.0
18,17,177,Nitrate,35.4,0.0643801392543,0.181468248367,0.165494048673,2,6,108.111888112,65.0
19,20,97,Nitrate,19.4,2.00931062909,7.00024223328,5.98875882454,3,7,170.942028986,198.0
20,21,69,Depth,13.8,1489.01092309,-111.5,-756.413043478,3,7,170.942028986,198.0
21,19,334,Temperature,66.8,3.28499344686,6.07457885742,6.87115599124,3,7,170.942028986,198.0
22,22,275,Depth,55.0,770.100217209,-23.5,-248.912727273,3,8,98.7261904762,83.0
23,23,141,Temperature,28.2,5.32859417602,4.71999511719,9.24661315485,3,8,98.7261904762,83.0
24,24,84,Nitrate,16.8,4.55114463899,5.17133617401,5.96733330793,3,8,98.7261904762,83.0
25,25,196,Temperature,39.2,6.1334375132,12.9450927734,10.2375888124,3,9,87.0442477876,84.0
26,26,191,Depth,38.2,1235.12942064,-61.5,-442.356020942,3,9,87.0442477876,84.0
27,27,113,Nitrate,22.6,6.40224905834,10.5755691528,12.0174634803,3,9,87.0442477876,84.0
28,30,114,Nitrate,22.8,5.42675174949,10.5755691528,9.77019398777,3,10,41.9912280702,37.0
29,28,214,Depth,42.8,1786.24095995,-23.0,-1050.75,3,10,41.9912280702,37.0
30,29,172,Temperature,34.4,5.00579268906,8.58828125,8.00842561944,3,10,41.9912280702,37.0
31,33,121,Temperature,24.2,2.61781008045,22.3487792969,23.5287966894,3,11,52.1983471074,35.0
32,32,171,Depth,34.2,2008.83083374,-3795.5,-3431.17251462,3,11,52.1983471074,35.0
33,31,208,Nitrate,41.6,2.00750812076,0.29761454463,1.65963424572,3,11,52.1983471074,35.0
34,34,195,Depth,39.0,1919.8612307,-3908.5,-3034.73846154,3,12,109.731884058,123.5
35,35,167,Nitrate,33.4,1.31786472232,0.136241316795,0.789890753942,3,12,109.731884058,123.5
36,36,138,Temperature,27.6,2.69480999682,25.2982879639,25.311481509,3,12,109.731884058,123.5
37,39,131,Nitrate,26.2,0.664972383053,0.141325354576,0.303995349565,3,13,48.1603053435,35.0
38,37,225,Depth,45.0,1831.42961255,-16.5,-1031.78,3,13,48.1603053435,35.0
39,38,144,Temperature,28.8,1.91013061537,25.5321289063,25.3505287594,3,13,48.1603053435,35.0
40,41,176,Nitrate,35.2,0.333084705351,0.216746300459,0.266294067736,3,14,24.6965517241,12.0
41,42,145,Temperature,29.0,1.44417286637,26.6796508789,26.4057718211,3,14,24.6965517241,12.0
42,40,179,Depth,35.8,1095.38333927,-5.0,-371.715083799,3,14,24.6965517241,12.0
