,N0000: threshold ,N0000: feature ,N0000: n_node_samples ,N0000: RH child ,N0000: LH child ,N0001: threshold ,N0001: feature ,N0001: n_node_samples ,N0001: RH child ,N0001: LH child ,N0002: threshold ,N0002: feature ,N0002: n_node_samples ,N0002: RH child ,N0002: LH child ,N0003: threshold ,N0003: feature ,N0003: n_node_samples ,N0003: RH child ,N0003: LH child ,N0004: threshold ,N0004: feature ,N0004: n_node_samples ,N0004: RH child ,N0004: LH child ,N0005: threshold ,N0005: feature ,N0005: n_node_samples ,N0005: RH child ,N0005: LH child ,N0006: threshold ,N0006: feature ,N0006: n_node_samples ,N0006: RH child ,N0006: LH child ,N0007: threshold ,N0007: feature ,N0007: n_node_samples ,N0007: RH child ,N0007: LH child ,N0008: threshold ,N0008: feature ,N0008: n_node_samples ,N0008: RH child ,N0008: LH child ,N0009: threshold ,N0009: feature ,N0009: n_node_samples ,N0009: RH child ,N0009: LH child ,N0010: threshold ,N0010: feature ,N0010: n_node_samples ,N0010: RH child ,N0010: LH child ,N0011: threshold ,N0011: feature ,N0011: n_node_samples ,N0011: RH child ,N0011: LH child ,N0012: threshold ,N0012: feature ,N0012: n_node_samples ,N0012: RH child ,N0012: LH child ,N0013: threshold ,N0013: feature ,N0013: n_node_samples ,N0013: RH child ,N0013: LH child ,N0014: threshold ,N0014: feature ,N0014: n_node_samples ,N0014: RH child ,N0014: LH child ,N0015: threshold ,N0015: feature ,N0015: n_node_samples ,N0015: RH child ,N0015: LH child ,N0016: threshold ,N0016: feature ,N0016: n_node_samples ,N0016: RH child ,N0016: LH child ,N0017: threshold ,N0017: feature ,N0017: n_node_samples ,N0017: RH child ,N0017: LH child ,N0018: threshold ,N0018: feature ,N0018: n_node_samples ,N0018: RH child ,N0018: LH child ,N0019: threshold ,N0019: feature ,N0019: n_node_samples ,N0019: RH child ,N0019: LH child ,N0020: threshold ,N0020: feature ,N0020: n_node_samples ,N0020: RH child ,N0020: LH child ,N0021: threshold ,N0021: feature ,N0021: n_node_samples ,N0021: RH child ,N0021: LH child ,N0022: threshold ,N0022: feature ,N0022: n_node_samples ,N0022: RH child ,N0022: LH child ,N0023: threshold ,N0023: feature ,N0023: n_node_samples ,N0023: RH child ,N0023: LH child ,N0024: threshold ,N0024: feature ,N0024: n_node_samples ,N0024: RH child ,N0024: LH child ,N0025: threshold ,N0025: feature ,N0025: n_node_samples ,N0025: RH child ,N0025: LH child ,N0026: threshold ,N0026: feature ,N0026: n_node_samples ,N0026: RH child ,N0026: LH child ,N0027: threshold ,N0027: feature ,N0027: n_node_samples ,N0027: RH child ,N0027: LH child ,N0028: threshold ,N0028: feature ,N0028: n_node_samples ,N0028: RH child ,N0028: LH child ,N0029: threshold ,N0029: feature ,N0029: n_node_samples ,N0029: RH child ,N0029: LH child ,N0030: threshold ,N0030: feature ,N0030: n_node_samples ,N0030: RH child ,N0030: LH child ,n_nodes
0,291.2042541503906,WOA_TEMP_K,637,502,1,-36.5,Depth_GEBCO,324,451,2,2.426514148712158,WOA_Nitrate,313,966,503,7.708664417266846,WOA_Nitrate,295,220,3,0.1381014883518219,WOA_Nitrate,29,455,452,294.266357421875,WOA_TEMP_K,291,585,504,292.09619140625,WOA_TEMP_K,22,976,967,-111.5,Depth_GEBCO,135,149,4,274.33856201171875,WOA_TEMP_K,160,318,221,178.38621520996094,SWrad,3,454,453,277.55474853515625,WOA_TEMP_K,26,457,456,-1327.5,Depth_GEBCO,50,562,505,-8.0,Depth_GEBCO,241,953,586,4.449679374694824,WOA_Nitrate,5,969,968,256.7882080078125,SWrad,17,992,977,288.62078857421875,WOA_TEMP_K,91,90,5,196.37701416015625,SWrad,44,217,150,13.422380447387695,WOA_Nitrate,76,225,222,-4057.5,Depth_GEBCO,84,350,319,-2.0,Depth_GEBCO,2,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,2,-1,-1,280.2330322265625,WOA_TEMP_K,24,469,458,133.69747924804688,SWrad,32,525,506,-159.5,Depth_GEBCO,18,568,563,295.5714416503906,SWrad,231,934,587,168.24069213867188,SWrad,10,959,954,-2.0,Depth_GEBCO,1,-1,-1,-157.5,Depth_GEBCO,4,973,970,237.8634033203125,SWrad,9,987,978,-4408.5,Depth_GEBCO,8,998,993,1007
1,288.09173583984375,WOA_TEMP_K,648,402,1,8.340669631958008,WOA_Nitrate,274,175,2,-2048.0,Depth_GEBCO,374,712,403,279.1221008300781,WOA_TEMP_K,107,14,3,274.17742919921875,WOA_TEMP_K,167,265,176,294.3498840332031,WOA_TEMP_K,168,523,404,222.39552307128906,SWrad,206,944,713,277.6365966796875,WOA_TEMP_K,7,9,4,-107.0,Depth_GEBCO,100,108,15,-219.5,Depth_GEBCO,78,238,177,-5471.0,Depth_GEBCO,89,269,266,1.7181329727172852,WOA_Nitrate,65,506,405,2.3994576930999756,WOA_Nitrate,103,695,524,0.13744130730628967,WOA_Nitrate,163,763,714,6.091618537902832,WOA_Nitrate,43,990,945,-414.5,Depth_GEBCO,4,8,5,278.73089599609375,WOA_TEMP_K,3,13,10,266.6202697753906,SWrad,61,107,16,0.7913471460342407,WOA_Nitrate,39,114,109,272.03143310546875,WOA_TEMP_K,37,187,178,260.6512756347656,SWrad,41,260,239,12.788700103759766,WOA_Nitrate,2,268,267,-3782.0,Depth_GEBCO,87,305,270,104.42621612548828,SWrad,56,433,406,291.1061096191406,WOA_TEMP_K,9,516,507,296.7731018066406,WOA_TEMP_K,94,558,525,256.59765625,SWrad,9,701,696,289.698974609375,WOA_TEMP_K,39,722,715,292.46881103515625,WOA_TEMP_K,124,819,764,297.19873046875,WOA_TEMP_K,38,967,946,292.1919860839844,WOA_TEMP_K,5,998,991,999
2,290.92694091796875,WOA_TEMP_K,636,532,1,-34.5,Depth_GEBCO,340,479,2,-507.5,Depth_GEBCO,296,808,533,7.708664417266846,WOA_Nitrate,309,230,3,0.1381014883518219,WOA_Nitrate,31,483,480,296.1441650390625,WOA_TEMP_K,147,639,534,5.163055419921875,WOA_Nitrate,149,1010,809,278.91717529296875,WOA_TEMP_K,143,9,4,274.4586486816406,WOA_TEMP_K,166,334,231,178.38621520996094,SWrad,3,482,481,277.55474853515625,WOA_TEMP_K,28,487,484,3.83925199508667,WOA_Nitrate,58,632,535,308.6314697265625,SWrad,89,805,640,298.7296142578125,WOA_TEMP_K,146,965,810,292.1919860839844,WOA_TEMP_K,3,1014,1011,-414.5,Depth_GEBCO,3,8,5,-111.5,Depth_GEBCO,140,171,10,94.33019256591797,SWrad,75,259,232,-5471.0,Depth_GEBCO,91,336,335,-2.0,Depth_GEBCO,2,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,-14.0,Depth_GEBCO,3,486,485,-22.5,Depth_GEBCO,25,507,488,294.3004150390625,WOA_TEMP_K,54,607,536,249.97879028320312,SWrad,4,636,633,-4841.5,Depth_GEBCO,87,694,641,-3582.0,Depth_GEBCO,2,807,806,0.13744130730628967,WOA_Nitrate,112,848,811,162.73104858398438,SWrad,34,975,966,7.729924201965332,WOA_Nitrate,2,1013,1012,-2.0,Depth_GEBCO,1,-1,-1,1015
3,291.967529296875,WOA_TEMP_K,632,536,1,-36.5,Depth_GEBCO,341,461,2,294.428955078125,WOA_TEMP_K,291,626,537,7.549012660980225,WOA_Nitrate,300,216,3,0.1381014883518219,WOA_Nitrate,41,465,462,5.163601398468018,WOA_Nitrate,61,619,538,-25.5,Depth_GEBCO,230,954,627,-138.5,Depth_GEBCO,130,139,4,281.95379638671875,WOA_TEMP_K,170,404,217,178.38621520996094,SWrad,2,464,463,277.55474853515625,WOA_TEMP_K,39,469,466,-824.5,Depth_GEBCO,57,590,539,-2943.0,Depth_GEBCO,4,623,620,2.116338014602661,WOA_Nitrate,186,931,628,114.78173828125,SWrad,44,956,955,287.47467041015625,SWrad,85,138,5,290.3668212890625,WOA_TEMP_K,45,213,140,280.4107971191406,WOA_TEMP_K,119,393,218,224.91726684570312,SWrad,51,460,405,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,14.916862487792969,WOA_Nitrate,4,468,467,280.0735168457031,WOA_TEMP_K,35,477,470,138.72418212890625,SWrad,31,555,540,191.89501953125,SWrad,26,608,591,7.352665901184082,WOA_Nitrate,2,622,621,292.03125,WOA_TEMP_K,2,625,624,0.026967208832502365,WOA_Nitrate,174,668,629,277.1165771484375,SWrad,12,945,932,-2.0,Depth_GEBCO,1,-1,-1,-13.5,Depth_GEBCO,43,980,957,1001
4,287.60076904296875,WOA_TEMP_K,636,384,1,-36.5,Depth_GEBCO,263,359,2,294.3598937988281,WOA_TEMP_K,373,606,385,-100.5,Depth_GEBCO,248,300,3,277.55474853515625,WOA_TEMP_K,15,363,360,-1883.5,Depth_GEBCO,127,491,386,-16.5,Depth_GEBCO,246,966,607,281.72198486328125,WOA_TEMP_K,190,181,4,9.894987106323242,WOA_Nitrate,58,336,301,222.73602294921875,SWrad,3,362,361,278.9277648925781,WOA_TEMP_K,12,375,364,124.25254821777344,SWrad,62,422,387,-121.5,Depth_GEBCO,65,525,492,265.72412109375,SWrad,223,883,608,-3.0,Depth_GEBCO,23,992,967,7.578326225280762,WOA_Nitrate,96,12,5,284.24737548828125,WOA_TEMP_K,94,253,182,1.4165178537368774,WOA_Nitrate,22,303,302,195.27337646484375,SWrad,36,354,337,-2.0,Depth_GEBCO,2,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,278.73089599609375,WOA_TEMP_K,7,374,365,-35.5,Depth_GEBCO,5,377,376,-2512.0,Depth_GEBCO,18,421,388,197.01022338867188,SWrad,44,436,423,290.9504089355469,WOA_TEMP_K,19,506,493,-12.0,Depth_GEBCO,46,593,526,0.026967208832502365,WOA_Nitrate,169,628,609,-4966.5,Depth_GEBCO,54,911,884,298.35357666015625,WOA_TEMP_K,20,979,968,301.808349609375,WOA_TEMP_K,3,996,993,997
5,292.3228759765625,WOA_TEMP_K,641,544,1,8.340669631958008,WOA_Nitrate,349,317,2,295.11236572265625,SWrad,292,990,545,-111.5,Depth_GEBCO,182,186,3,274.33856201171875,WOA_TEMP_K,167,407,318,294.44244384765625,WOA_TEMP_K,275,633,546,-4386.5,Depth_GEBCO,17,1002,991,290.94134521484375,SWrad,110,185,4,291.41668701171875,WOA_TEMP_K,72,316,187,13.422380447387695,WOA_Nitrate,73,324,319,-5471.0,Depth_GEBCO,94,409,408,-1781.0,Depth_GEBCO,58,598,547,-3853.5,Depth_GEBCO,217,749,634,298.71331787109375,WOA_TEMP_K,6,995,992,0.1966702789068222,WOA_Nitrate,11,1012,1003,288.2003173828125,WOA_TEMP_K,109,96,5,-2.0,Depth_GEBCO,1,-1,-1,0.13190071284770966,WOA_Nitrate,71,193,188,-2.0,Depth_GEBCO,1,-1,-1,11.901006698608398,WOA_Nitrate,10,323,320,17.381458282470703,WOA_Nitrate,63,328,325,-2.0,Depth_GEBCO,1,-1,-1,-34.5,Depth_GEBCO,93,541,410,292.8157958984375,WOA_TEMP_K,29,557,548,2.40669322013855,WOA_Nitrate,29,630,599,1.6827750205993652,WOA_Nitrate,59,736,635,0.13744130730628967,WOA_Nitrate,158,843,750,298.2828369140625,WOA_TEMP_K,2,994,993,0.4093770682811737,WOA_Nitrate,4,999,996,297.8655090332031,SWrad,7,1011,1004,298.763427734375,SWrad,4,1014,1013,1019
6,290.957275390625,WOA_TEMP_K,636,494,1,-100.5,Depth_GEBCO,324,359,2,294.44244384765625,WOA_TEMP_K,312,626,495,8.340669631958008,WOA_Nitrate,226,148,3,277.55474853515625,WOA_TEMP_K,98,383,360,5.14638614654541,WOA_Nitrate,80,619,496,302.22625732421875,WOA_TEMP_K,232,982,627,279.24969482421875,WOA_TEMP_K,92,9,4,24.328594207763672,WOA_Nitrate,134,280,149,274.06243896484375,WOA_TEMP_K,33,380,361,-11.5,Depth_GEBCO,65,483,384,-830.0,Depth_GEBCO,76,582,497,-2943.0,Depth_GEBCO,4,621,620,-16.5,Depth_GEBCO,227,955,628,0.9232615232467651,WOA_Nitrate,5,988,983,-414.5,Depth_GEBCO,4,8,5,287.54779052734375,WOA_TEMP_K,88,95,10,-3784.0,Depth_GEBCO,93,191,150,28.674667358398438,WOA_Nitrate,41,346,281,273.4179992675781,WOA_TEMP_K,30,379,362,-19.5,Depth_GEBCO,3,382,381,-31.5,Depth_GEBCO,57,454,385,170.20423889160156,SWrad,8,493,484,138.72418212890625,SWrad,48,525,498,270.81097412109375,SWrad,28,616,583,-2.0,Depth_GEBCO,1,-1,-1,291.7850341796875,WOA_TEMP_K,3,625,622,2.3994576930999756,WOA_Nitrate,208,942,629,160.11073303222656,SWrad,19,957,956,-3532.0,Depth_GEBCO,4,985,984,-2.0,Depth_GEBCO,1,-1,-1,989
7,291.267822265625,WOA_TEMP_K,635,476,1,7.642237663269043,WOA_Nitrate,312,255,2,3.9878432750701904,WOA_Nitrate,323,970,477,280.0425109863281,WOA_TEMP_K,153,16,3,274.3023681640625,WOA_TEMP_K,159,349,256,294.3768005371094,WOA_TEMP_K,314,569,478,-2532.5,Depth_GEBCO,9,980,971,2.9008095264434814,WOA_Nitrate,9,5,4,-111.5,Depth_GEBCO,144,168,17,274.2248840332031,WOA_TEMP_K,72,348,257,-5471.0,Depth_GEBCO,87,353,350,-1320.0,Depth_GEBCO,60,534,479,-16.0,Depth_GEBCO,254,945,570,4.663288116455078,WOA_Nitrate,5,975,972,291.7850341796875,WOA_TEMP_K,4,984,981,-2.0,Depth_GEBCO,1,-1,-1,277.6365966796875,WOA_TEMP_K,8,11,6,288.77349853515625,WOA_TEMP_K,93,113,18,-22.5,Depth_GEBCO,51,240,169,28.82461929321289,WOA_Nitrate,71,337,258,-2.0,Depth_GEBCO,1,-1,-1,126.93963623046875,SWrad,2,352,351,286.9822998046875,WOA_TEMP_K,85,475,354,138.72418212890625,SWrad,33,497,480,-159.5,Depth_GEBCO,27,544,535,2.175736904144287,WOA_Nitrate,232,928,571,298.35357666015625,WOA_TEMP_K,22,959,946,-3836.5,Depth_GEBCO,2,974,973,-3602.5,Depth_GEBCO,3,979,976,6.9244561195373535,WOA_Nitrate,2,983,982,249.88157653808594,SWrad,2,986,985,987
8,294.3598937988281,WOA_TEMP_K,660,640,1,287.48724365234375,WOA_TEMP_K,410,409,2,-4842.5,Depth_GEBCO,250,702,641,-36.5,Depth_GEBCO,274,388,3,7.115273952484131,WOA_Nitrate,136,635,410,134.87213134765625,SWrad,32,643,642,294.86419677734375,SWrad,218,1002,703,282.4303894042969,WOA_TEMP_K,262,265,4,277.55474853515625,WOA_TEMP_K,12,392,389,-1707.5,Depth_GEBCO,133,532,411,249.64236450195312,SWrad,3,639,636,-2.0,Depth_GEBCO,1,-1,-1,299.3209533691406,WOA_TEMP_K,31,677,644,-27.5,Depth_GEBCO,201,951,704,1.937349796295166,WOA_Nitrate,17,1026,1003,7.642237663269043,WOA_Nitrate,165,44,5,-100.5,Depth_GEBCO,97,377,266,14.916862487792969,WOA_Nitrate,2,391,390,279.3004150390625,WOA_TEMP_K,10,398,393,6.2376790046691895,WOA_Nitrate,72,531,412,-607.5,Depth_GEBCO,61,540,533,7.729924201965332,WOA_Nitrate,2,638,637,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,230.535400390625,SWrad,17,660,645,0.16353215277194977,WOA_Nitrate,14,689,678,269.5973205566406,SWrad,146,926,705,226.00035095214844,SWrad,55,989,952,-3058.0,Depth_GEBCO,15,1019,1004,303.14068603515625,SWrad,2,1028,1027,1029
9,288.6862487792969,WOA_TEMP_K,657,418,1,-100.5,Depth_GEBCO,284,317,2,294.26531982421875,WOA_TEMP_K,373,618,419,292.48211669921875,SWrad,207,316,3,277.55474853515625,WOA_TEMP_K,77,343,318,5.891585350036621,WOA_Nitrate,123,603,420,302.2322082519531,WOA_TEMP_K,250,1004,619,7.642237663269043,WOA_Nitrate,206,97,4,-2.0,Depth_GEBCO,1,-1,-1,271.9990539550781,WOA_TEMP_K,34,330,319,278.9277648925781,WOA_TEMP_K,43,349,344,-824.5,Depth_GEBCO,115,524,421,249.97879028320312,SWrad,8,615,604,-25.5,Depth_GEBCO,247,951,620,-4239.0,Depth_GEBCO,3,1006,1005,279.24969482421875,WOA_TEMP_K,64,6,5,274.17254638671875,WOA_TEMP_K,142,171,98,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,0.5914274454116821,SWrad,8,321,320,125.60437774658203,SWrad,26,334,331,278.73089599609375,WOA_TEMP_K,4,348,345,0.5069922208786011,WOA_Nitrate,39,353,350,3.331477403640747,WOA_Nitrate,60,511,422,0.13190071284770966,WOA_Nitrate,55,542,525,197.39576721191406,SWrad,6,606,605,6.382616996765137,WOA_Nitrate,2,617,616,295.5714416503906,SWrad,198,920,621,301.28076171875,WOA_TEMP_K,49,1003,952,-2.0,Depth_GEBCO,1,-1,-1,263.2928466796875,SWrad,2,1008,1007,1009
