,Unnamed: 0,N0000: threshold ,N0000: feature ,N0000: n_node_samples ,N0000: RH child ,N0000: LH child ,N0001: threshold ,N0001: feature ,N0001: n_node_samples ,N0001: RH child ,N0001: LH child ,N0002: threshold ,N0002: feature ,N0002: n_node_samples ,N0002: RH child ,N0002: LH child ,N0003: threshold ,N0003: feature ,N0003: n_node_samples ,N0003: RH child ,N0003: LH child ,N0004: threshold ,N0004: feature ,N0004: n_node_samples ,N0004: RH child ,N0004: LH child ,N0005: threshold ,N0005: feature ,N0005: n_node_samples ,N0005: RH child ,N0005: LH child ,N0006: threshold ,N0006: feature ,N0006: n_node_samples ,N0006: RH child ,N0006: LH child ,N0007: threshold ,N0007: feature ,N0007: n_node_samples ,N0007: RH child ,N0007: LH child ,N0008: threshold ,N0008: feature ,N0008: n_node_samples ,N0008: RH child ,N0008: LH child ,N0009: threshold ,N0009: feature ,N0009: n_node_samples ,N0009: RH child ,N0009: LH child ,N0010: threshold ,N0010: feature ,N0010: n_node_samples ,N0010: RH child ,N0010: LH child ,N0011: threshold ,N0011: feature ,N0011: n_node_samples ,N0011: RH child ,N0011: LH child ,N0012: threshold ,N0012: feature ,N0012: n_node_samples ,N0012: RH child ,N0012: LH child ,N0013: threshold ,N0013: feature ,N0013: n_node_samples ,N0013: RH child ,N0013: LH child ,N0014: threshold ,N0014: feature ,N0014: n_node_samples ,N0014: RH child ,N0014: LH child ,N0015: threshold ,N0015: feature ,N0015: n_node_samples ,N0015: RH child ,N0015: LH child ,N0016: threshold ,N0016: feature ,N0016: n_node_samples ,N0016: RH child ,N0016: LH child ,N0017: threshold ,N0017: feature ,N0017: n_node_samples ,N0017: RH child ,N0017: LH child ,N0018: threshold ,N0018: feature ,N0018: n_node_samples ,N0018: RH child ,N0018: LH child ,N0019: threshold ,N0019: feature ,N0019: n_node_samples ,N0019: RH child ,N0019: LH child ,N0020: threshold ,N0020: feature ,N0020: n_node_samples ,N0020: RH child ,N0020: LH child ,N0021: threshold ,N0021: feature ,N0021: n_node_samples ,N0021: RH child ,N0021: LH child ,N0022: threshold ,N0022: feature ,N0022: n_node_samples ,N0022: RH child ,N0022: LH child ,N0023: threshold ,N0023: feature ,N0023: n_node_samples ,N0023: RH child ,N0023: LH child ,N0024: threshold ,N0024: feature ,N0024: n_node_samples ,N0024: RH child ,N0024: LH child ,N0025: threshold ,N0025: feature ,N0025: n_node_samples ,N0025: RH child ,N0025: LH child ,N0026: threshold ,N0026: feature ,N0026: n_node_samples ,N0026: RH child ,N0026: LH child ,N0027: threshold ,N0027: feature ,N0027: n_node_samples ,N0027: RH child ,N0027: LH child ,N0028: threshold ,N0028: feature ,N0028: n_node_samples ,N0028: RH child ,N0028: LH child ,N0029: threshold ,N0029: feature ,N0029: n_node_samples ,N0029: RH child ,N0029: LH child ,N0030: threshold ,N0030: feature ,N0030: n_node_samples ,N0030: RH child ,N0030: LH child ,N0031: threshold ,N0031: feature ,N0031: n_node_samples ,N0031: RH child ,N0031: LH child ,N0032: threshold ,N0032: feature ,N0032: n_node_samples ,N0032: RH child ,N0032: LH child ,N0033: threshold ,N0033: feature ,N0033: n_node_samples ,N0033: RH child ,N0033: LH child ,N0034: threshold ,N0034: feature ,N0034: n_node_samples ,N0034: RH child ,N0034: LH child ,N0035: threshold ,N0035: feature ,N0035: n_node_samples ,N0035: RH child ,N0035: LH child ,N0036: threshold ,N0036: feature ,N0036: n_node_samples ,N0036: RH child ,N0036: LH child ,N0037: threshold ,N0037: feature ,N0037: n_node_samples ,N0037: RH child ,N0037: LH child ,N0038: threshold ,N0038: feature ,N0038: n_node_samples ,N0038: RH child ,N0038: LH child ,N0039: threshold ,N0039: feature ,N0039: n_node_samples ,N0039: RH child ,N0039: LH child ,N0040: threshold ,N0040: feature ,N0040: n_node_samples ,N0040: RH child ,N0040: LH child ,N0041: threshold ,N0041: feature ,N0041: n_node_samples ,N0041: RH child ,N0041: LH child ,N0042: threshold ,N0042: feature ,N0042: n_node_samples ,N0042: RH child ,N0042: LH child ,N0043: threshold ,N0043: feature ,N0043: n_node_samples ,N0043: RH child ,N0043: LH child ,N0044: threshold ,N0044: feature ,N0044: n_node_samples ,N0044: RH child ,N0044: LH child ,N0045: threshold ,N0045: feature ,N0045: n_node_samples ,N0045: RH child ,N0045: LH child ,N0046: threshold ,N0046: feature ,N0046: n_node_samples ,N0046: RH child ,N0046: LH child ,N0047: threshold ,N0047: feature ,N0047: n_node_samples ,N0047: RH child ,N0047: LH child ,N0048: threshold ,N0048: feature ,N0048: n_node_samples ,N0048: RH child ,N0048: LH child ,N0049: threshold ,N0049: feature ,N0049: n_node_samples ,N0049: RH child ,N0049: LH child ,N0050: threshold ,N0050: feature ,N0050: n_node_samples ,N0050: RH child ,N0050: LH child ,N0051: threshold ,N0051: feature ,N0051: n_node_samples ,N0051: RH child ,N0051: LH child ,N0052: threshold ,N0052: feature ,N0052: n_node_samples ,N0052: RH child ,N0052: LH child ,N0053: threshold ,N0053: feature ,N0053: n_node_samples ,N0053: RH child ,N0053: LH child ,N0054: threshold ,N0054: feature ,N0054: n_node_samples ,N0054: RH child ,N0054: LH child ,N0055: threshold ,N0055: feature ,N0055: n_node_samples ,N0055: RH child ,N0055: LH child ,N0056: threshold ,N0056: feature ,N0056: n_node_samples ,N0056: RH child ,N0056: LH child ,N0057: threshold ,N0057: feature ,N0057: n_node_samples ,N0057: RH child ,N0057: LH child ,N0058: threshold ,N0058: feature ,N0058: n_node_samples ,N0058: RH child ,N0058: LH child ,N0059: threshold ,N0059: feature ,N0059: n_node_samples ,N0059: RH child ,N0059: LH child ,N0060: threshold ,N0060: feature ,N0060: n_node_samples ,N0060: RH child ,N0060: LH child ,N0061: threshold ,N0061: feature ,N0061: n_node_samples ,N0061: RH child ,N0061: LH child ,N0062: threshold ,N0062: feature ,N0062: n_node_samples ,N0062: RH child ,N0062: LH child ,n_nodes
0,0,291.20425415,Temperature,637,502,1,-36.5,Depth,324,451,2,2.42651414871,Nitrate,313,966,503,7.70866441727,Nitrate,295,220,3,0.138101488352,Nitrate,29,455,452,294.266357422,Temperature,291,585,504,292.096191406,Temperature,22,976,967,-111.5,Depth,135,149,4,274.338562012,Temperature,160,318,221,178.38621521,SWrad,3,454,453,277.554748535,Temperature,26,457,456,-1327.5,Depth,50,562,505,-8.0,Depth,241,953,586,4.44967937469,Nitrate,5,969,968,256.788208008,SWrad,17,992,977,288.620788574,Temperature,91,90,5,196.37701416,SWrad,44,217,150,13.4223804474,Nitrate,76,225,222,-4057.5,Depth,84,350,319,-2.0,Depth,2,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,2,-1,-1,280.233032227,Temperature,24,469,458,133.697479248,SWrad,32,525,506,-159.5,Depth,18,568,563,295.57144165,SWrad,231,934,587,168.240692139,SWrad,10,959,954,-2.0,Depth,1,-1,-1,-157.5,Depth,4,973,970,237.86340332,SWrad,9,987,978,-4408.5,Depth,8,998,993,254.306365967,SWrad,57,89,6,0.118390344083,Nitrate,34,98,91,290.568450928,Temperature,42,216,151,2.81562042236,Nitrate,2,219,218,125.703941345,SWrad,9,224,223,170.751174927,SWrad,67,271,226,-5471.0,Depth,16,321,320,-3668.5,Depth,68,366,351,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,3.6219291687,Nitrate,7,464,459,-11.5,Depth,17,497,470,114.789398193,SWrad,10,522,507,200.233612061,SWrad,22,531,526,189.447601318,SWrad,4,565,564,292.710784912,Temperature,14,576,569,302.233337402,Temperature,217,929,588,0.303570300341,Nitrate,14,952,935,0.12853255868,Nitrate,3,958,955,0.13402685523,Nitrate,7,963,960,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,249.881576538,SWrad,2,972,971,-104.0,Depth,2,975,974,293.991638184,Temperature,6,982,979,298.853515625,Temperature,3,991,988,286.584655762,SWrad,3,997,994,3.16208672523,Nitrate,5,1002,999,1007
1,1,288.09173584,Temperature,648,402,1,8.34066963196,Nitrate,274,175,2,-2048.0,Depth,374,712,403,279.12210083,Temperature,107,14,3,274.177429199,Temperature,167,265,176,294.349884033,Temperature,168,523,404,222.395523071,SWrad,206,944,713,277.63659668,Temperature,7,9,4,-107.0,Depth,100,108,15,-219.5,Depth,78,238,177,-5471.0,Depth,89,269,266,1.71813297272,Nitrate,65,506,405,2.3994576931,Nitrate,103,695,524,0.137441307306,Nitrate,163,763,714,6.0916185379,Nitrate,43,990,945,-414.5,Depth,4,8,5,278.730895996,Temperature,3,13,10,266.620269775,SWrad,61,107,16,0.791347146034,Nitrate,39,114,109,272.031433105,Temperature,37,187,178,260.651275635,SWrad,41,260,239,12.7887001038,Nitrate,2,268,267,-3782.0,Depth,87,305,270,104.426216125,SWrad,56,433,406,291.106109619,Temperature,9,516,507,296.773101807,Temperature,94,558,525,256.59765625,SWrad,9,701,696,289.698974609,Temperature,39,722,715,292.468811035,Temperature,124,819,764,297.198730469,Temperature,38,967,946,292.191986084,Temperature,5,998,991,-535.0,Depth,2,7,6,-2.0,Depth,2,-1,-1,99.6772155762,SWrad,2,12,11,-2.0,Depth,1,-1,-1,281.490661621,Temperature,60,26,17,-2.0,Depth,1,-1,-1,108.531082153,SWrad,4,111,110,-71.0,Depth,35,126,115,85.7319869995,SWrad,6,180,179,24.1699676514,Nitrate,31,203,188,272.293792725,Temperature,31,253,240,277.230194092,SWrad,10,262,261,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,67.0248718262,SWrad,18,272,271,274.763244629,Temperature,69,325,306,290.351989746,Temperature,14,420,407,221.542388916,SWrad,42,463,434,290.269104004,Temperature,5,515,508,294.086425781,Temperature,4,522,517,244.655136108,SWrad,20,549,526,-3733.5,Depth,74,654,559,235.251098633,SWrad,3,698,697,-4408.5,Depth,6,707,702,-374.0,Depth,4,717,716,298.729614258,Temperature,35,754,723,-22.5,Depth,32,802,765,-229.5,Depth,92,835,820,271.364318848,SWrad,18,960,947,-823.0,Depth,20,971,968,-157.5,Depth,4,995,992,-2.0,Depth,1,-1,-1,999
2,2,290.926940918,Temperature,636,532,1,-34.5,Depth,340,479,2,-507.5,Depth,296,808,533,7.70866441727,Nitrate,309,230,3,0.138101488352,Nitrate,31,483,480,296.144165039,Temperature,147,639,534,5.16305541992,Nitrate,149,1010,809,278.917175293,Temperature,143,9,4,274.458648682,Temperature,166,334,231,178.38621521,SWrad,3,482,481,277.554748535,Temperature,28,487,484,3.83925199509,Nitrate,58,632,535,308.631469727,SWrad,89,805,640,298.729614258,Temperature,146,965,810,292.191986084,Temperature,3,1014,1011,-414.5,Depth,3,8,5,-111.5,Depth,140,171,10,94.3301925659,SWrad,75,259,232,-5471.0,Depth,91,336,335,-2.0,Depth,2,-1,-1,-2.0,Depth,1,-1,-1,-14.0,Depth,3,486,485,-22.5,Depth,25,507,488,294.300415039,Temperature,54,607,536,249.978790283,SWrad,4,636,633,-4841.5,Depth,87,694,641,-3582.0,Depth,2,807,806,0.137441307306,Nitrate,112,848,811,162.731048584,SWrad,34,975,966,7.72992420197,Nitrate,2,1013,1012,-2.0,Depth,1,-1,-1,-535.0,Depth,2,7,6,-2.0,Depth,1,-1,-1,275.587799072,SWrad,102,170,11,290.568450928,Temperature,38,229,172,271.655212402,Temperature,18,242,233,29.1711540222,Nitrate,57,331,260,-2.0,Depth,1,-1,-1,-4063.0,Depth,90,372,337,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,2,-1,-1,132.031478882,SWrad,10,496,489,0.986167967319,Nitrate,15,511,508,133.027450562,SWrad,40,556,537,0.0222253873944,Nitrate,14,611,608,292.933502197,Temperature,2,635,634,293.295837402,Temperature,2,638,637,298.649597168,Temperature,28,659,642,0.00943737942725,Nitrate,59,696,695,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-28.0,Depth,37,827,812,-229.5,Depth,75,856,849,-14.5,Depth,9,974,967,-361.0,Depth,25,979,976,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,1015
3,3,291.967529297,Temperature,632,536,1,-36.5,Depth,341,461,2,294.428955078,Temperature,291,626,537,7.54901266098,Nitrate,300,216,3,0.138101488352,Nitrate,41,465,462,5.16360139847,Nitrate,61,619,538,-25.5,Depth,230,954,627,-138.5,Depth,130,139,4,281.953796387,Temperature,170,404,217,178.38621521,SWrad,2,464,463,277.554748535,Temperature,39,469,466,-824.5,Depth,57,590,539,-2943.0,Depth,4,623,620,2.1163380146,Nitrate,186,931,628,114.781738281,SWrad,44,956,955,287.47467041,SWrad,85,138,5,290.366821289,Temperature,45,213,140,280.410797119,Temperature,119,393,218,224.917266846,SWrad,51,460,405,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,14.9168624878,Nitrate,4,468,467,280.073516846,Temperature,35,477,470,138.724182129,SWrad,31,555,540,191.895019531,SWrad,26,608,591,7.35266590118,Nitrate,2,622,621,292.03125,Temperature,2,625,624,0.0269672088325,Nitrate,174,668,629,277.116577148,SWrad,12,945,932,-2.0,Depth,1,-1,-1,-13.5,Depth,43,980,957,279.561035156,Temperature,84,9,6,-2.0,Depth,1,-1,-1,197.364135742,SWrad,43,206,141,290.520507812,Temperature,2,215,214,13.7521343231,Nitrate,113,230,219,280.965789795,Temperature,6,397,394,-5313.0,Depth,50,407,406,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,2,-1,-1,-2.0,Depth,2,-1,-1,278.596130371,Temperature,5,476,471,3.63386106491,Nitrate,30,509,478,293.941711426,Temperature,8,550,541,269.767608643,SWrad,23,585,556,134.047363281,SWrad,17,595,592,292.798522949,Temperature,9,610,609,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,0.00670677982271,Nitrate,23,645,630,-4966.5,Depth,151,704,669,6.46234893799,Nitrate,7,944,933,281.967407227,SWrad,5,947,946,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,298.545654297,Temperature,26,967,958,160.110733032,SWrad,17,982,981,1001
4,4,287.600769043,Temperature,636,384,1,-36.5,Depth,263,359,2,294.359893799,Temperature,373,606,385,-100.5,Depth,248,300,3,277.554748535,Temperature,15,363,360,-1883.5,Depth,127,491,386,-16.5,Depth,246,966,607,281.721984863,Temperature,190,181,4,9.89498710632,Nitrate,58,336,301,222.736022949,SWrad,3,362,361,278.927764893,Temperature,12,375,364,124.252548218,SWrad,62,422,387,-121.5,Depth,65,525,492,265.724121094,SWrad,223,883,608,-3.0,Depth,23,992,967,7.57832622528,Nitrate,96,12,5,284.247375488,Temperature,94,253,182,1.41651785374,Nitrate,22,303,302,195.273376465,SWrad,36,354,337,-2.0,Depth,2,-1,-1,-2.0,Depth,1,-1,-1,278.730895996,Temperature,7,374,365,-35.5,Depth,5,377,376,-2512.0,Depth,18,421,388,197.010223389,SWrad,44,436,423,290.950408936,Temperature,19,506,493,-12.0,Depth,46,593,526,0.0269672088325,Nitrate,169,628,609,-4966.5,Depth,54,911,884,298.35357666,Temperature,20,979,968,301.808349609,Temperature,3,996,993,279.324645996,Temperature,4,9,6,-5471.0,Depth,92,14,13,3.60952043533,Nitrate,66,190,183,-140.0,Depth,28,299,254,-2.0,Depth,2,-1,-1,-86.5,Depth,20,309,304,21.9662246704,Nitrate,20,349,338,17.8302059174,Nitrate,16,358,355,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,43.332321167,SWrad,6,367,366,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,279.632019043,Temperature,4,379,378,-4809.5,Depth,17,406,389,-2.0,Depth,1,-1,-1,292.05090332,Temperature,9,431,424,277.086517334,SWrad,35,484,437,0.198282986879,Nitrate,7,499,494,292.768920898,Temperature,12,518,507,0.2601133883,Nitrate,39,538,527,289.556762695,Temperature,7,599,594,301.408508301,Temperature,14,623,610,-3721.0,Depth,155,700,629,300.463409424,Temperature,14,898,885,0.996178030968,Nitrate,40,955,912,297.62512207,Temperature,9,978,969,0.137780785561,Nitrate,11,987,980,196.848556519,SWrad,2,995,994,-2.0,Depth,1,-1,-1,997
5,5,292.322875977,Temperature,641,544,1,8.34066963196,Nitrate,349,317,2,295.112365723,SWrad,292,990,545,-111.5,Depth,182,186,3,274.338562012,Temperature,167,407,318,294.442443848,Temperature,275,633,546,-4386.5,Depth,17,1002,991,290.941345215,SWrad,110,185,4,291.416687012,Temperature,72,316,187,13.4223804474,Nitrate,73,324,319,-5471.0,Depth,94,409,408,-1781.0,Depth,58,598,547,-3853.5,Depth,217,749,634,298.713317871,Temperature,6,995,992,0.196670278907,Nitrate,11,1012,1003,288.200317383,Temperature,109,96,5,-2.0,Depth,1,-1,-1,0.131900712848,Nitrate,71,193,188,-2.0,Depth,1,-1,-1,11.9010066986,Nitrate,10,323,320,17.3814582825,Nitrate,63,328,325,-2.0,Depth,1,-1,-1,-34.5,Depth,93,541,410,292.815795898,Temperature,29,557,548,2.40669322014,Nitrate,29,630,599,1.6827750206,Nitrate,59,736,635,0.137441307306,Nitrate,158,843,750,298.282836914,Temperature,2,994,993,0.409377068281,Nitrate,4,999,996,297.865509033,SWrad,7,1011,1004,298.763427734,SWrad,4,1014,1013,281.490661621,Temperature,55,17,6,5.04131031036,Nitrate,54,180,97,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,289.337554932,Temperature,3,192,189,277.554748535,Temperature,68,195,194,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,273.512329102,Temperature,2,322,321,-2.0,Depth,8,-1,-1,272.105133057,Temperature,7,327,326,28.6746673584,Nitrate,56,398,329,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-3668.5,Depth,91,448,411,-31.5,Depth,2,543,542,168.488250732,SWrad,5,550,549,147.037109375,SWrad,24,573,558,-162.5,Depth,27,609,600,293.132080078,Temperature,2,632,631,296.809295654,Temperature,52,653,636,2.83357977867,Nitrate,7,742,737,298.729614258,Temperature,72,800,751,-3799.5,Depth,86,845,844,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-5049.5,Depth,2,998,997,300.112060547,SWrad,2,1001,1000,299.782501221,Temperature,6,1006,1005,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-3582.0,Depth,3,1016,1015,1019
6,6,290.957275391,Temperature,636,494,1,-100.5,Depth,324,359,2,294.442443848,Temperature,312,626,495,8.34066963196,Nitrate,226,148,3,277.554748535,Temperature,98,383,360,5.14638614655,Nitrate,80,619,496,302.226257324,Temperature,232,982,627,279.249694824,Temperature,92,9,4,24.3285942078,Nitrate,134,280,149,274.062438965,Temperature,33,380,361,-11.5,Depth,65,483,384,-830.0,Depth,76,582,497,-2943.0,Depth,4,621,620,-16.5,Depth,227,955,628,0.923261523247,Nitrate,5,988,983,-414.5,Depth,4,8,5,287.547790527,Temperature,88,95,10,-3784.0,Depth,93,191,150,28.6746673584,Nitrate,41,346,281,273.417999268,Temperature,30,379,362,-19.5,Depth,3,382,381,-31.5,Depth,57,454,385,170.204238892,SWrad,8,493,484,138.724182129,SWrad,48,525,498,270.810974121,SWrad,28,616,583,-2.0,Depth,1,-1,-1,291.78503418,Temperature,3,625,622,2.3994576931,Nitrate,208,942,629,160.110733032,SWrad,19,957,956,-3532.0,Depth,4,985,984,-2.0,Depth,1,-1,-1,-535.0,Depth,2,7,6,-2.0,Depth,2,-1,-1,281.330078125,Temperature,56,16,11,223.249313354,SWrad,32,131,96,-3791.5,Depth,21,190,151,274.327606201,Temperature,72,209,192,27.8115501404,Nitrate,34,343,282,29.5982627869,Nitrate,7,356,347,272.539794922,Temperature,25,376,363,-2.0,Depth,5,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,2,-1,-1,196.37701416,SWrad,42,449,386,66.9570770264,SWrad,15,456,455,280.234069824,Temperature,6,490,485,-2.0,Depth,2,-1,-1,294.423400879,Temperature,14,524,499,269.767608643,SWrad,34,571,526,-154.0,Depth,24,589,584,0.94848126173,Nitrate,4,618,617,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,244.117126465,SWrad,2,624,623,-2.0,Depth,1,-1,-1,0.0353802442551,Nitrate,201,669,630,4.66328811646,Nitrate,7,950,943,-2.0,Depth,1,-1,-1,-3.0,Depth,18,979,958,-2.0,Depth,1,-1,-1,-2712.5,Depth,3,987,986,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,989
7,7,291.267822266,Temperature,635,476,1,7.64223766327,Nitrate,312,255,2,3.98784327507,Nitrate,323,970,477,280.042510986,Temperature,153,16,3,274.302368164,Temperature,159,349,256,294.376800537,Temperature,314,569,478,-2532.5,Depth,9,980,971,2.90080952644,Nitrate,9,5,4,-111.5,Depth,144,168,17,274.224884033,Temperature,72,348,257,-5471.0,Depth,87,353,350,-1320.0,Depth,60,534,479,-16.0,Depth,254,945,570,4.66328811646,Nitrate,5,975,972,291.78503418,Temperature,4,984,981,-2.0,Depth,1,-1,-1,277.63659668,Temperature,8,11,6,288.773498535,Temperature,93,113,18,-22.5,Depth,51,240,169,28.8246192932,Nitrate,71,337,258,-2.0,Depth,1,-1,-1,126.93963623,SWrad,2,352,351,286.982299805,Temperature,85,475,354,138.724182129,SWrad,33,497,480,-159.5,Depth,27,544,535,2.17573690414,Nitrate,232,928,571,298.35357666,Temperature,22,959,946,-3836.5,Depth,2,974,973,-3602.5,Depth,3,979,976,6.92445611954,Nitrate,2,983,982,249.881576538,SWrad,2,986,985,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-414.5,Depth,4,10,7,-10.5,Depth,4,15,12,281.721984863,Temperature,59,26,19,0.118390344083,Nitrate,34,121,114,290.533630371,Temperature,42,237,170,184.815460205,SWrad,9,252,241,28.0461654663,Nitrate,65,336,259,29.7822380066,Nitrate,6,347,338,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-3706.0,Depth,84,392,355,-2.0,Depth,1,-1,-1,-4825.0,Depth,9,488,481,-2672.0,Depth,24,527,498,292.595092773,Temperature,7,537,536,292.645568848,Temperature,20,558,545,-3721.0,Depth,223,707,572,277.116577148,SWrad,9,938,929,0.136219501495,Nitrate,14,954,947,-9.0,Depth,8,961,960,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,6.62836074829,Nitrate,2,978,977,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,987
8,8,294.359893799,Temperature,660,640,1,287.487243652,Temperature,410,409,2,-4842.5,Depth,250,702,641,-36.5,Depth,274,388,3,7.11527395248,Nitrate,136,635,410,134.872131348,SWrad,32,643,642,294.864196777,SWrad,218,1002,703,282.430389404,Temperature,262,265,4,277.554748535,Temperature,12,392,389,-1707.5,Depth,133,532,411,249.642364502,SWrad,3,639,636,-2.0,Depth,1,-1,-1,299.320953369,Temperature,31,677,644,-27.5,Depth,201,951,704,1.9373497963,Nitrate,17,1026,1003,7.64223766327,Nitrate,165,44,5,-100.5,Depth,97,377,266,14.9168624878,Nitrate,2,391,390,279.300415039,Temperature,10,398,393,6.23767900467,Nitrate,72,531,412,-607.5,Depth,61,540,533,7.72992420197,Nitrate,2,638,637,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,230.535400391,SWrad,17,660,645,0.163532152772,Nitrate,14,689,678,269.597320557,SWrad,146,926,705,226.000350952,SWrad,55,989,952,-3058.0,Depth,15,1019,1004,303.140686035,SWrad,2,1028,1027,278.917175293,Temperature,24,11,6,274.338562012,Temperature,141,158,45,224.960266113,SWrad,91,376,267,4.69896554947,Nitrate,6,387,378,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,98.9543151855,SWrad,4,395,394,41.1118202209,SWrad,6,402,399,141.350982666,SWrad,71,466,413,-2.0,Depth,1,-1,-1,228.781082153,SWrad,4,537,534,-11.5,Depth,57,620,541,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,0.0535940639675,Nitrate,8,653,646,298.451751709,Temperature,9,670,661,289.34777832,SWrad,7,688,679,-5300.5,Depth,7,695,690,297.716186523,Temperature,130,809,706,2.60782146454,Nitrate,16,950,927,0.134873986244,Nitrate,37,980,953,-5.0,Depth,18,999,990,298.863342285,Temperature,9,1014,1005,-140.5,Depth,6,1025,1020,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,1029
9,9,288.686248779,Temperature,657,418,1,-100.5,Depth,284,317,2,294.265319824,Temperature,373,618,419,292.482116699,SWrad,207,316,3,277.554748535,Temperature,77,343,318,5.89158535004,Nitrate,123,603,420,302.232208252,Temperature,250,1004,619,7.64223766327,Nitrate,206,97,4,-2.0,Depth,1,-1,-1,271.999053955,Temperature,34,330,319,278.927764893,Temperature,43,349,344,-824.5,Depth,115,524,421,249.978790283,SWrad,8,615,604,-25.5,Depth,247,951,620,-4239.0,Depth,3,1006,1005,279.249694824,Temperature,64,6,5,274.172546387,Temperature,142,171,98,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,0.591427445412,SWrad,8,321,320,125.604377747,SWrad,26,334,331,278.730895996,Temperature,4,348,345,0.506992220879,Nitrate,39,353,350,3.33147740364,Nitrate,60,511,422,0.131900712848,Nitrate,55,542,525,197.395767212,SWrad,6,606,605,6.38261699677,Nitrate,2,617,616,295.57144165,SWrad,198,920,621,301.280761719,Temperature,49,1003,952,-2.0,Depth,1,-1,-1,263.29284668,SWrad,2,1008,1007,-2.0,Depth,2,-1,-1,281.47769165,Temperature,62,14,7,149.416503906,SWrad,42,124,99,-3706.0,Depth,100,227,172,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,271.508361816,Temperature,7,323,322,17.8159294128,Nitrate,6,333,332,251.052490234,SWrad,20,340,335,278.123596191,Temperature,3,347,346,-2.0,Depth,1,-1,-1,105.499420166,SWrad,3,352,351,-2.5,Depth,36,417,354,289.811706543,Temperature,52,432,423,233.926116943,SWrad,8,521,512,189.012268066,SWrad,11,533,526,254.709854126,SWrad,44,602,543,-2.0,Depth,1,-1,-1,249.642364502,SWrad,5,614,607,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-3726.0,Depth,182,737,622,-4386.5,Depth,16,934,921,298.725585938,Temperature,48,982,953,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,1009
