,Unnamed: 0,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,0,500,Temperature,100.0,1.12174487643,21.121484375,20.547307312,0,0,659.532,659.0
1,1,361,Depth,72.2,27.1907700005,-35.0,-49.41966759,1,1,374.761904762,369.0
2,2,118,Temperature,23.6,0.676717436901,14.460168457,14.3316886773,1,1,374.761904762,369.0
3,3,21,ChlrA,4.2,0.524883981037,1.90560293198,1.73598229317,1,1,374.761904762,369.0
4,4,400,Depth,80.0,1617.34942015,-25.5,-892.7975,1,2,248.071428571,243.5
5,5,70,Temperature,14.0,1.23228623544,22.9180084229,22.6151345389,1,2,248.071428571,243.5
6,6,16,Salinity,3.2,0.439902482468,35.6942367554,35.9525952339,1,2,248.071428571,243.5
7,7,14,ChlrA,2.8,0.0124865332364,0.0819657482207,0.0751198218869,1,2,248.071428571,243.5
8,8,317,Temperature,63.4,1.73626549806,14.9134765625,14.4575462558,2,3,240.0,239.5
9,9,121,Depth,24.2,10.5359740561,-100.0,-101.599173554,2,3,240.0,239.5
10,10,52,ChlrA,10.4,0.677899492818,2.35722601414,1.90889595678,2,3,240.0,239.5
11,11,10,Salinity,2.0,0.831792073278,33.7249488831,34.0247299194,2,3,240.0,239.5
12,15,31,Salinity,6.2,6.00755669449,32.4552536011,30.3712437537,2,4,51.4193548387,47.0
13,14,35,ChlrA,7.0,0.554419585425,2.10065937042,1.86721741472,2,4,51.4193548387,47.0
14,12,288,Temperature,57.6,1.46543360436,4.40474853516,4.34443011814,2,4,51.4193548387,47.0
15,13,146,Depth,29.2,842.746484523,-520.5,-732.02739726,2,4,51.4193548387,47.0
16,16,176,ChlrA,35.2,0.035468002191,0.0822132490575,0.0826879345219,2,5,152.853658537,184.5
17,17,136,Depth,27.2,1771.44509168,-3728.0,-3122.95588235,2,5,152.853658537,184.5
18,18,106,Salinity,21.2,0.595501690876,36.672454834,36.22747011,2,5,152.853658537,184.5
19,19,82,Temperature,16.4,2.25884071686,22.8298278809,23.0377631211,2,5,152.853658537,184.5
20,20,142,ChlrA,28.4,1.92397251981,7.23963928223,6.40850445901,2,6,100.535087719,52.0
21,21,129,Temperature,25.8,1.20503647281,25.3533569336,25.0522359685,2,6,100.535087719,52.0
22,22,115,Depth,23.0,1656.14989356,-16.5,-950.460869565,2,6,100.535087719,52.0
23,23,114,Salinity,22.8,1.43167884489,34.5828437805,34.7715506303,2,6,100.535087719,52.0
24,24,196,Depth,39.2,782.541525084,-100.0,-253.094387755,3,7,233.528301887,242.0
25,25,141,ChlrA,28.2,0.571273148815,2.36435842514,2.11359556305,3,7,233.528301887,242.0
26,26,110,Salinity,22.0,0.811465349553,33.8681240082,34.1666061748,3,7,233.528301887,242.0
27,27,53,Temperature,10.6,4.19789243317,14.7160583496,13.2234487857,3,7,233.528301887,242.0
28,31,21,Salinity,4.2,0.770509578,35.2340011597,35.0020028977,3,8,94.1428571429,96.0
29,30,135,Depth,27.0,1218.28896348,-1591.0,-1720.78148148,3,8,94.1428571429,96.0
30,28,209,Temperature,41.8,5.73960798637,4.40474853516,7.76190670324,3,8,94.1428571429,96.0
31,29,135,ChlrA,27.0,1.69795586887,0.568444490433,1.36511506769,3,8,94.1428571429,96.0
32,32,151,Temperature,30.2,8.25818959071,14.9961181641,10.3048083173,3,9,19.5701754386,6.0
33,33,121,ChlrA,24.2,2.70464152265,1.28204607964,2.81161686015,3,9,19.5701754386,6.0
34,34,114,Depth,22.8,1071.48919766,-14.0,-454.557017544,3,9,19.5701754386,6.0
35,35,114,Salinity,22.8,5.48870590968,29.7196540833,28.4644505016,3,9,19.5701754386,6.0
36,36,251,Depth,50.2,215.563173425,-18.5,-73.1952191235,3,10,35.8333333333,27.0
37,37,131,Salinity,26.2,6.58596232837,32.5130996704,30.3831239657,3,10,35.8333333333,27.0
38,38,70,Temperature,14.0,6.08651038765,15.8725830078,11.7141104562,3,10,35.8333333333,27.0
39,39,48,ChlrA,9.6,2.63595384922,2.39226198196,3.13410819322,3,10,35.8333333333,27.0
40,43,71,Temperature,14.2,2.38106285376,22.4999023438,22.5503827162,3,11,42.8450704225,28.0
41,42,104,Salinity,20.8,0.779829869721,35.6942367554,35.9056388415,3,11,42.8450704225,28.0
42,41,142,ChlrA,28.4,0.111374389803,0.0756409987807,0.111016848138,3,11,42.8450704225,28.0
43,40,183,Depth,36.6,1856.0863656,-4776.0,-3779.07103825,3,11,42.8450704225,28.0
44,44,139,Salinity,27.8,0.792016533547,35.9544563293,35.9898406928,3,12,111.245614035,116.0
45,45,132,Depth,26.4,1839.1481141,-3735.5,-3004.32954545,3,12,111.245614035,116.0
46,46,115,Temperature,23.0,2.66722812605,24.5338989258,24.0931338103,3,12,111.245614035,116.0
47,47,114,ChlrA,22.8,1.41264840327,0.109863504767,0.43205642344,3,12,111.245614035,116.0
48,48,197,Depth,39.4,1299.88061373,-13.5,-464.687817259,3,13,88.950617284,93.0
49,49,122,ChlrA,24.4,3.27711541289,0.394518017769,3.02090982442,3,13,88.950617284,93.0
50,50,100,Temperature,20.0,2.07043393956,24.813394165,24.6724676514,3,13,88.950617284,93.0
51,51,81,Salinity,16.2,1.86796642553,36.4226989746,35.6104170481,3,13,88.950617284,93.0
52,54,110,ChlrA,22.0,3.0935871603,7.11878252029,5.62120683017,3,14,22.8454545455,11.5
53,55,110,Temperature,22.0,1.29115922125,25.4638916016,25.5399469549,3,14,22.8454545455,11.5
54,52,143,Salinity,28.6,2.90392947472,36.357963562,34.6588790467,3,14,22.8454545455,11.5
55,53,137,Depth,27.4,1258.46071621,-12.0,-519.284671533,3,14,22.8454545455,11.5
56,58,99,Depth,19.8,1946.52582534,-152.0,-1765.18686869,3,15,103.625,113.0
57,59,80,Temperature,16.0,4.07975813737,2.82235107422,5.32034111023,3,15,103.625,113.0
58,56,207,Salinity,41.4,0.73507814891,33.8790588379,34.2451324094,3,15,103.625,113.0
59,57,114,ChlrA,22.8,0.474392465204,2.35722601414,2.16293212719,3,15,103.625,113.0
60,60,268,Temperature,53.6,4.00186501844,3.09282836914,5.45245160914,4,16,97.6515151515,80.5
61,61,91,ChlrA,18.2,1.14577911073,1.13388705254,1.5199151663,4,16,97.6515151515,80.5
62,62,75,Salinity,15.0,0.807441345575,34.7682609558,34.4222801717,4,16,97.6515151515,80.5
63,63,66,Depth,13.2,2097.9234018,-477.75,-1920.79545455,4,16,97.6515151515,80.5
64,64,202,Temperature,40.4,6.16172768935,18.8533569336,15.2600873588,4,17,45.375,38.5
65,65,118,ChlrA,23.6,0.773761930797,0.6265604496,0.860123202584,4,17,45.375,38.5
66,66,100,Depth,20.0,1372.42508419,-76.0,-827.38,4,17,45.375,38.5
67,67,80,Salinity,16.0,1.38100945544,34.5145015717,34.3419557095,4,17,45.375,38.5
68,68,151,Temperature,30.2,5.84554062025,16.8496337891,13.7084368371,4,18,40.4897959184,36.0
69,69,144,Salinity,28.8,5.04147674305,34.2779502869,32.7584248649,4,18,40.4897959184,36.0
70,70,107,Depth,21.4,1430.14721416,-253.0,-885.58411215,4,18,40.4897959184,36.0
71,71,98,ChlrA,19.6,3.02733068869,1.82508850098,2.68038381788,4,18,40.4897959184,36.0
72,75,69,Salinity,13.8,4.29351118681,33.8105888367,32.818646431,4,19,17.7391304348,13.0
73,74,106,Temperature,21.2,8.58252918868,15.9847045898,10.9747264934,4,19,17.7391304348,13.0
74,73,112,ChlrA,22.4,1.84050383016,0.524189472198,1.20832869404,4,19,17.7391304348,13.0
75,72,213,Depth,42.6,1024.04960286,-2.0,-243.563380282,4,19,17.7391304348,13.0
76,76,211,Depth,42.2,830.909374544,-2.0,-281.412322275,4,20,22.421686747,16.0
77,77,113,Salinity,22.6,3.59183091635,33.3662109375,33.4715816363,4,20,22.421686747,16.0
78,78,93,ChlrA,18.6,2.36994572458,0.716747999191,1.7041398548,4,20,22.421686747,16.0
79,79,83,Temperature,16.6,8.80737907051,11.2042480469,9.69132109493,4,20,22.421686747,16.0
80,80,146,Salinity,29.2,6.75420312259,31.9197006226,30.5638229749,4,21,17.7604166667,4.0
81,81,130,Temperature,26.0,5.1880884966,16.3969970703,14.49366056,4,21,17.7604166667,4.0
82,82,128,ChlrA,25.6,1.92074223802,2.15866160393,2.53524297511,4,21,17.7604166667,4.0
83,83,96,Depth,19.2,290.237754881,-17.25,-152.421875,4,21,17.7604166667,4.0
84,84,190,Temperature,38.0,3.92601267815,16.3611999512,15.3118547942,4,22,31.5714285714,28.5
85,85,107,ChlrA,21.4,2.64416100516,2.61998057365,3.18246095704,4,22,31.5714285714,28.5
86,86,105,Salinity,21.0,5.55226646276,34.6231002808,32.3685138248,4,22,31.5714285714,28.5
87,87,98,Depth,19.6,71.6317987037,-10.0,-27.2602040816,4,22,31.5714285714,28.5
88,91,81,Salinity,16.2,0.698106236982,35.5194091797,35.5018851669,4,23,28.0864197531,20.0
89,90,105,ChlrA,21.0,0.580846964847,0.0586564987898,0.169444900396,4,23,28.0864197531,20.0
90,88,164,Depth,32.8,2338.8356502,-4770.5,-3614.15853659,4,23,28.0864197531,20.0
91,89,150,Temperature,30.0,2.27934989648,22.4999023438,22.7462786865,4,23,28.0864197531,20.0
92,92,176,Depth,35.2,2079.83835985,-3785.75,-2917.92613636,4,24,42.5196078431,16.0
93,93,119,Salinity,23.8,1.00719222986,36.4226989746,36.0766727864,4,24,42.5196078431,16.0
94,94,103,ChlrA,20.6,0.500921443804,0.0975930020213,0.184620767362,4,24,42.5196078431,16.0
95,95,102,Temperature,20.4,3.11418604087,25.4064575195,24.9001517502,4,24,42.5196078431,16.0
96,96,158,Depth,31.6,2063.83415663,-3676.25,-2877.04746835,4,25,34.8181818182,22.0
97,97,139,Salinity,27.8,0.892176993887,36.1133003235,35.9731978272,4,25,34.8181818182,22.0
98,98,104,ChlrA,20.8,1.07096691971,0.116609498858,0.342316804848,4,25,34.8181818182,22.0
99,99,99,Temperature,19.8,3.38098750846,24.0885253906,24.0981785013,4,25,34.8181818182,22.0
100,103,94,Temperature,18.8,3.3694320143,24.2941986084,24.2484699655,4,26,38.4361702128,15.0
101,100,160,Salinity,32.0,0.899989207648,36.3640594482,36.1224450827,4,26,38.4361702128,15.0
102,101,126,Depth,25.2,1898.55527031,-3712.25,-2595.55952381,4,26,38.4361702128,15.0
103,102,120,ChlrA,24.0,1.78380658618,0.127556249499,0.687120450598,4,26,38.4361702128,15.0
104,107,95,Salinity,19.0,2.78510512137,35.4603004456,34.7376811981,4,27,54.2947368421,34.0
105,106,102,Temperature,20.4,2.18243395123,24.7757507324,24.4602624033,4,27,54.2947368421,34.0
106,105,117,ChlrA,23.4,2.30902051742,0.350963503122,1.86120991367,4,27,54.2947368421,34.0
107,104,186,Depth,37.2,1755.23502362,-15.0,-940.467741935,4,27,54.2947368421,34.0
108,108,166,ChlrA,33.2,3.26676862853,2.98367905617,3.56505025874,4,28,33.1333333333,11.5
109,109,129,Depth,25.8,1577.82261365,-5.0,-741.054263566,4,28,33.1333333333,11.5
110,110,115,Temperature,23.0,2.12157116868,24.7757507324,24.9089209515,4,28,33.1333333333,11.5
111,111,90,Salinity,18.0,3.67323474936,35.226650238,33.8648162842,4,28,33.1333333333,11.5
112,115,93,Temperature,18.6,2.02060577863,24.6211791992,25.1227611911,4,29,20.5591397849,12.0
113,112,198,Depth,39.6,1185.54650434,-6.5,-438.224747475,4,29,20.5591397849,12.0
114,113,113,ChlrA,22.6,2.78964946132,1.292283535,2.45973518168,4,29,20.5591397849,12.0
115,114,96,Salinity,19.2,4.93905141705,35.7853813171,33.601600488,4,29,20.5591397849,12.0
116,117,121,Temperature,24.2,1.36895861674,26.602746582,26.1827967116,4,30,14.4886363636,8.0
117,118,112,ChlrA,22.4,3.77597935218,3.2983174324,3.90354097814,4,30,14.4886363636,8.0
118,116,179,Depth,35.8,1020.64494656,-2.0,-346.220670391,4,30,14.4886363636,8.0
119,119,88,Salinity,17.6,3.74691762877,35.9753417969,33.94516325,4,30,14.4886363636,8.0
