,Unnamed: 0,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,0,500,Temperature,100.0,0.771622339798,21.1153198242,20.5741081543,0,0,653.322,653.0
1,1,227,Nitrate,45.4,0.341225606424,7.70866441727,7.91055468631,1,1,404.547826087,408.0
2,2,158,Depth,31.6,28.4667987837,-94.75,-77.332278481,1,1,404.547826087,408.0
3,3,115,Temperature,23.0,0.488615756724,14.3413024902,14.3685483186,1,1,404.547826087,408.0
4,4,405,Depth,81.0,1324.81488661,-25.5,-513.12962963,1,2,256.071428571,249.0
5,5,81,Temperature,16.2,1.12280854868,23.2335449219,22.6289943365,1,2,256.071428571,249.0
6,6,14,Salinity,2.8,0.357065629594,36.672454834,36.5348033905,1,2,256.071428571,249.0
7,7,336,Depth,67.2,44.2866787501,-100.0,-93.4107142857,2,3,180.5,177.5
8,8,131,Temperature,26.2,1.26201397685,14.5072875977,14.5997870758,2,3,180.5,177.5
9,9,27,Nitrate,5.4,0.310387197853,7.70866441727,7.91006861793,2,3,180.5,177.5
10,10,6,Salinity,1.2,0.019943130919,35.216178894,35.2160835266,2,3,180.5,177.5
11,14,41,Nitrate,8.2,2.74319188485,10.5755691528,10.416417936,2,4,124.463414634,124.0
12,13,88,Salinity,17.6,2.16659172123,33.8644485474,33.7156503309,2,4,124.463414634,124.0
13,11,236,Temperature,47.2,4.79043543966,12.1690917969,9.51567087982,2,4,124.463414634,124.0
14,12,135,Depth,27.0,879.040220046,-1583.5,-1184.58888889,2,4,124.463414634,124.0
15,15,194,Depth,38.8,1875.60161094,-4005.0,-3490.3814433,2,5,137.285714286,186.0
16,16,122,Temperature,24.4,2.3736078149,23.2964111328,23.7695484099,2,5,137.285714286,186.0
17,17,114,Salinity,22.8,0.501788744038,36.6465988159,36.3897483223,2,5,137.285714286,186.0
18,18,70,Nitrate,14.0,1.67899259941,1.44863450527,1.96483577681,2,5,137.285714286,186.0
19,19,244,Depth,48.8,1155.5549209,-9.0,-390.43852459,2,6,64.5925925926,45.0
20,20,93,Temperature,18.6,2.01029724683,24.4751220703,23.8813953687,2,6,64.5925925926,45.0
21,21,82,Nitrate,16.4,0.157298364984,0.181468248367,0.18713726971,2,6,64.5925925926,45.0
22,22,81,Salinity,16.2,2.63807590567,33.3740921021,33.7079425859,2,6,64.5925925926,45.0
23,26,30,Nitrate,6.0,0.599235015903,5.95990467072,6.24565378825,3,7,140.433333333,136.5
24,23,228,Salinity,45.6,1.44191934405,34.7682609558,34.4038742592,3,7,140.433333333,136.5
25,24,189,Temperature,37.8,2.20615827432,18.8808532715,17.3774918168,3,7,140.433333333,136.5
26,25,53,Depth,10.6,1923.47886203,-121.0,-1354.0,3,7,140.433333333,136.5
27,29,104,Temperature,20.8,5.43430690579,4.53145751953,8.29017615685,3,8,82.0416666667,80.5
28,30,72,Depth,14.4,1346.21627817,-32.0,-872.333333333,3,8,82.0416666667,80.5
29,27,187,Salinity,37.4,9.6216124523,31.8460998535,24.1036918661,3,8,82.0416666667,80.5
30,28,137,Nitrate,27.4,3.55453963886,5.94885778427,6.96845726364,3,8,82.0416666667,80.5
31,31,273,Salinity,54.6,5.01295739679,33.8585929871,32.2459185848,3,9,95.2325581395,94.0
32,32,99,Nitrate,19.8,5.11194899093,6.13299703598,7.42869905029,3,9,95.2325581395,94.0
33,33,85,Temperature,17.0,7.59564860817,4.53145751953,8.08620138729,3,9,95.2325581395,94.0
34,34,43,Depth,8.6,1484.55097512,-23.5,-657.558139535,3,9,95.2325581395,94.0
35,35,196,Salinity,39.2,11.2541715314,32.6373977661,29.7483771674,3,10,35.8985507246,37.0
36,36,142,Depth,28.4,1438.32979403,-1011.5,-965.345070423,3,10,35.8985507246,37.0
37,37,93,Temperature,18.6,4.68072114555,13.8286987305,13.1686002342,3,10,35.8985507246,37.0
38,38,69,Nitrate,13.8,5.26076572188,9.56903839111,9.25482347737,3,10,35.8985507246,37.0
39,39,153,Nitrate,30.6,2.05842133132,0.382927447557,1.82069714048,3,11,89.9897959184,69.0
40,40,129,Depth,25.8,1889.59984169,-4701.5,-3654.17829457,3,11,89.9897959184,69.0
41,41,120,Salinity,24.0,3.53258397255,35.6776638031,35.5232371648,3,11,89.9897959184,69.0
42,42,98,Temperature,19.6,2.72604725417,23.2335449219,23.4495626644,3,11,89.9897959184,69.0
43,46,75,Nitrate,15.0,1.83701871356,0.225629776716,0.968202233712,3,12,79.5733333333,44.0
44,45,121,Temperature,24.2,2.49439059578,23.7845397949,24.3709340497,3,12,79.5733333333,44.0
45,44,139,Depth,27.8,1572.18995054,-4004.5,-3452.30935252,3,12,79.5733333333,44.0
46,43,165,Salinity,33.0,7.1472123948,35.6147003174,34.4930909821,3,12,79.5733333333,44.0
47,47,211,Depth,42.2,1611.64540838,-9.0,-710.834123223,3,13,59.6136363636,27.5
48,48,112,Temperature,22.4,2.38926057958,24.7369476318,24.5991269793,3,13,59.6136363636,27.5
49,49,89,Nitrate,17.8,0.702265055869,0.141325354576,0.351118745973,3,13,59.6136363636,27.5
50,50,88,Salinity,17.6,11.0349761544,34.7485485077,30.3665644689,3,13,59.6136363636,27.5
51,51,144,Depth,28.8,1004.54067269,-9.0,-278.611111111,3,14,19.7714285714,11.0
52,52,139,Salinity,27.8,13.5978365034,33.3740921021,27.9052013013,3,14,19.7714285714,11.0
53,53,112,Temperature,22.4,1.66077505826,26.2921234131,25.8013887678,3,14,19.7714285714,11.0
54,54,105,Nitrate,21.0,0.184800359516,0.166119799018,0.203101137476,3,14,19.7714285714,11.0
55,55,253,Salinity,50.6,2.73161552115,34.7616958618,34.2877243781,3,15,67.8571428571,46.0
56,56,124,Nitrate,24.8,3.86859106924,7.81838417053,8.46378585083,3,15,67.8571428571,46.0
57,57,95,Temperature,19.0,5.87211543684,14.5072875977,11.7726540013,3,15,67.8571428571,46.0
58,58,28,Depth,5.6,1986.84204044,-4114.0,-3132.64285714,3,15,67.8571428571,46.0
59,62,45,Salinity,9.0,1.55026067753,34.1322860718,34.3422224257,4,16,81.5555555556,53.0
60,61,91,Temperature,18.2,3.39114811089,14.3977905273,14.9132149833,4,16,81.5555555556,53.0
61,59,204,Nitrate,40.8,2.813993074,5.33013153076,6.02270460958,4,16,81.5555555556,53.0
62,60,160,Depth,32.0,1810.0496769,-740.5,-1475.728125,4,16,81.5555555556,53.0
63,63,231,Salinity,46.2,12.1048360382,31.5777053833,23.0154224619,4,17,38.1527777778,43.0
64,64,109,Temperature,21.8,7.05526972186,10.8487182617,10.3416919393,4,17,38.1527777778,43.0
65,65,88,Nitrate,17.6,6.25773919119,1.28975009918,5.4952958542,4,17,38.1527777778,43.0
66,66,72,Depth,14.4,2041.81853827,-1028.5,-1778.10416667,4,17,38.1527777778,43.0
67,67,233,Salinity,46.6,10.9990635345,32.6216125488,28.5135005943,4,18,31.5180722892,35.0
68,68,93,Temperature,18.6,6.14848169835,13.9810424805,12.1623871178,4,18,31.5180722892,35.0
69,69,91,Depth,18.2,1410.13080373,-26.0,-714.049450549,4,18,31.5180722892,35.0
70,70,83,Nitrate,16.6,6.1695291743,6.34679889679,7.89908889286,4,18,31.5180722892,35.0
71,74,46,Depth,9.2,2084.06486024,-1354.5,-1910.25,4,19,38.1956521739,23.0
