,Unnamed: 0,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,0,500,Temperature,100.0,0.771622339798,21.1153198242,20.5741081543,0,0,653.322,653.0
1,1,247,Temperature,49.4,0.955205788634,14.2833496094,14.1617658484,1,1,396.047619048,395.0
2,2,232,Depth,46.4,29.3748803804,-81.5,-74.9159482759,1,1,396.047619048,395.0
3,3,21,Phosphate,4.2,0.00029937824806,0.53269726038,0.532759033498,1,1,396.047619048,395.0
4,4,403,Depth,80.6,1327.6587012,-25.5,-515.549627792,1,2,246.0,244.5
5,5,81,Temperature,16.2,1.12280854868,23.2335449219,22.6289943365,1,2,246.0,244.5
6,6,12,Salinity,2.4,0.383857783933,36.672454834,36.5140161514,1,2,246.0,244.5
7,7,4,Phosphate,0.8,0.175889043621,0.0330950692296,0.121004223824,1,2,246.0,244.5
8,8,267,Depth,53.4,18.1062160086,-100.5,-104.70411985,2,3,261.0,261.0
9,9,213,Temperature,42.6,1.43654706634,14.5072875977,14.4389959917,2,3,261.0,261.0
10,10,19,Phosphate,3.8,0.000795234617492,0.532649815083,0.532807340747,2,3,261.0,261.0
11,11,1,Salinity,0.2,,31.0684547424,31.0684547424,2,3,261.0,261.0
12,15,18,Salinity,3.6,0.997738651533,32.6216125488,32.8601642185,2,4,53.6666666667,43.0
13,14,46,Phosphate,9.2,0.258571255851,0.93678611517,0.835515596296,2,4,53.6666666667,43.0
14,12,218,Depth,43.6,766.683963248,-1583.5,-1298.46559633,2,4,53.6666666667,43.0
15,13,218,Temperature,43.6,2.9390965385,4.53145751953,5.53614406761,2,4,53.6666666667,43.0
16,16,176,Depth,35.2,1893.02669611,-4005.0,-3412.02556818,2,5,195.99009901,207.0
17,17,112,Temperature,22.4,2.16145242766,23.2915893555,23.6307407379,2,5,195.99009901,207.0
18,18,111,Phosphate,22.2,0.253101820415,0.341753065586,0.33782768471,2,5,195.99009901,207.0
19,19,101,Salinity,20.2,0.529133764875,36.6465988159,36.392666354,2,5,195.99009901,207.0
20,20,253,Depth,50.6,1151.55071446,-9.0,-380.913043478,2,6,48.4897959184,45.0
21,21,116,Temperature,23.2,1.94925586246,24.4751220703,23.7748249449,2,6,48.4897959184,45.0
22,22,82,Salinity,16.4,2.47115660422,33.3740921021,33.7908994628,2,6,48.4897959184,45.0
23,23,49,Phosphate,9.8,0.0967849878685,0.199026048183,0.188128418004,2,6,48.4897959184,45.0
24,24,349,Salinity,69.8,0.592210042713,34.7682609558,34.5290484497,3,7,147.7,133.0
25,25,110,Depth,22.0,2117.77207711,-136.0,-2060.97727273,3,7,147.7,133.0
26,26,31,Phosphate,6.2,0.240687213543,0.0471624359488,0.246545361295,3,7,147.7,133.0
27,27,10,Temperature,2.0,4.58210350424,15.0744567871,13.9391265869,3,7,147.7,133.0
28,31,19,Salinity,3.8,1.36460481344,32.5199508667,32.9671897888,3,8,105.105263158,90.0
29,30,29,Depth,5.8,1364.94301046,-1583.5,-1472.25862069,3,8,105.105263158,90.0
30,28,259,Phosphate,51.8,0.369990774349,0.833049714565,0.749737218972,3,8,105.105263158,90.0
31,29,193,Temperature,38.6,3.32022224834,4.53145751953,5.84507465264,3,8,105.105263158,90.0
32,32,253,Phosphate,50.6,0.353013478179,0.994054615498,0.785499835703,3,9,71.0655737705,83.0
33,33,123,Salinity,24.6,4.4097021392,32.2286453247,31.044952788,3,9,71.0655737705,83.0
34,34,63,Temperature,12.6,7.70778311055,1.70412597656,7.60058710007,3,9,71.0655737705,83.0
35,35,61,Depth,12.2,1225.43852255,-22.5,-666.049180328,3,9,71.0655737705,83.0
36,36,191,Salinity,38.2,3.17709174343,32.6216125488,32.7004730265,3,10,39.6860465116,37.5
37,37,134,Depth,26.8,663.899477874,-22.25,-260.78358209,3,10,39.6860465116,37.5
38,38,89,Phosphate,17.8,0.468033145407,0.983397126198,0.828990033127,3,10,39.6860465116,37.5
39,39,86,Temperature,17.2,5.28840627962,15.5973449707,14.1200645979,3,10,39.6860465116,37.5
40,43,82,Temperature,16.4,2.84234289082,23.2565856934,24.003388791,3,11,103.268292683,73.0
41,42,105,Salinity,21.0,0.750746749773,35.6234130859,35.8674094064,3,11,103.268292683,73.0
42,41,133,Depth,26.6,1939.87395397,-4065.5,-3558.16541353,3,11,103.268292683,73.0
43,40,180,Phosphate,36.0,0.32186322308,0.200665831566,0.350077855323,3,11,103.268292683,73.0
44,44,165,Salinity,33.0,0.64978921343,35.6086616516,35.8354758985,3,12,92.6989247312,67.0
45,45,132,Depth,26.4,1903.6952303,-3799.5,-2939.42045455,3,12,92.6989247312,67.0
46,46,110,Temperature,22.0,2.46442826123,23.5003601074,24.1383483887,3,12,92.6989247312,67.0
47,47,93,Phosphate,18.6,0.202089013376,0.220373034477,0.238763394515,3,12,92.6989247312,67.0
48,48,220,Depth,44.0,1515.50483497,-9.0,-632.070454545,3,13,60.5,30.5
49,49,114,Temperature,22.8,2.41643447506,24.6203857422,24.4181762695,3,13,60.5,30.5
50,50,84,Phosphate,16.8,0.109704555272,0.134443305433,0.15287069626,3,13,60.5,30.5
51,51,82,Salinity,16.4,4.56515498745,35.1678771973,33.2748120703,3,13,60.5,30.5
52,54,111,Temperature,22.2,1.6456280258,26.6796508789,26.1044759115,3,14,16.8431372549,4.0
53,55,102,Phosphate,20.4,0.0787634357295,0.211437284946,0.20826256991,3,14,16.8431372549,4.0
54,52,163,Depth,32.6,866.256142032,-9.0,-202.285276074,3,14,16.8431372549,4.0
55,53,124,Salinity,24.8,2.80014908547,34.5700492859,34.1200799788,3,14,16.8431372549,4.0
56,58,69,Temperature,13.8,5.33209762752,7.04479370117,8.03439472585,3,15,45.3818181818,31.0
57,59,55,Depth,11.0,1747.76156248,-4114.0,-3390.71818182,3,15,45.3818181818,31.0
58,56,205,Phosphate,41.0,0.290562251909,0.724148213863,0.744701941393,3,15,45.3818181818,31.0
59,57,171,Salinity,34.2,0.68199584156,33.8620910645,34.159282952,3,15,45.3818181818,31.0
