,N0000: threshold ,N0000: feature ,N0000: n_node_samples ,N0000: RH child ,N0000: LH child ,N0001: threshold ,N0001: feature ,N0001: n_node_samples ,N0001: RH child ,N0001: LH child ,N0002: threshold ,N0002: feature ,N0002: n_node_samples ,N0002: RH child ,N0002: LH child ,N0003: threshold ,N0003: feature ,N0003: n_node_samples ,N0003: RH child ,N0003: LH child ,N0004: threshold ,N0004: feature ,N0004: n_node_samples ,N0004: RH child ,N0004: LH child ,N0005: threshold ,N0005: feature ,N0005: n_node_samples ,N0005: RH child ,N0005: LH child ,N0006: threshold ,N0006: feature ,N0006: n_node_samples ,N0006: RH child ,N0006: LH child ,N0007: threshold ,N0007: feature ,N0007: n_node_samples ,N0007: RH child ,N0007: LH child ,N0008: threshold ,N0008: feature ,N0008: n_node_samples ,N0008: RH child ,N0008: LH child ,N0009: threshold ,N0009: feature ,N0009: n_node_samples ,N0009: RH child ,N0009: LH child ,N0010: threshold ,N0010: feature ,N0010: n_node_samples ,N0010: RH child ,N0010: LH child ,N0011: threshold ,N0011: feature ,N0011: n_node_samples ,N0011: RH child ,N0011: LH child ,N0012: threshold ,N0012: feature ,N0012: n_node_samples ,N0012: RH child ,N0012: LH child ,N0013: threshold ,N0013: feature ,N0013: n_node_samples ,N0013: RH child ,N0013: LH child ,N0014: threshold ,N0014: feature ,N0014: n_node_samples ,N0014: RH child ,N0014: LH child ,N0015: threshold ,N0015: feature ,N0015: n_node_samples ,N0015: RH child ,N0015: LH child ,N0016: threshold ,N0016: feature ,N0016: n_node_samples ,N0016: RH child ,N0016: LH child ,N0017: threshold ,N0017: feature ,N0017: n_node_samples ,N0017: RH child ,N0017: LH child ,N0018: threshold ,N0018: feature ,N0018: n_node_samples ,N0018: RH child ,N0018: LH child ,N0019: threshold ,N0019: feature ,N0019: n_node_samples ,N0019: RH child ,N0019: LH child ,N0020: threshold ,N0020: feature ,N0020: n_node_samples ,N0020: RH child ,N0020: LH child ,N0021: threshold ,N0021: feature ,N0021: n_node_samples ,N0021: RH child ,N0021: LH child ,N0022: threshold ,N0022: feature ,N0022: n_node_samples ,N0022: RH child ,N0022: LH child ,N0023: threshold ,N0023: feature ,N0023: n_node_samples ,N0023: RH child ,N0023: LH child ,N0024: threshold ,N0024: feature ,N0024: n_node_samples ,N0024: RH child ,N0024: LH child ,N0025: threshold ,N0025: feature ,N0025: n_node_samples ,N0025: RH child ,N0025: LH child ,N0026: threshold ,N0026: feature ,N0026: n_node_samples ,N0026: RH child ,N0026: LH child ,N0027: threshold ,N0027: feature ,N0027: n_node_samples ,N0027: RH child ,N0027: LH child ,N0028: threshold ,N0028: feature ,N0028: n_node_samples ,N0028: RH child ,N0028: LH child ,N0029: threshold ,N0029: feature ,N0029: n_node_samples ,N0029: RH child ,N0029: LH child ,N0030: threshold ,N0030: feature ,N0030: n_node_samples ,N0030: RH child ,N0030: LH child ,n_nodes
0,291.2042541503906,WOA_TEMP_K,637,494,1,32.167152404785156,WOA_Salinity,324,33,2,1.1950759887695312,WOA_Phosphate,313,986,495,20.617704391479492,WOA_Salinity,20,10,3,-101.0,Depth_GEBCO,304,373,34,294.3002014160156,WOA_TEMP_K,309,591,496,-157.5,Depth_GEBCO,4,990,987,0.11621645838022232,WOA_Phosphate,5,5,4,0.05537339672446251,WOA_Phosphate,15,16,11,288.24859619140625,WOA_TEMP_K,212,318,35,276.0759582519531,WOA_TEMP_K,92,397,374,-1462.0,Depth_GEBCO,57,564,497,35.56285095214844,WOA_Salinity,252,849,592,35.11724853515625,WOA_Salinity,2,989,988,35.06298828125,WOA_Salinity,2,992,991,-2.0,Depth_GEBCO,1,-1,-1,-24.0,Depth_GEBCO,4,9,6,31.549549102783203,WOA_Salinity,5,13,12,30.092708587646484,WOA_Salinity,10,26,17,35.058860778808594,WOA_Salinity,180,229,36,1.3112421035766602,WOA_Phosphate,32,372,319,33.3662109375,WOA_Salinity,35,386,375,-11.5,Depth_GEBCO,57,487,398,0.8257946372032166,WOA_Phosphate,36,563,498,-159.5,Depth_GEBCO,21,572,565,-8.0,Depth_GEBCO,160,842,593,0.35044872760772705,WOA_Phosphate,92,957,850,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,993
1,288.09173583984375,WOA_TEMP_K,648,404,1,-100.5,Depth_GEBCO,274,303,2,1.1950759887695312,WOA_Phosphate,374,996,405,35.127750396728516,WOA_Salinity,192,216,3,276.0759582519531,WOA_TEMP_K,82,327,304,294.271484375,WOA_TEMP_K,368,617,406,-300.0,Depth_GEBCO,6,1002,997,0.7323330640792847,WOA_Phosphate,116,51,4,286.7659606933594,WOA_TEMP_K,76,290,217,33.3662109375,WOA_Salinity,38,316,305,278.68365478515625,WOA_TEMP_K,44,331,328,-824.5,Depth_GEBCO,119,534,407,35.58051300048828,WOA_Salinity,249,859,618,290.4570617675781,WOA_TEMP_K,3,999,998,291.80633544921875,WOA_TEMP_K,3,1006,1003,0.554176926612854,WOA_Phosphate,26,40,5,1.2633082866668701,WOA_Phosphate,90,101,52,283.69390869140625,WOA_TEMP_K,67,273,218,0.17142647504806519,WOA_Phosphate,9,294,291,32.22864532470703,WOA_Salinity,29,307,306,273.37530517578125,WOA_TEMP_K,9,326,317,0.5490516424179077,WOA_Phosphate,2,330,329,33.81000518798828,WOA_Salinity,42,343,332,0.6521815061569214,WOA_Phosphate,68,527,408,-253.0,Depth_GEBCO,51,548,535,-5650.5,Depth_GEBCO,156,626,619,0.430062472820282,WOA_Phosphate,93,987,860,-2.0,Depth_GEBCO,1,-1,-1,35.1297492980957,WOA_Salinity,2,1001,1000,1.3179478645324707,WOA_Phosphate,2,1005,1004,-2.0,Depth_GEBCO,1,-1,-1,1007
2,290.92694091796875,WOA_TEMP_K,636,526,1,-34.5,Depth_GEBCO,340,477,2,1.1950759887695312,WOA_Phosphate,296,1006,527,-100.5,Depth_GEBCO,309,396,3,0.07524719834327698,WOA_Phosphate,31,479,478,296.34661865234375,WOA_TEMP_K,292,703,528,292.1919860839844,WOA_TEMP_K,4,1012,1007,33.25849533081055,WOA_Salinity,244,19,4,280.5597839355469,WOA_TEMP_K,65,422,397,-2.0,Depth_GEBCO,3,-1,-1,277.55474853515625,WOA_TEMP_K,28,483,480,-600.5,Depth_GEBCO,104,632,529,-27.5,Depth_GEBCO,188,961,704,35.0843505859375,WOA_Salinity,3,1009,1008,-2.0,Depth_GEBCO,1,-1,-1,1.0304207801818848,WOA_Phosphate,9,16,5,-4090.0,Depth_GEBCO,235,147,20,272.539794921875,WOA_TEMP_K,29,409,398,290.5684509277344,WOA_TEMP_K,36,476,423,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,1.1973259449005127,WOA_Phosphate,3,482,481,-22.5,Depth_GEBCO,25,503,484,36.698150634765625,WOA_Salinity,57,617,530,-213.5,Depth_GEBCO,47,644,633,0.38626784086227417,WOA_Phosphate,147,934,705,0.20367206633090973,WOA_Phosphate,41,1003,962,-2.0,Depth_GEBCO,1,-1,-1,35.11724853515625,WOA_Salinity,2,1011,1010,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,1013
3,291.967529296875,WOA_TEMP_K,632,534,1,-36.5,Depth_GEBCO,341,461,2,294.428955078125,WOA_TEMP_K,291,626,535,284.2025451660156,WOA_TEMP_K,300,302,3,0.07524719834327698,WOA_Phosphate,41,463,462,0.8716027736663818,WOA_Phosphate,61,621,536,-25.5,Depth_GEBCO,230,948,627,282.4303894042969,WOA_TEMP_K,205,233,4,-140.5,Depth_GEBCO,95,418,303,-2.0,Depth_GEBCO,2,-1,-1,277.55474853515625,WOA_TEMP_K,39,467,464,0.04444471746683121,WOA_Phosphate,58,550,537,292.4751892089844,WOA_TEMP_K,3,625,622,35.069000244140625,WOA_Salinity,186,789,628,36.50326156616211,WOA_Salinity,44,992,949,0.5881981253623962,WOA_Phosphate,141,46,5,35.199745178222656,WOA_Salinity,64,243,234,0.6837392449378967,WOA_Phosphate,68,411,304,32.75054931640625,WOA_Salinity,27,424,419,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,274.8541259765625,WOA_TEMP_K,4,466,465,280.0735168457031,WOA_TEMP_K,35,475,468,-2384.5,Depth_GEBCO,12,541,538,36.63465118408203,WOA_Salinity,46,608,551,292.03125,WOA_TEMP_K,2,624,623,-2.0,Depth_GEBCO,1,-1,-1,34.252601623535156,WOA_Salinity,95,722,629,0.6626355648040771,WOA_Phosphate,91,945,790,-8.0,Depth_GEBCO,39,979,950,0.05903390794992447,WOA_Phosphate,5,998,993,999
4,287.60076904296875,WOA_TEMP_K,636,380,1,-36.5,Depth_GEBCO,263,355,2,294.3598937988281,WOA_TEMP_K,373,602,381,-100.5,Depth_GEBCO,248,296,3,277.55474853515625,WOA_TEMP_K,15,359,356,-1883.5,Depth_GEBCO,127,489,382,35.613914489746094,WOA_Salinity,246,864,603,33.885887145996094,WOA_Salinity,190,95,4,-38.0,Depth_GEBCO,58,332,297,23.056198120117188,WOA_Salinity,3,358,357,278.9277648925781,WOA_TEMP_K,12,371,360,289.81170654296875,WOA_TEMP_K,62,406,383,-121.5,Depth_GEBCO,65,523,490,-16.5,Depth_GEBCO,159,843,604,0.35044872760772705,WOA_Phosphate,87,970,865,0.6251562833786011,WOA_Phosphate,51,10,5,-5438.5,Depth_GEBCO,139,101,96,35.24420166015625,WOA_Salinity,22,331,298,32.22864532470703,WOA_Salinity,36,334,333,-2.0,Depth_GEBCO,2,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,278.73089599609375,WOA_TEMP_K,7,370,361,-35.5,Depth_GEBCO,5,373,372,35.0843505859375,WOA_Salinity,12,389,384,36.69533920288086,WOA_Salinity,50,474,407,34.94709777832031,WOA_Salinity,19,506,491,-12.0,Depth_GEBCO,46,589,524,301.6761474609375,WOA_TEMP_K,142,812,605,33.37409210205078,WOA_Salinity,17,853,844,-261.5,Depth_GEBCO,77,933,866,36.07200622558594,WOA_Salinity,10,986,971,989
5,292.3228759765625,WOA_TEMP_K,641,534,1,287.60076904296875,WOA_TEMP_K,349,371,2,296.349609375,WOA_TEMP_K,292,690,535,-100.5,Depth_GEBCO,257,276,3,1.1950759887695312,WOA_Phosphate,92,527,372,-740.5,Depth_GEBCO,98,623,536,35.535552978515625,WOA_Salinity,194,902,691,-4817.0,Depth_GEBCO,180,29,4,0.5991256833076477,WOA_Phosphate,77,344,277,32.621612548828125,WOA_Salinity,88,396,373,-733.0,Depth_GEBCO,4,529,528,0.6932586431503296,WOA_Phosphate,48,618,537,-213.5,Depth_GEBCO,50,639,624,-16.5,Depth_GEBCO,129,883,692,36.51840591430664,WOA_Salinity,65,976,903,-4837.5,Depth_GEBCO,14,28,5,33.885887145996094,WOA_Salinity,166,111,30,17.60360336303711,WOA_Salinity,47,279,278,1.29695725440979,WOA_Phosphate,30,352,345,31.255159378051758,WOA_Salinity,13,387,374,-81.5,Depth_GEBCO,75,484,397,-2.0,Depth_GEBCO,1,-1,-1,1.213870882987976,WOA_Phosphate,3,531,530,36.691253662109375,WOA_Salinity,45,599,538,-3386.5,Depth_GEBCO,3,620,619,35.35011291503906,WOA_Salinity,11,626,625,36.62903594970703,WOA_Salinity,39,687,640,34.073814392089844,WOA_Salinity,111,772,693,-3.0,Depth_GEBCO,18,899,884,299.548583984375,WOA_TEMP_K,47,949,904,36.846900939941406,WOA_Salinity,18,992,977,1005
6,290.957275390625,WOA_TEMP_K,636,488,1,-100.5,Depth_GEBCO,324,353,2,1.2070443630218506,WOA_Phosphate,312,974,489,33.63398742675781,WOA_Salinity,226,40,3,0.06011191010475159,WOA_Phosphate,98,355,354,294.44244384765625,WOA_TEMP_K,309,617,490,35.09858703613281,WOA_Salinity,3,978,975,33.62764358520508,WOA_Salinity,21,39,4,287.54779052734375,WOA_TEMP_K,205,304,41,-2.0,Depth_GEBCO,2,-1,-1,277.55474853515625,WOA_TEMP_K,96,379,356,-830.0,Depth_GEBCO,77,580,491,35.5682487487793,WOA_Salinity,232,849,618,1.3179478645324707,WOA_Phosphate,2,977,976,-2.0,Depth_GEBCO,1,-1,-1,0.6251562833786011,WOA_Phosphate,19,14,5,-2.0,Depth_GEBCO,2,-1,-1,34.990501403808594,WOA_Salinity,175,209,42,290.16302490234375,WOA_TEMP_K,30,330,305,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,32.41508865356445,WOA_Salinity,33,362,357,280.0425109863281,WOA_TEMP_K,63,387,380,0.22937411069869995,WOA_Phosphate,49,553,492,36.61493682861328,WOA_Salinity,28,610,581,-16.5,Depth_GEBCO,147,830,619,299.6906433105469,WOA_TEMP_K,85,943,850,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,979
7,291.267822265625,WOA_TEMP_K,635,478,1,32.167152404785156,WOA_Salinity,312,33,2,1.1950759887695312,WOA_Phosphate,323,984,479,-544.0,Depth_GEBCO,17,4,3,-36.5,Depth_GEBCO,295,449,34,294.3768005371094,WOA_TEMP_K,319,575,480,35.0843505859375,WOA_Salinity,4,988,985,-2.0,Depth_GEBCO,1,-1,-1,12.688749313354492,WOA_Salinity,16,8,5,288.6862487792969,WOA_TEMP_K,280,388,35,-11.5,Depth_GEBCO,15,473,450,-1320.0,Depth_GEBCO,61,540,481,-16.0,Depth_GEBCO,258,959,576,1.3179478645324707,WOA_Phosphate,2,987,986,35.11724853515625,WOA_Salinity,2,990,989,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,0.3121640384197235,WOA_Phosphate,2,7,6,-218.0,Depth_GEBCO,14,12,9,35.23400115966797,WOA_Salinity,240,299,36,1.1502370834350586,WOA_Phosphate,40,448,389,34.96794128417969,WOA_Salinity,12,472,451,0.6103842854499817,WOA_Phosphate,3,477,474,0.047162435948848724,WOA_Phosphate,34,485,482,-159.5,Depth_GEBCO,27,550,541,0.39426693320274353,WOA_Phosphate,236,922,577,298.35357666015625,WOA_TEMP_K,22,973,960,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,991
8,294.3598937988281,WOA_TEMP_K,660,638,1,287.48724365234375,WOA_TEMP_K,410,409,2,-4842.5,Depth_GEBCO,250,700,639,-36.5,Depth_GEBCO,274,388,3,0.8716027736663818,WOA_Phosphate,136,627,410,0.04282689094543457,WOA_Phosphate,32,645,640,34.488948822021484,WOA_Salinity,218,842,701,35.23884582519531,WOA_Salinity,262,313,4,277.55474853515625,WOA_TEMP_K,12,392,389,-1436.5,Depth_GEBCO,130,532,411,-444.0,Depth_GEBCO,6,635,628,34.37034606933594,WOA_Salinity,4,642,641,35.58179473876953,WOA_Salinity,28,675,646,34.37750244140625,WOA_Salinity,85,823,702,36.689849853515625,WOA_Salinity,133,1012,843,0.5916485786437988,WOA_Phosphate,190,88,5,-205.5,Depth_GEBCO,72,365,314,1.1973259449005127,WOA_Phosphate,2,391,390,279.3004150390625,WOA_TEMP_K,10,398,393,0.04928658902645111,WOA_Phosphate,71,419,412,0.05537339672446251,WOA_Phosphate,59,550,533,35.023048400878906,WOA_Salinity,4,632,629,-246.5,Depth_GEBCO,2,637,636,-2.0,Depth_GEBCO,1,-1,-1,298.29559326171875,WOA_TEMP_K,3,644,643,0.2907925248146057,WOA_Phosphate,15,668,647,35.91300964355469,WOA_Salinity,13,683,676,33.70155334472656,WOA_Salinity,75,780,703,34.46215057373047,WOA_Salinity,10,839,824,0.6965917348861694,WOA_Phosphate,123,1009,844,36.8832893371582,WOA_Salinity,10,1022,1013,1031
9,288.6862487792969,WOA_TEMP_K,657,416,1,-100.5,Depth_GEBCO,284,315,2,294.26531982421875,WOA_TEMP_K,373,622,417,33.79804992675781,WOA_Salinity,207,56,3,277.55474853515625,WOA_TEMP_K,77,341,316,0.8716027736663818,WOA_Phosphate,123,609,418,0.07572634518146515,WOA_Phosphate,250,690,623,0.6251562833786011,WOA_Phosphate,32,7,4,283.95556640625,WOA_TEMP_K,175,258,57,271.9990539550781,WOA_TEMP_K,34,328,317,278.9277648925781,WOA_TEMP_K,43,347,342,32.621612548828125,WOA_Salinity,116,446,419,291.3336181640625,WOA_TEMP_K,7,613,610,-1438.0,Depth_GEBCO,54,653,624,302.2322082519531,WOA_TEMP_K,196,1008,691,25.989849090576172,WOA_Salinity,3,6,5,33.786109924316406,WOA_Salinity,29,55,8,1.6449341773986816,WOA_Phosphate,138,219,58,34.07060241699219,WOA_Salinity,37,260,259,271.402099609375,WOA_TEMP_K,8,319,318,32.41508865356445,WOA_Salinity,26,334,329,0.49405917525291443,WOA_Phosphate,4,344,343,0.156174436211586,WOA_Phosphate,39,349,348,31.255159378051758,WOA_Salinity,15,439,420,-415.5,Depth_GEBCO,101,558,447,1.418482780456543,WOA_Phosphate,2,612,611,292.1919860839844,WOA_TEMP_K,5,619,614,0.010532507672905922,WOA_Phosphate,16,628,625,-229.5,Depth_GEBCO,38,667,654,-24.5,Depth_GEBCO,193,979,692,-4239.0,Depth_GEBCO,3,1010,1009,1013
