,Unnamed: 0,N0000: threshold ,N0000: feature ,N0000: n_node_samples ,N0000: RH child ,N0000: LH child ,N0001: threshold ,N0001: feature ,N0001: n_node_samples ,N0001: RH child ,N0001: LH child ,N0002: threshold ,N0002: feature ,N0002: n_node_samples ,N0002: RH child ,N0002: LH child ,N0003: threshold ,N0003: feature ,N0003: n_node_samples ,N0003: RH child ,N0003: LH child ,N0004: threshold ,N0004: feature ,N0004: n_node_samples ,N0004: RH child ,N0004: LH child ,N0005: threshold ,N0005: feature ,N0005: n_node_samples ,N0005: RH child ,N0005: LH child ,N0006: threshold ,N0006: feature ,N0006: n_node_samples ,N0006: RH child ,N0006: LH child ,N0007: threshold ,N0007: feature ,N0007: n_node_samples ,N0007: RH child ,N0007: LH child ,N0008: threshold ,N0008: feature ,N0008: n_node_samples ,N0008: RH child ,N0008: LH child ,N0009: threshold ,N0009: feature ,N0009: n_node_samples ,N0009: RH child ,N0009: LH child ,N0010: threshold ,N0010: feature ,N0010: n_node_samples ,N0010: RH child ,N0010: LH child ,N0011: threshold ,N0011: feature ,N0011: n_node_samples ,N0011: RH child ,N0011: LH child ,N0012: threshold ,N0012: feature ,N0012: n_node_samples ,N0012: RH child ,N0012: LH child ,N0013: threshold ,N0013: feature ,N0013: n_node_samples ,N0013: RH child ,N0013: LH child ,N0014: threshold ,N0014: feature ,N0014: n_node_samples ,N0014: RH child ,N0014: LH child ,N0015: threshold ,N0015: feature ,N0015: n_node_samples ,N0015: RH child ,N0015: LH child ,N0016: threshold ,N0016: feature ,N0016: n_node_samples ,N0016: RH child ,N0016: LH child ,N0017: threshold ,N0017: feature ,N0017: n_node_samples ,N0017: RH child ,N0017: LH child ,N0018: threshold ,N0018: feature ,N0018: n_node_samples ,N0018: RH child ,N0018: LH child ,N0019: threshold ,N0019: feature ,N0019: n_node_samples ,N0019: RH child ,N0019: LH child ,N0020: threshold ,N0020: feature ,N0020: n_node_samples ,N0020: RH child ,N0020: LH child ,N0021: threshold ,N0021: feature ,N0021: n_node_samples ,N0021: RH child ,N0021: LH child ,N0022: threshold ,N0022: feature ,N0022: n_node_samples ,N0022: RH child ,N0022: LH child ,N0023: threshold ,N0023: feature ,N0023: n_node_samples ,N0023: RH child ,N0023: LH child ,N0024: threshold ,N0024: feature ,N0024: n_node_samples ,N0024: RH child ,N0024: LH child ,N0025: threshold ,N0025: feature ,N0025: n_node_samples ,N0025: RH child ,N0025: LH child ,N0026: threshold ,N0026: feature ,N0026: n_node_samples ,N0026: RH child ,N0026: LH child ,N0027: threshold ,N0027: feature ,N0027: n_node_samples ,N0027: RH child ,N0027: LH child ,N0028: threshold ,N0028: feature ,N0028: n_node_samples ,N0028: RH child ,N0028: LH child ,N0029: threshold ,N0029: feature ,N0029: n_node_samples ,N0029: RH child ,N0029: LH child ,N0030: threshold ,N0030: feature ,N0030: n_node_samples ,N0030: RH child ,N0030: LH child ,N0031: threshold ,N0031: feature ,N0031: n_node_samples ,N0031: RH child ,N0031: LH child ,N0032: threshold ,N0032: feature ,N0032: n_node_samples ,N0032: RH child ,N0032: LH child ,N0033: threshold ,N0033: feature ,N0033: n_node_samples ,N0033: RH child ,N0033: LH child ,N0034: threshold ,N0034: feature ,N0034: n_node_samples ,N0034: RH child ,N0034: LH child ,N0035: threshold ,N0035: feature ,N0035: n_node_samples ,N0035: RH child ,N0035: LH child ,N0036: threshold ,N0036: feature ,N0036: n_node_samples ,N0036: RH child ,N0036: LH child ,N0037: threshold ,N0037: feature ,N0037: n_node_samples ,N0037: RH child ,N0037: LH child ,N0038: threshold ,N0038: feature ,N0038: n_node_samples ,N0038: RH child ,N0038: LH child ,N0039: threshold ,N0039: feature ,N0039: n_node_samples ,N0039: RH child ,N0039: LH child ,N0040: threshold ,N0040: feature ,N0040: n_node_samples ,N0040: RH child ,N0040: LH child ,N0041: threshold ,N0041: feature ,N0041: n_node_samples ,N0041: RH child ,N0041: LH child ,N0042: threshold ,N0042: feature ,N0042: n_node_samples ,N0042: RH child ,N0042: LH child ,N0043: threshold ,N0043: feature ,N0043: n_node_samples ,N0043: RH child ,N0043: LH child ,N0044: threshold ,N0044: feature ,N0044: n_node_samples ,N0044: RH child ,N0044: LH child ,N0045: threshold ,N0045: feature ,N0045: n_node_samples ,N0045: RH child ,N0045: LH child ,N0046: threshold ,N0046: feature ,N0046: n_node_samples ,N0046: RH child ,N0046: LH child ,N0047: threshold ,N0047: feature ,N0047: n_node_samples ,N0047: RH child ,N0047: LH child ,N0048: threshold ,N0048: feature ,N0048: n_node_samples ,N0048: RH child ,N0048: LH child ,N0049: threshold ,N0049: feature ,N0049: n_node_samples ,N0049: RH child ,N0049: LH child ,N0050: threshold ,N0050: feature ,N0050: n_node_samples ,N0050: RH child ,N0050: LH child ,N0051: threshold ,N0051: feature ,N0051: n_node_samples ,N0051: RH child ,N0051: LH child ,N0052: threshold ,N0052: feature ,N0052: n_node_samples ,N0052: RH child ,N0052: LH child ,N0053: threshold ,N0053: feature ,N0053: n_node_samples ,N0053: RH child ,N0053: LH child ,N0054: threshold ,N0054: feature ,N0054: n_node_samples ,N0054: RH child ,N0054: LH child ,N0055: threshold ,N0055: feature ,N0055: n_node_samples ,N0055: RH child ,N0055: LH child ,N0056: threshold ,N0056: feature ,N0056: n_node_samples ,N0056: RH child ,N0056: LH child ,N0057: threshold ,N0057: feature ,N0057: n_node_samples ,N0057: RH child ,N0057: LH child ,N0058: threshold ,N0058: feature ,N0058: n_node_samples ,N0058: RH child ,N0058: LH child ,N0059: threshold ,N0059: feature ,N0059: n_node_samples ,N0059: RH child ,N0059: LH child ,N0060: threshold ,N0060: feature ,N0060: n_node_samples ,N0060: RH child ,N0060: LH child ,N0061: threshold ,N0061: feature ,N0061: n_node_samples ,N0061: RH child ,N0061: LH child ,N0062: threshold ,N0062: feature ,N0062: n_node_samples ,N0062: RH child ,N0062: LH child ,n_nodes
0,0,291.20425415,Temperature,637,494,1,32.1671524048,Salinity,324,33,2,1.19507598877,Phosphate,313,986,495,20.6177043915,Salinity,20,10,3,-101.0,Depth,304,373,34,294.300201416,Temperature,309,591,496,-157.5,Depth,4,990,987,0.11621645838,Phosphate,5,5,4,0.0553733967245,Phosphate,15,16,11,288.248596191,Temperature,212,318,35,276.075958252,Temperature,92,397,374,-1462.0,Depth,57,564,497,35.5628509521,Salinity,252,849,592,35.1172485352,Salinity,2,989,988,35.0629882812,Salinity,2,992,991,-2.0,Depth,1,-1,-1,-24.0,Depth,4,9,6,31.5495491028,Salinity,5,13,12,30.0927085876,Salinity,10,26,17,35.0588607788,Salinity,180,229,36,1.31124210358,Phosphate,32,372,319,33.3662109375,Salinity,35,386,375,-11.5,Depth,57,487,398,0.825794637203,Phosphate,36,563,498,-159.5,Depth,21,572,565,-8.0,Depth,160,842,593,0.350448727608,Phosphate,92,957,850,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,286.189575195,Temperature,2,8,7,-2.0,Depth,2,-1,-1,-2.0,Depth,1,-1,-1,31.8438911438,Salinity,4,15,14,-95.0,Depth,5,19,18,-17.0,Depth,5,30,27,280.08795166,Temperature,102,186,37,0.520402908325,Phosphate,78,277,230,-5194.0,Depth,31,323,320,-2.0,Depth,1,-1,-1,32.2286453247,Salinity,28,377,376,273.368896484,Temperature,7,396,387,35.2442016602,Salinity,53,486,399,0.61038428545,Phosphate,4,493,488,36.6956481934,Salinity,35,550,499,-2.0,Depth,1,-1,-1,292.768920898,Temperature,6,569,566,0.0444447174668,Phosphate,15,576,573,0.0423445999622,Phosphate,154,605,594,299.101745605,Temperature,6,848,843,-261.5,Depth,77,920,851,36.0720062256,Salinity,15,981,958,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,993
1,1,288.09173584,Temperature,648,404,1,-100.5,Depth,274,303,2,1.19507598877,Phosphate,374,996,405,35.1277503967,Salinity,192,216,3,276.075958252,Temperature,82,327,304,294.271484375,Temperature,368,617,406,-300.0,Depth,6,1002,997,0.732333064079,Phosphate,116,51,4,286.765960693,Temperature,76,290,217,33.3662109375,Salinity,38,316,305,278.683654785,Temperature,44,331,328,-824.5,Depth,119,534,407,35.5805130005,Salinity,249,859,618,290.457061768,Temperature,3,999,998,291.806335449,Temperature,3,1006,1003,0.554176926613,Phosphate,26,40,5,1.26330828667,Phosphate,90,101,52,283.693908691,Temperature,67,273,218,0.171426475048,Phosphate,9,294,291,32.2286453247,Salinity,29,307,306,273.375305176,Temperature,9,326,317,0.549051642418,Phosphate,2,330,329,33.810005188,Salinity,42,343,332,0.652181506157,Phosphate,68,527,408,-253.0,Depth,51,548,535,-5650.5,Depth,156,626,619,0.43006247282,Phosphate,93,987,860,-2.0,Depth,1,-1,-1,35.1297492981,Salinity,2,1001,1000,1.31794786453,Phosphate,2,1005,1004,-2.0,Depth,1,-1,-1,-3096.0,Depth,19,15,6,-383.5,Depth,7,48,41,284.818511963,Temperature,25,100,53,-5471.0,Depth,65,103,102,-1240.5,Depth,52,222,219,-3243.0,Depth,15,275,274,287.86730957,Temperature,3,293,292,36.9159889221,Salinity,6,302,295,-2.0,Depth,6,-1,-1,0.554310977459,Phosphate,23,309,308,33.7080001831,Salinity,8,325,318,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,287.982391357,Temperature,6,342,333,0.530319213867,Phosphate,36,397,344,0.0471624359488,Phosphate,64,412,409,-4528.5,Depth,4,529,528,0.213975891471,Phosphate,8,545,536,-11.5,Depth,43,606,549,34.7909545898,Salinity,5,621,620,-13.5,Depth,151,840,627,-261.5,Depth,88,950,861,35.7326889038,Salinity,5,993,988,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,1007
2,2,290.926940918,Temperature,636,526,1,-34.5,Depth,340,477,2,1.19507598877,Phosphate,296,1006,527,-100.5,Depth,309,396,3,0.0752471983433,Phosphate,31,479,478,296.346618652,Temperature,292,703,528,292.191986084,Temperature,4,1012,1007,33.2584953308,Salinity,244,19,4,280.559783936,Temperature,65,422,397,-2.0,Depth,3,-1,-1,277.554748535,Temperature,28,483,480,-600.5,Depth,104,632,529,-27.5,Depth,188,961,704,35.0843505859,Salinity,3,1009,1008,-2.0,Depth,1,-1,-1,1.03042078018,Phosphate,9,16,5,-4090.0,Depth,235,147,20,272.539794922,Temperature,29,409,398,290.568450928,Temperature,36,476,423,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,1.1973259449,Phosphate,3,482,481,-22.5,Depth,25,503,484,36.6981506348,Salinity,57,617,530,-213.5,Depth,47,644,633,0.386267840862,Phosphate,147,934,705,0.203672066331,Phosphate,41,1003,962,-2.0,Depth,1,-1,-1,35.1172485352,Salinity,2,1011,1010,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-1420.5,Depth,6,9,6,274.53338623,Temperature,3,18,17,1.90277433395,Phosphate,70,144,21,0.0608217045665,Phosphate,165,153,148,33.177947998,Salinity,10,402,399,0.93678611517,Phosphate,19,417,410,289.999633789,Temperature,35,473,424,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,2,-1,-1,-2.0,Depth,1,-1,-1,34.6229476929,Salinity,10,502,485,34.8859634399,Salinity,15,523,504,-4524.0,Depth,48,560,531,295.222259521,Temperature,9,631,618,292.595092773,Temperature,8,637,634,-57.5,Depth,39,658,645,0.0329890102148,Phosphate,133,725,706,0.667585849762,Phosphate,14,958,935,-8.0,Depth,39,992,963,27.1922569275,Salinity,2,1005,1004,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,1013
3,3,291.967529297,Temperature,632,534,1,-36.5,Depth,341,461,2,294.428955078,Temperature,291,626,535,284.202545166,Temperature,300,302,3,0.0752471983433,Phosphate,41,463,462,0.871602773666,Phosphate,61,621,536,-25.5,Depth,230,948,627,282.430389404,Temperature,205,233,4,-140.5,Depth,95,418,303,-2.0,Depth,2,-1,-1,277.554748535,Temperature,39,467,464,0.0444447174668,Phosphate,58,550,537,292.475189209,Temperature,3,625,622,35.0690002441,Salinity,186,789,628,36.5032615662,Salinity,44,992,949,0.588198125362,Phosphate,141,46,5,35.1997451782,Salinity,64,243,234,0.683739244938,Phosphate,68,411,304,32.7505493164,Salinity,27,424,419,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,274.854125977,Temperature,4,466,465,280.073516846,Temperature,35,475,468,-2384.5,Depth,12,541,538,36.6346511841,Salinity,46,608,551,292.03125,Temperature,2,624,623,-2.0,Depth,1,-1,-1,34.2526016235,Salinity,95,722,629,0.662635564804,Phosphate,91,945,790,-8.0,Depth,39,979,950,0.0590339079499,Phosphate,5,998,993,0.554176926613,Phosphate,26,43,6,33.9092445374,Salinity,115,174,47,283.114624023,Temperature,5,238,235,-142.5,Depth,59,283,244,287.547790527,Temperature,64,336,305,284.757293701,Temperature,4,413,412,-121.5,Depth,3,421,420,285.448394775,Temperature,24,428,425,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,2,-1,-1,-2.0,Depth,2,-1,-1,0.487940818071,Phosphate,5,470,469,34.9472503662,Salinity,30,531,476,0.0250650011003,Phosphate,2,540,539,-140.5,Depth,10,543,542,0.660285949707,Phosphate,36,605,552,36.7403411865,Salinity,10,614,609,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,301.676147461,Temperature,59,713,630,34.4972496033,Salinity,36,754,723,0.021466575563,Phosphate,89,796,791,-3755.0,Depth,2,947,946,298.545654297,Temperature,28,964,951,0.168515264988,Phosphate,11,989,980,36.5269088745,Salinity,4,995,994,-2.0,Depth,1,-1,-1,999
4,4,287.600769043,Temperature,636,380,1,-36.5,Depth,263,355,2,294.359893799,Temperature,373,602,381,-100.5,Depth,248,296,3,277.554748535,Temperature,15,359,356,-1883.5,Depth,127,489,382,35.6139144897,Salinity,246,864,603,33.885887146,Salinity,190,95,4,-38.0,Depth,58,332,297,23.0561981201,Salinity,3,358,357,278.927764893,Temperature,12,371,360,289.811706543,Temperature,62,406,383,-121.5,Depth,65,523,490,-16.5,Depth,159,843,604,0.350448727608,Phosphate,87,970,865,0.625156283379,Phosphate,51,10,5,-5438.5,Depth,139,101,96,35.2442016602,Salinity,22,331,298,32.2286453247,Salinity,36,334,333,-2.0,Depth,2,-1,-1,-2.0,Depth,1,-1,-1,278.730895996,Temperature,7,370,361,-35.5,Depth,5,373,372,35.0843505859,Salinity,12,389,384,36.6953392029,Salinity,50,474,407,34.9470977783,Salinity,19,506,491,-12.0,Depth,46,589,524,301.676147461,Temperature,142,812,605,33.3740921021,Salinity,17,853,844,-261.5,Depth,77,933,866,36.0720062256,Salinity,10,986,971,281.144561768,Temperature,3,9,6,1.90277433395,Phosphate,48,90,11,-5508.0,Depth,3,100,97,-144.0,Depth,136,267,102,35.1741027832,Salinity,21,326,299,-2.0,Depth,1,-1,-1,-2.0,Depth,7,-1,-1,33.3662109375,Salinity,29,346,335,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,0.535974919796,Phosphate,6,365,362,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-9.5,Depth,4,379,374,-5060.0,Depth,3,386,385,-4924.0,Depth,9,395,390,292.05090332,Temperature,38,455,408,290.758850098,Temperature,12,476,475,31.5434494019,Salinity,8,495,492,292.595092773,Temperature,11,518,507,31.8253002167,Salinity,39,534,525,289.556762695,Temperature,7,595,590,-5659.5,Depth,126,613,606,34.130859375,Salinity,16,830,813,32.2351112366,Salinity,5,850,845,299.101745605,Temperature,12,861,854,297.111450195,Temperature,40,898,867,-206.0,Depth,37,945,934,35.7445373535,Salinity,8,981,972,0.410711288452,Phosphate,2,988,987,989
5,5,292.322875977,Temperature,641,534,1,287.600769043,Temperature,349,371,2,296.349609375,Temperature,292,690,535,-100.5,Depth,257,276,3,1.19507598877,Phosphate,92,527,372,-740.5,Depth,98,623,536,35.5355529785,Salinity,194,902,691,-4817.0,Depth,180,29,4,0.599125683308,Phosphate,77,344,277,32.6216125488,Salinity,88,396,373,-733.0,Depth,4,529,528,0.69325864315,Phosphate,48,618,537,-213.5,Depth,50,639,624,-16.5,Depth,129,883,692,36.5184059143,Salinity,65,976,903,-4837.5,Depth,14,28,5,33.885887146,Salinity,166,111,30,17.603603363,Salinity,47,279,278,1.29695725441,Phosphate,30,352,345,31.2551593781,Salinity,13,387,374,-81.5,Depth,75,484,397,-2.0,Depth,1,-1,-1,1.21387088299,Phosphate,3,531,530,36.6912536621,Salinity,45,599,538,-3386.5,Depth,3,620,619,35.350112915,Salinity,11,626,625,36.6290359497,Salinity,39,687,640,34.0738143921,Salinity,111,772,693,-3.0,Depth,18,899,884,299.548583984,Temperature,47,949,904,36.8469009399,Salinity,18,992,977,-5471.0,Depth,13,9,6,-2.0,Depth,1,-1,-1,1.91495168209,Phosphate,46,108,31,0.53767812252,Phosphate,120,169,112,-2.0,Depth,1,-1,-1,32.3535919189,Salinity,46,287,280,32.2286453247,Salinity,18,347,346,1.66340851784,Phosphate,12,358,353,290.568450928,Temperature,7,378,375,289.669372559,Temperature,6,393,388,0.324192166328,Phosphate,53,455,398,35.1054611206,Salinity,22,524,485,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,291.485290527,Temperature,2,533,532,0.0480879768729,Phosphate,33,542,539,295.019500732,Temperature,12,615,600,-2.0,Depth,1,-1,-1,-2529.5,Depth,2,622,621,-2.0,Depth,1,-1,-1,292.595092773,Temperature,10,628,627,0.0839195400476,Phosphate,35,656,641,294.415222168,Temperature,4,689,688,301.676147461,Temperature,48,755,694,34.4608535767,Salinity,63,792,773,34.8781433105,Salinity,16,898,885,32.5530548096,Salinity,2,901,900,-3413.5,Depth,27,930,905,0.426133692265,Phosphate,20,971,950,-14.5,Depth,11,991,978,0.0730300471187,Phosphate,7,996,993,1005
6,6,290.957275391,Temperature,636,488,1,-100.5,Depth,324,353,2,1.20704436302,Phosphate,312,974,489,33.6339874268,Salinity,226,40,3,0.0601119101048,Phosphate,98,355,354,294.442443848,Temperature,309,617,490,35.0985870361,Salinity,3,978,975,33.6276435852,Salinity,21,39,4,287.547790527,Temperature,205,304,41,-2.0,Depth,2,-1,-1,277.554748535,Temperature,96,379,356,-830.0,Depth,77,580,491,35.5682487488,Salinity,232,849,618,1.31794786453,Phosphate,2,977,976,-2.0,Depth,1,-1,-1,0.625156283379,Phosphate,19,14,5,-2.0,Depth,2,-1,-1,34.9905014038,Salinity,175,209,42,290.163024902,Temperature,30,330,305,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,32.4150886536,Salinity,33,362,357,280.042510986,Temperature,63,387,380,0.229374110699,Phosphate,49,553,492,36.6149368286,Salinity,28,610,581,-16.5,Depth,147,830,619,299.690643311,Temperature,85,943,850,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,0.483840703964,Phosphate,5,11,6,33.4315872192,Salinity,14,24,15,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,0.639401137829,Phosphate,84,62,43,0.306265056133,Phosphate,91,243,210,36.9181976318,Salinity,14,327,306,-2011.5,Depth,16,352,331,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,275.312652588,Temperature,12,361,358,1.31580781937,Phosphate,21,366,363,278.596130371,Temperature,5,386,381,-31.5,Depth,58,457,388,0.0471624359488,Phosphate,34,498,493,-2672.0,Depth,15,575,554,291.270629883,Temperature,20,589,582,-14.5,Depth,8,616,611,302.330993652,Temperature,133,827,620,0.105482801795,Phosphate,14,836,831,-4388.5,Depth,61,886,851,-3863.5,Depth,24,951,944,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,979
7,7,291.267822266,Temperature,635,478,1,32.1671524048,Salinity,312,33,2,1.19507598877,Phosphate,323,984,479,-544.0,Depth,17,4,3,-36.5,Depth,295,449,34,294.376800537,Temperature,319,575,480,35.0843505859,Salinity,4,988,985,-2.0,Depth,1,-1,-1,12.6887493134,Salinity,16,8,5,288.686248779,Temperature,280,388,35,-11.5,Depth,15,473,450,-1320.0,Depth,61,540,481,-16.0,Depth,258,959,576,1.31794786453,Phosphate,2,987,986,35.1172485352,Salinity,2,990,989,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,0.31216403842,Phosphate,2,7,6,-218.0,Depth,14,12,9,35.2340011597,Salinity,240,299,36,1.15023708344,Phosphate,40,448,389,34.9679412842,Salinity,12,472,451,0.61038428545,Phosphate,3,477,474,0.0471624359488,Phosphate,34,485,482,-159.5,Depth,27,550,541,0.394266933203,Phosphate,236,922,577,298.35357666,Temperature,22,973,960,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-374.5,Depth,2,11,10,-121.5,Depth,12,14,13,0.592436134815,Phosphate,165,120,37,286.730529785,Temperature,75,365,300,-81.5,Depth,39,433,390,-2.0,Depth,1,-1,-1,0.365735113621,Phosphate,11,461,452,-2.0,Depth,1,-1,-1,282.739013672,Temperature,2,476,475,-2.0,Depth,1,-1,-1,292.804016113,Temperature,3,484,483,35.5977516174,Salinity,31,507,486,292.595092773,Temperature,7,543,542,292.645568848,Temperature,20,564,551,0.0765052214265,Phosphate,217,647,578,35.5857620239,Salinity,19,936,923,22.8698043823,Salinity,14,962,961,-9.0,Depth,8,975,974,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,991
8,8,294.359893799,Temperature,660,638,1,287.487243652,Temperature,410,409,2,-4842.5,Depth,250,700,639,-36.5,Depth,274,388,3,0.871602773666,Phosphate,136,627,410,0.0428268909454,Phosphate,32,645,640,34.488948822,Salinity,218,842,701,35.2388458252,Salinity,262,313,4,277.554748535,Temperature,12,392,389,-1436.5,Depth,130,532,411,-444.0,Depth,6,635,628,34.3703460693,Salinity,4,642,641,35.5817947388,Salinity,28,675,646,34.3775024414,Salinity,85,823,702,36.6898498535,Salinity,133,1012,843,0.591648578644,Phosphate,190,88,5,-205.5,Depth,72,365,314,1.1973259449,Phosphate,2,391,390,279.300415039,Temperature,10,398,393,0.0492865890265,Phosphate,71,419,412,0.0553733967245,Phosphate,59,550,533,35.0230484009,Salinity,4,632,629,-246.5,Depth,2,637,636,-2.0,Depth,1,-1,-1,298.295593262,Temperature,3,644,643,0.290792524815,Phosphate,15,668,647,35.9130096436,Salinity,13,683,676,33.7015533447,Salinity,75,780,703,34.4621505737,Salinity,10,839,824,0.696591734886,Phosphate,123,1009,844,36.8832893372,Salinity,10,1022,1013,0.554625272751,Phosphate,55,83,6,33.885887146,Salinity,135,220,89,0.512004077435,Phosphate,56,338,315,-155.5,Depth,16,369,366,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,277.800292969,Temperature,4,395,394,33.6325111389,Salinity,6,400,399,36.6394386292,Salinity,6,416,413,290.212768555,Temperature,65,459,420,0.050323177129,Phosphate,14,545,534,-32.0,Depth,45,590,551,-877.0,Depth,2,631,630,292.186889648,Temperature,2,634,633,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-2.0,Depth,2,-1,-1,-5151.5,Depth,11,657,648,-5151.5,Depth,4,674,669,-4910.0,Depth,4,682,677,-5044.5,Depth,9,691,684,297.971313477,Temperature,50,759,704,301.675048828,Temperature,25,818,781,-194.0,Depth,8,836,825,0.100545331836,Phosphate,2,841,840,-261.5,Depth,121,948,845,-3755.0,Depth,2,1011,1010,298.336120605,Temperature,5,1021,1014,-3882.5,Depth,5,1030,1023,1031
9,9,288.686248779,Temperature,657,416,1,-100.5,Depth,284,315,2,294.265319824,Temperature,373,622,417,33.7980499268,Salinity,207,56,3,277.554748535,Temperature,77,341,316,0.871602773666,Phosphate,123,609,418,0.0757263451815,Phosphate,250,690,623,0.625156283379,Phosphate,32,7,4,283.955566406,Temperature,175,258,57,271.999053955,Temperature,34,328,317,278.927764893,Temperature,43,347,342,32.6216125488,Salinity,116,446,419,291.333618164,Temperature,7,613,610,-1438.0,Depth,54,653,624,302.232208252,Temperature,196,1008,691,25.9898490906,Salinity,3,6,5,33.7861099243,Salinity,29,55,8,1.6449341774,Phosphate,138,219,58,34.070602417,Salinity,37,260,259,271.402099609,Temperature,8,319,318,32.4150886536,Salinity,26,334,329,0.494059175253,Phosphate,4,344,343,0.156174436212,Phosphate,39,349,348,31.2551593781,Salinity,15,439,420,-415.5,Depth,101,558,447,1.41848278046,Phosphate,2,612,611,292.191986084,Temperature,5,619,614,0.0105325076729,Phosphate,16,628,625,-229.5,Depth,38,667,654,-24.5,Depth,193,979,692,-4239.0,Depth,3,1010,1009,-2.0,Depth,1,-1,-1,-2.0,Depth,2,-1,-1,33.4315872192,Salinity,28,14,9,-2.0,Depth,1,-1,-1,-138.0,Depth,117,190,59,2.00746178627,Phosphate,21,251,220,-2.0,Depth,1,-1,-1,287.657287598,Temperature,36,298,261,-2.0,Depth,1,-1,-1,271.508361816,Temperature,7,321,320,32.2286453247,Salinity,11,333,330,273.082092285,Temperature,15,340,335,-2.0,Depth,1,-1,-1,28.3707504272,Salinity,3,346,345,-2.0,Depth,1,-1,-1,34.0793991089,Salinity,38,359,350,-138.5,Depth,10,426,421,31.5495491028,Salinity,5,441,440,0.363529473543,Phosphate,65,535,448,36.6149368286,Salinity,36,604,559,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,1.33435440063,Phosphate,3,618,615,292.614593506,Temperature,2,621,620,-3908.0,Depth,2,627,626,36.6895523071,Salinity,14,648,629,36.5102081299,Salinity,10,664,655,35.3831481934,Salinity,28,669,668,-4861.5,Depth,171,730,693,0.105482801795,Phosphate,22,983,980,-2.0,Depth,1,-1,-1,34.6266021729,Salinity,2,1012,1011,1013
