,Unnamed: 0,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,0,500,Temperature,100.0,0.771622339798,21.1153198242,20.5741081543,0,0,653.322,653.0
1,1,261,Temperature,52.2,1.00522170786,14.2833496094,14.123071406,1,1,383.364016736,381.0
2,2,239,Depth,47.8,29.2223006518,-82.0,-75.1841004184,1,1,383.364016736,381.0
3,3,390,Depth,78.0,1255.22720679,-25.5,-464.475641026,1,2,259.909090909,254.0
4,4,80,Temperature,16.0,1.11868593043,23.2335449219,22.646521759,1,2,259.909090909,254.0
5,5,19,SWrad,3.8,11.8416478834,307.362884521,300.718415913,1,2,259.909090909,254.0
6,6,11,Salinity,2.2,0.297989176928,36.672454834,36.5885266391,1,2,259.909090909,254.0
7,7,251,Depth,50.2,14.4023368511,-100.5,-107.551792829,2,3,261.0,261.0
8,8,206,Temperature,41.2,1.13217518011,14.5072875977,14.6519575101,2,3,261.0,261.0
9,9,42,SWrad,8.4,0.894870780152,292.482116699,292.274180094,2,3,261.0,261.0
10,10,1,Salinity,0.2,,31.0684547424,31.0684547424,2,3,261.0,261.0
11,14,11,SWrad,2.2,57.0637967551,290.941345215,243.20219144,2,4,107.272727273,151.0
12,13,18,Salinity,3.6,4.33706210139,32.6216125488,31.7912563218,2,4,107.272727273,151.0
13,11,253,Depth,50.6,825.46392551,-1583.5,-1330.03359684,2,4,107.272727273,151.0
14,12,218,Temperature,43.6,1.07692951274,4.53145751953,4.54340865109,2,4,107.272727273,151.0
15,15,166,Depth,33.2,2009.82861943,-3728.0,-2985.54819277,2,5,181.369047619,204.5
16,16,155,SWrad,31.0,50.7415714886,306.601867676,287.755575808,2,5,181.369047619,204.5
17,17,95,Temperature,19.0,2.57073552818,23.1045776367,23.4208492881,2,5,181.369047619,204.5
18,18,84,Salinity,16.8,0.518450616378,36.6470031738,36.4146302995,2,5,181.369047619,204.5
19,19,260,Depth,52.0,1243.91760836,-5.0,-438.544230769,2,6,90.2,51.0
20,20,97,Salinity,19.4,2.56749021689,33.3740921021,33.6554594532,2,6,90.2,51.0
21,21,93,Temperature,18.6,2.0003040604,24.4751220703,23.855618844,2,6,90.2,51.0
22,22,50,SWrad,10.0,78.262716714,272.356796265,225.766184387,2,6,90.2,51.0
23,26,32,Temperature,6.4,1.92662252363,14.5072875977,14.162666893,3,7,252.21875,244.0
24,23,209,SWrad,41.8,1.97659344133,292.482116699,290.626338393,3,7,252.21875,244.0
25,24,177,Salinity,35.4,0.591158659952,33.8790588379,34.3119471706,3,7,252.21875,244.0
26,25,82,Depth,16.4,729.34489733,-121.0,-255.68902439,3,7,252.21875,244.0
27,29,45,SWrad,9.0,64.7959800816,148.119262695,169.659632704,3,8,76.4545454545,70.5
28,30,22,Salinity,4.4,1.8706597557,35.1047935486,34.449826674,3,8,76.4545454545,70.5
29,27,268,Temperature,53.6,4.05197761519,4.53145751953,5.58910135298,3,8,76.4545454545,70.5
30,28,165,Depth,33.0,1306.70816191,-1583.5,-1584.58181818,3,8,76.4545454545,70.5
31,31,180,SWrad,36.0,58.5634779793,138.724182129,158.422027821,3,9,68.6444444444,73.0
32,32,147,Temperature,29.4,8.11188859109,17.0627685547,12.712666954,3,9,68.6444444444,73.0
33,33,128,Salinity,25.6,4.32397098181,32.2286453247,31.451540716,3,9,68.6444444444,73.0
34,34,45,Depth,9.0,2025.98530014,-273.0,-1676.96666667,3,9,68.6444444444,73.0
35,35,211,Salinity,42.2,3.35548914001,32.6216125488,32.7928799363,3,10,52.6774193548,61.0
36,36,188,Depth,37.6,746.227439209,-23.0,-431.856382979,3,10,52.6774193548,61.0
37,37,70,Temperature,14.0,5.09986728624,17.152734375,14.1113769531,3,10,52.6774193548,61.0
38,38,31,SWrad,6.2,34.8966203881,210.370788574,201.258218827,3,10,52.6774193548,61.0
39,39,144,Depth,28.8,1998.45808846,-3910.0,-3404.10763889,3,11,93.4901960784,74.0
40,40,133,Temperature,26.6,2.98165734256,22.8279052734,23.1657484012,3,11,93.4901960784,74.0
41,41,121,Salinity,24.2,0.727510307106,36.5630111694,36.1506097021,3,11,93.4901960784,74.0
42,42,102,SWrad,20.4,74.1629879765,253.803955078,234.875768998,3,11,93.4901960784,74.0
43,46,97,Temperature,19.4,2.49562809137,23.8715454102,24.3873459649,3,12,48.5463917526,16.0
44,45,122,SWrad,24.4,74.9077199733,276.921630859,242.339542201,3,12,48.5463917526,16.0
45,44,134,Depth,26.8,1959.45939805,-3773.25,-2849.44776119,3,12,48.5463917526,16.0
46,43,147,Salinity,29.4,0.695901964156,35.9753417969,35.9148218064,3,12,48.5463917526,16.0
47,47,221,Depth,44.2,1330.69998991,-9.0,-460.108597285,3,13,37.696969697,18.0
48,48,109,SWrad,21.8,72.5032863966,217.190734863,222.717643598,3,13,37.696969697,18.0
49,49,104,Temperature,20.8,2.35519376983,24.7487426758,24.433689763,3,13,37.696969697,18.0
50,50,66,Salinity,13.2,4.2604113239,34.5828437805,33.0401226101,3,13,37.696969697,18.0
51,51,202,Depth,40.4,810.084835297,-5.0,-173.383663366,3,14,20.5119047619,9.0
52,52,117,Salinity,23.4,2.69562511585,33.9070968628,33.8691019238,3,14,20.5119047619,9.0
53,53,97,Temperature,19.4,1.6591842326,26.6796508789,26.1113893489,3,14,20.5119047619,9.0
