,N0000: threshold ,N0000: feature ,N0000: n_node_samples ,N0000: RH child ,N0000: LH child ,N0001: threshold ,N0001: feature ,N0001: n_node_samples ,N0001: RH child ,N0001: LH child ,N0002: threshold ,N0002: feature ,N0002: n_node_samples ,N0002: RH child ,N0002: LH child ,N0003: threshold ,N0003: feature ,N0003: n_node_samples ,N0003: RH child ,N0003: LH child ,N0004: threshold ,N0004: feature ,N0004: n_node_samples ,N0004: RH child ,N0004: LH child ,N0005: threshold ,N0005: feature ,N0005: n_node_samples ,N0005: RH child ,N0005: LH child ,N0006: threshold ,N0006: feature ,N0006: n_node_samples ,N0006: RH child ,N0006: LH child ,N0007: threshold ,N0007: feature ,N0007: n_node_samples ,N0007: RH child ,N0007: LH child ,N0008: threshold ,N0008: feature ,N0008: n_node_samples ,N0008: RH child ,N0008: LH child ,N0009: threshold ,N0009: feature ,N0009: n_node_samples ,N0009: RH child ,N0009: LH child ,N0010: threshold ,N0010: feature ,N0010: n_node_samples ,N0010: RH child ,N0010: LH child ,N0011: threshold ,N0011: feature ,N0011: n_node_samples ,N0011: RH child ,N0011: LH child ,N0012: threshold ,N0012: feature ,N0012: n_node_samples ,N0012: RH child ,N0012: LH child ,N0013: threshold ,N0013: feature ,N0013: n_node_samples ,N0013: RH child ,N0013: LH child ,N0014: threshold ,N0014: feature ,N0014: n_node_samples ,N0014: RH child ,N0014: LH child ,N0015: threshold ,N0015: feature ,N0015: n_node_samples ,N0015: RH child ,N0015: LH child ,N0016: threshold ,N0016: feature ,N0016: n_node_samples ,N0016: RH child ,N0016: LH child ,N0017: threshold ,N0017: feature ,N0017: n_node_samples ,N0017: RH child ,N0017: LH child ,N0018: threshold ,N0018: feature ,N0018: n_node_samples ,N0018: RH child ,N0018: LH child ,N0019: threshold ,N0019: feature ,N0019: n_node_samples ,N0019: RH child ,N0019: LH child ,N0020: threshold ,N0020: feature ,N0020: n_node_samples ,N0020: RH child ,N0020: LH child ,N0021: threshold ,N0021: feature ,N0021: n_node_samples ,N0021: RH child ,N0021: LH child ,N0022: threshold ,N0022: feature ,N0022: n_node_samples ,N0022: RH child ,N0022: LH child ,N0023: threshold ,N0023: feature ,N0023: n_node_samples ,N0023: RH child ,N0023: LH child ,N0024: threshold ,N0024: feature ,N0024: n_node_samples ,N0024: RH child ,N0024: LH child ,N0025: threshold ,N0025: feature ,N0025: n_node_samples ,N0025: RH child ,N0025: LH child ,N0026: threshold ,N0026: feature ,N0026: n_node_samples ,N0026: RH child ,N0026: LH child ,N0027: threshold ,N0027: feature ,N0027: n_node_samples ,N0027: RH child ,N0027: LH child ,N0028: threshold ,N0028: feature ,N0028: n_node_samples ,N0028: RH child ,N0028: LH child ,N0029: threshold ,N0029: feature ,N0029: n_node_samples ,N0029: RH child ,N0029: LH child ,N0030: threshold ,N0030: feature ,N0030: n_node_samples ,N0030: RH child ,N0030: LH child ,n_nodes
0,291.2042541503906,WOA_TEMP_K,637,502,1,32.167152404785156,WOA_Salinity,324,37,2,295.5714416503906,SWrad,313,980,503,20.617704391479492,WOA_Salinity,20,10,3,-101.0,Depth_GEBCO,304,381,38,36.689849853515625,WOA_Salinity,296,953,504,36.61005401611328,WOA_Salinity,17,1004,981,290.76470947265625,WOA_TEMP_K,5,9,4,-470.5,Depth_GEBCO,15,12,11,288.24859619140625,WOA_TEMP_K,212,326,39,276.0759582519531,WOA_TEMP_K,92,405,382,-6.5,Depth_GEBCO,280,936,505,296.6503601074219,WOA_TEMP_K,16,975,954,36.42671203613281,WOA_Salinity,16,1003,982,-2.0,Depth_GEBCO,1,-1,-1,-24.0,Depth_GEBCO,4,8,5,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,31.919700622558594,WOA_Salinity,14,32,13,288.65679931640625,SWrad,180,325,40,288.9200439453125,WOA_TEMP_K,32,330,327,33.3662109375,WOA_Salinity,35,394,383,-11.5,Depth_GEBCO,57,495,406,100.3965835571289,SWrad,268,517,506,151.49684143066406,SWrad,12,940,937,295.2222595214844,WOA_TEMP_K,13,972,955,36.85283660888672,WOA_Salinity,3,977,976,36.04436111450195,WOA_Salinity,14,998,983,-2.0,Depth_GEBCO,2,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,1005
1,288.09173583984375,WOA_TEMP_K,648,398,1,-100.5,Depth_GEBCO,274,297,2,-2048.0,Depth_GEBCO,374,714,399,292.48211669921875,SWrad,192,296,3,276.0759582519531,WOA_TEMP_K,82,321,298,294.3498840332031,WOA_TEMP_K,168,521,400,35.01793670654297,WOA_Salinity,206,910,715,33.81878662109375,WOA_Salinity,191,65,4,-2.0,Depth_GEBCO,1,-1,-1,33.3662109375,WOA_Salinity,38,310,299,278.68365478515625,WOA_TEMP_K,44,325,322,35.38710021972656,WOA_Salinity,65,416,401,276.403564453125,SWrad,103,675,522,-12.5,Depth_GEBCO,132,883,716,35.12895584106445,WOA_Salinity,74,918,911,49.94078063964844,SWrad,39,12,5,-5390.0,Depth_GEBCO,152,75,66,-2.0,Depth_GEBCO,2,-1,-1,-2.0,Depth_GEBCO,2,-1,-1,251.052490234375,SWrad,29,309,300,273.37530517578125,WOA_TEMP_K,9,320,311,278.12359619140625,WOA_TEMP_K,2,324,323,33.81000518798828,WOA_Salinity,42,337,326,34.764801025390625,WOA_Salinity,8,409,402,290.2127685546875,WOA_TEMP_K,57,440,417,33.926658630371094,WOA_Salinity,83,536,523,-4927.0,Depth_GEBCO,20,691,676,-620.0,Depth_GEBCO,112,728,717,289.49249267578125,WOA_TEMP_K,20,887,884,-300.0,Depth_GEBCO,4,913,912,-226.5,Depth_GEBCO,70,954,919,1003
2,290.92694091796875,WOA_TEMP_K,636,522,1,-34.5,Depth_GEBCO,340,471,2,-507.5,Depth_GEBCO,296,802,523,-100.5,Depth_GEBCO,309,390,3,277.55474853515625,WOA_TEMP_K,31,475,472,296.1441650390625,WOA_TEMP_K,147,629,524,34.58284378051758,WOA_Salinity,149,932,803,33.25849533081055,WOA_Salinity,244,19,4,280.5597839355469,WOA_TEMP_K,65,416,391,23.056198120117188,WOA_Salinity,3,474,473,-18.0,Depth_GEBCO,28,499,476,35.65965270996094,WOA_Salinity,58,568,525,308.6314697265625,SWrad,89,799,630,-16.0,Depth_GEBCO,86,909,804,292.3800048828125,WOA_TEMP_K,63,940,933,289.45989990234375,WOA_TEMP_K,9,18,5,292.48211669921875,SWrad,235,389,20,101.83220672607422,SWrad,29,401,392,290.5684509277344,WOA_TEMP_K,36,470,417,-2.0,Depth_GEBCO,2,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,283.6038818359375,WOA_TEMP_K,12,478,477,170.20423889160156,SWrad,16,515,500,-4497.5,Depth_GEBCO,24,541,526,36.698150634765625,WOA_Salinity,34,614,569,-4841.5,Depth_GEBCO,87,686,631,299.13323974609375,WOA_TEMP_K,2,801,800,34.1798095703125,WOA_Salinity,67,896,805,295.42669677734375,WOA_TEMP_K,19,919,910,-300.0,Depth_GEBCO,4,937,934,298.7296142578125,WOA_TEMP_K,59,978,941,1011
3,291.967529296875,WOA_TEMP_K,632,532,1,-36.5,Depth_GEBCO,341,457,2,294.428955078125,WOA_TEMP_K,291,624,533,284.2025451660156,WOA_TEMP_K,300,298,3,277.55474853515625,WOA_TEMP_K,41,461,458,292.0157470703125,WOA_TEMP_K,61,535,534,-25.5,Depth_GEBCO,230,948,625,282.4303894042969,WOA_TEMP_K,205,233,4,-140.5,Depth_GEBCO,95,414,299,222.73602294921875,SWrad,4,460,459,32.793060302734375,WOA_Salinity,37,483,462,-2.0,Depth_GEBCO,1,-1,-1,36.647003173828125,WOA_Salinity,60,611,536,35.069000244140625,WOA_Salinity,186,787,626,114.78173828125,SWrad,44,950,949,64.0384521484375,SWrad,141,64,5,35.199745178222656,WOA_Salinity,64,243,234,287.47467041015625,SWrad,68,413,300,32.75054931640625,WOA_Salinity,27,420,415,-2.0,Depth_GEBCO,2,-1,-1,-2.0,Depth_GEBCO,2,-1,-1,182.6568603515625,SWrad,12,482,463,34.94725036621094,WOA_Salinity,25,529,484,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,234.40005493164062,SWrad,50,584,537,36.74034118652344,WOA_Salinity,10,617,612,34.252601623535156,WOA_Salinity,95,720,627,-5002.5,Depth_GEBCO,91,817,788,-2.0,Depth_GEBCO,1,-1,-1,-13.5,Depth_GEBCO,43,974,951,995
4,287.60076904296875,WOA_TEMP_K,636,384,1,-36.5,Depth_GEBCO,263,359,2,294.3598937988281,WOA_TEMP_K,373,606,385,-100.5,Depth_GEBCO,248,300,3,277.55474853515625,WOA_TEMP_K,15,363,360,-1883.5,Depth_GEBCO,127,491,386,35.613914489746094,WOA_Salinity,246,866,607,33.885887145996094,WOA_Salinity,190,95,4,-38.0,Depth_GEBCO,58,336,301,274.8541259765625,WOA_TEMP_K,3,362,361,33.97149658203125,WOA_Salinity,12,375,364,124.25254821777344,SWrad,62,422,387,-121.5,Depth_GEBCO,65,525,492,-16.5,Depth_GEBCO,159,845,608,35.78300094604492,WOA_Salinity,87,884,867,85.73198699951172,SWrad,51,22,5,-5438.5,Depth_GEBCO,139,101,96,35.24420166015625,WOA_Salinity,22,335,302,195.27337646484375,SWrad,36,354,337,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,2,-1,-1,278.73089599609375,WOA_TEMP_K,7,374,365,-35.5,Depth_GEBCO,5,377,376,37.41331100463867,WOA_Salinity,18,421,388,197.01022338867188,SWrad,44,436,423,34.94709777832031,WOA_Salinity,19,508,493,-12.0,Depth_GEBCO,46,593,526,301.6761474609375,WOA_TEMP_K,142,814,609,33.37409210205078,WOA_Salinity,17,855,846,35.744537353515625,WOA_Salinity,9,883,868,-261.5,Depth_GEBCO,78,954,885,989
5,292.3228759765625,WOA_TEMP_K,641,534,1,287.60076904296875,WOA_TEMP_K,349,373,2,295.11236572265625,SWrad,292,980,535,292.72509765625,SWrad,257,372,3,-1591.0,Depth_GEBCO,92,453,374,294.44244384765625,WOA_TEMP_K,275,623,536,-4386.5,Depth_GEBCO,17,992,981,-100.5,Depth_GEBCO,256,277,4,-2.0,Depth_GEBCO,1,-1,-1,148.1192626953125,SWrad,49,408,375,291.3418884277344,WOA_TEMP_K,43,529,454,-1781.0,Depth_GEBCO,58,588,537,-3853.5,Depth_GEBCO,217,739,624,298.71331787109375,WOA_TEMP_K,6,985,982,-3582.0,Depth_GEBCO,11,996,993,33.885887145996094,WOA_Salinity,179,94,5,277.55474853515625,WOA_TEMP_K,77,305,278,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,-4829.0,Depth_GEBCO,17,387,376,35.887298583984375,WOA_Salinity,32,444,409,-14.5,Depth_GEBCO,40,518,455,291.80633544921875,WOA_TEMP_K,3,533,530,292.8157958984375,WOA_TEMP_K,29,547,538,36.61493682861328,WOA_Salinity,29,616,589,296.8092956542969,WOA_TEMP_K,59,648,625,35.347190856933594,WOA_Salinity,158,915,740,303.63848876953125,SWrad,2,984,983,299.2215576171875,WOA_TEMP_K,4,989,986,303.14068603515625,SWrad,2,995,994,36.428802490234375,WOA_Salinity,9,1006,997,1009
6,290.957275390625,WOA_TEMP_K,636,490,1,-100.5,Depth_GEBCO,324,355,2,294.44244384765625,WOA_TEMP_K,312,622,491,33.63398742675781,WOA_Salinity,226,40,3,277.55474853515625,WOA_TEMP_K,98,379,356,-1883.5,Depth_GEBCO,80,575,492,35.5682487487793,WOA_Salinity,232,852,623,68.40303039550781,SWrad,21,11,4,287.54779052734375,WOA_TEMP_K,205,306,41,32.41508865356445,WOA_Salinity,33,362,357,-11.5,Depth_GEBCO,65,479,380,138.72418212890625,SWrad,47,518,493,-61.5,Depth_GEBCO,33,593,576,-16.5,Depth_GEBCO,147,833,624,299.6906433105469,WOA_TEMP_K,85,944,853,23.623933792114258,SWrad,5,6,5,281.0723571777344,WOA_TEMP_K,16,35,12,34.990501403808594,WOA_Salinity,175,209,42,290.16302490234375,WOA_TEMP_K,30,332,307,162.7540740966797,SWrad,12,359,358,32.97895050048828,WOA_Salinity,21,366,363,-31.5,Depth_GEBCO,57,450,381,285.22515869140625,WOA_TEMP_K,8,489,480,36.757606506347656,WOA_Salinity,13,517,494,269.7676086425781,SWrad,34,564,519,292.3455505371094,WOA_TEMP_K,11,584,577,257.0088195800781,SWrad,22,621,594,302.33099365234375,WOA_TEMP_K,133,830,625,34.878143310546875,WOA_Salinity,14,851,834,-4388.5,Depth_GEBCO,61,889,854,-3863.5,Depth_GEBCO,24,952,945,975
7,291.267822265625,WOA_TEMP_K,635,476,1,32.167152404785156,WOA_Salinity,312,33,2,36.689849853515625,WOA_Salinity,323,952,477,-544.0,Depth_GEBCO,17,4,3,-36.5,Depth_GEBCO,295,447,34,-4842.5,Depth_GEBCO,302,547,478,295.0195007324219,WOA_TEMP_K,21,964,953,-2.0,Depth_GEBCO,1,-1,-1,12.688749313354492,WOA_Salinity,16,8,5,288.6862487792969,WOA_TEMP_K,280,386,35,-11.5,Depth_GEBCO,15,471,448,293.1790466308594,WOA_TEMP_K,36,490,479,224.08670043945312,SWrad,266,783,548,294.32696533203125,WOA_TEMP_K,8,961,954,189.10354614257812,SWrad,13,972,965,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,171.89016723632812,SWrad,2,7,6,-218.0,Depth_GEBCO,14,12,9,35.23400115966797,WOA_Salinity,240,301,36,288.9432373046875,WOA_TEMP_K,40,390,387,34.96794128417969,WOA_Salinity,12,470,449,33.496055603027344,WOA_Salinity,3,473,472,104.42621612548828,SWrad,6,485,480,155.86599731445312,SWrad,30,492,491,294.5904541015625,WOA_TEMP_K,161,602,549,291.71533203125,WOA_TEMP_K,105,787,784,38.61288833618164,WOA_Salinity,6,960,955,294.4993591308594,WOA_TEMP_K,2,963,962,36.88100051879883,WOA_Salinity,4,969,966,236.1065673828125,SWrad,9,978,973,989
8,294.3598937988281,WOA_TEMP_K,660,640,1,287.48724365234375,WOA_TEMP_K,410,409,2,-4842.5,Depth_GEBCO,250,702,641,-36.5,Depth_GEBCO,274,388,3,-1707.5,Depth_GEBCO,136,533,410,34.36029815673828,WOA_Salinity,32,645,642,294.86419677734375,SWrad,218,1002,703,35.23884582519531,WOA_Salinity,262,313,4,277.55474853515625,WOA_TEMP_K,12,392,389,141.35098266601562,SWrad,73,464,411,34.94709777832031,WOA_Salinity,63,603,534,-4987.0,Depth_GEBCO,2,644,643,232.86993408203125,SWrad,30,671,646,-27.5,Depth_GEBCO,201,951,704,36.61005401611328,WOA_Salinity,17,1028,1003,77.61605834960938,SWrad,190,86,5,-205.5,Depth_GEBCO,72,367,314,222.73602294921875,SWrad,2,391,390,279.3004150390625,WOA_TEMP_K,10,398,393,-3080.5,Depth_GEBCO,28,457,412,291.24462890625,WOA_TEMP_K,45,490,465,32.69860076904297,WOA_Salinity,37,564,535,-59.5,Depth_GEBCO,26,615,604,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,34.50665283203125,WOA_Salinity,13,648,647,298.4517517089844,WOA_TEMP_K,17,681,672,269.5973205566406,SWrad,146,926,705,226.00035095214844,SWrad,55,989,952,36.428802490234375,WOA_Salinity,16,1027,1004,-2.0,Depth_GEBCO,1,-1,-1,1029
9,288.6862487792969,WOA_TEMP_K,657,414,1,-100.5,Depth_GEBCO,284,313,2,294.26531982421875,WOA_TEMP_K,373,620,415,292.48211669921875,SWrad,207,312,3,277.55474853515625,WOA_TEMP_K,77,339,314,-2000.0,Depth_GEBCO,123,523,416,302.2322082519531,WOA_TEMP_K,250,1004,621,33.79804992675781,WOA_Salinity,206,57,4,-2.0,Depth_GEBCO,1,-1,-1,271.9990539550781,WOA_TEMP_K,34,326,315,278.9277648925781,WOA_TEMP_K,43,345,340,35.38710021972656,WOA_Salinity,61,428,417,243.8085174560547,SWrad,62,609,524,-25.5,Depth_GEBCO,247,951,622,-4239.0,Depth_GEBCO,3,1006,1005,49.94078063964844,SWrad,32,10,5,287.4827880859375,WOA_TEMP_K,174,293,58,-2.0,Depth_GEBCO,1,-1,-1,-2.0,Depth_GEBCO,1,-1,-1,0.5914274454116821,SWrad,8,317,316,32.41508865356445,WOA_Salinity,26,332,327,278.73089599609375,WOA_TEMP_K,4,344,341,287.73760986328125,WOA_TEMP_K,39,409,346,34.99095916748047,WOA_Salinity,6,423,418,289.81170654296875,WOA_TEMP_K,55,436,429,32.621612548828125,WOA_Salinity,56,552,525,35.02214431762695,WOA_Salinity,6,613,610,295.5714416503906,SWrad,198,920,623,301.28076171875,WOA_TEMP_K,49,1003,952,-2.0,Depth_GEBCO,1,-1,-1,302.3874206542969,WOA_TEMP_K,2,1008,1007,1009
