,N0000: threshold ,N0000: feature ,N0000: n_node_samples ,N0000: RH child ,N0000: LH child ,N0001: threshold ,N0001: feature ,N0001: n_node_samples ,N0001: RH child ,N0001: LH child ,N0002: threshold ,N0002: feature ,N0002: n_node_samples ,N0002: RH child ,N0002: LH child ,N0003: threshold ,N0003: feature ,N0003: n_node_samples ,N0003: RH child ,N0003: LH child ,N0004: threshold ,N0004: feature ,N0004: n_node_samples ,N0004: RH child ,N0004: LH child ,N0005: threshold ,N0005: feature ,N0005: n_node_samples ,N0005: RH child ,N0005: LH child ,N0006: threshold ,N0006: feature ,N0006: n_node_samples ,N0006: RH child ,N0006: LH child ,N0007: threshold ,N0007: feature ,N0007: n_node_samples ,N0007: RH child ,N0007: LH child ,N0008: threshold ,N0008: feature ,N0008: n_node_samples ,N0008: RH child ,N0008: LH child ,N0009: threshold ,N0009: feature ,N0009: n_node_samples ,N0009: RH child ,N0009: LH child ,N0010: threshold ,N0010: feature ,N0010: n_node_samples ,N0010: RH child ,N0010: LH child ,N0011: threshold ,N0011: feature ,N0011: n_node_samples ,N0011: RH child ,N0011: LH child ,N0012: threshold ,N0012: feature ,N0012: n_node_samples ,N0012: RH child ,N0012: LH child ,N0013: threshold ,N0013: feature ,N0013: n_node_samples ,N0013: RH child ,N0013: LH child ,N0014: threshold ,N0014: feature ,N0014: n_node_samples ,N0014: RH child ,N0014: LH child ,N0015: threshold ,N0015: feature ,N0015: n_node_samples ,N0015: RH child ,N0015: LH child ,N0016: threshold ,N0016: feature ,N0016: n_node_samples ,N0016: RH child ,N0016: LH child ,N0017: threshold ,N0017: feature ,N0017: n_node_samples ,N0017: RH child ,N0017: LH child ,N0018: threshold ,N0018: feature ,N0018: n_node_samples ,N0018: RH child ,N0018: LH child ,N0019: threshold ,N0019: feature ,N0019: n_node_samples ,N0019: RH child ,N0019: LH child ,N0020: threshold ,N0020: feature ,N0020: n_node_samples ,N0020: RH child ,N0020: LH child ,N0021: threshold ,N0021: feature ,N0021: n_node_samples ,N0021: RH child ,N0021: LH child ,N0022: threshold ,N0022: feature ,N0022: n_node_samples ,N0022: RH child ,N0022: LH child ,N0023: threshold ,N0023: feature ,N0023: n_node_samples ,N0023: RH child ,N0023: LH child ,N0024: threshold ,N0024: feature ,N0024: n_node_samples ,N0024: RH child ,N0024: LH child ,N0025: threshold ,N0025: feature ,N0025: n_node_samples ,N0025: RH child ,N0025: LH child ,N0026: threshold ,N0026: feature ,N0026: n_node_samples ,N0026: RH child ,N0026: LH child ,N0027: threshold ,N0027: feature ,N0027: n_node_samples ,N0027: RH child ,N0027: LH child ,N0028: threshold ,N0028: feature ,N0028: n_node_samples ,N0028: RH child ,N0028: LH child ,N0029: threshold ,N0029: feature ,N0029: n_node_samples ,N0029: RH child ,N0029: LH child ,N0030: threshold ,N0030: feature ,N0030: n_node_samples ,N0030: RH child ,N0030: LH child ,n_nodes
0,291.2042541503906,WOA_TEMP_K,637,472,1,7.708664417266846,WOA_Nitrate,324,251,2,2.426514148712158,WOA_Nitrate,313,916,473,0.11839034408330917,WOA_Nitrate,162,20,3,285.2760009765625,WOA_TEMP_K,162,467,252,294.266357421875,WOA_TEMP_K,291,555,474,292.09619140625,WOA_TEMP_K,22,926,917,0.09337590634822845,WOA_Nitrate,12,13,4,280.0425109863281,WOA_TEMP_K,150,38,21,274.33856201171875,WOA_TEMP_K,159,344,253,288.5126037597656,WOA_TEMP_K,3,471,468,291.335693359375,WOA_TEMP_K,50,476,475,302.22625732421875,WOA_TEMP_K,241,909,556,4.449679374694824,WOA_Nitrate,5,919,918,294.40667724609375,WOA_TEMP_K,17,936,927,287.58709716796875,WOA_TEMP_K,6,8,5,289.45989990234375,WOA_TEMP_K,6,17,14,2.9008095264434814,WOA_Nitrate,11,25,22,287.8784484863281,WOA_TEMP_K,139,158,39,13.422380447387695,WOA_Nitrate,76,257,254,280.9892578125,WOA_TEMP_K,83,424,345,8.474184036254883,WOA_Nitrate,2,470,469,-2.0,WOA_TEMP_K,1,-1,-1,-2.0,WOA_TEMP_K,1,-1,-1,292.4801940917969,WOA_TEMP_K,49,506,477,302.0439453125,WOA_TEMP_K,236,900,557,0.9232615232467651,WOA_Nitrate,5,915,910,-2.0,WOA_TEMP_K,1,-1,-1,291.7850341796875,WOA_TEMP_K,4,923,920,5.163601398468018,WOA_Nitrate,6,935,928,4.929196357727051,WOA_Nitrate,11,952,937,957
1,288.09173583984375,WOA_TEMP_K,648,378,1,8.340669631958008,WOA_Nitrate,274,161,2,5.891585350036621,WOA_Nitrate,374,938,379,279.1221008300781,WOA_TEMP_K,107,14,3,274.17742919921875,WOA_TEMP_K,167,251,162,294.271484375,WOA_TEMP_K,364,579,380,295.903076171875,WOA_TEMP_K,10,954,939,277.6365966796875,WOA_TEMP_K,7,9,4,6.076742172241211,WOA_Nitrate,100,106,15,19.688602447509766,WOA_Nitrate,78,178,163,9.257543563842773,WOA_Nitrate,89,277,252,289.57196044921875,WOA_TEMP_K,117,420,381,2.3994576930999756,WOA_Nitrate,247,925,580,290.4360046386719,WOA_TEMP_K,8,945,940,7.437865734100342,WOA_Nitrate,2,956,955,277.5057067871094,WOA_TEMP_K,4,8,5,278.73089599609375,WOA_TEMP_K,3,13,10,287.433349609375,WOA_TEMP_K,63,85,16,282.78607177734375,WOA_TEMP_K,37,152,107,16.95843505859375,WOA_Nitrate,30,173,164,272.03143310546875,WOA_TEMP_K,48,198,179,8.590429306030273,WOA_Nitrate,37,264,253,16.674755096435547,WOA_Nitrate,52,309,278,289.4866027832031,WOA_TEMP_K,22,419,382,292.46881103515625,WOA_TEMP_K,95,522,421,0.026967208832502365,WOA_Nitrate,240,610,581,2.9989395141601562,WOA_Nitrate,7,933,926,6.282436370849609,WOA_Nitrate,3,942,941,292.1919860839844,WOA_TEMP_K,5,953,946,-2.0,WOA_TEMP_K,1,-1,-1,-2.0,WOA_TEMP_K,1,-1,-1,957
2,290.92694091796875,WOA_TEMP_K,636,510,1,7.708664417266846,WOA_Nitrate,340,265,2,296.34661865234375,WOA_TEMP_K,296,690,511,280.0425109863281,WOA_TEMP_K,172,20,3,274.4586486816406,WOA_TEMP_K,168,369,266,6.182583332061768,WOA_Nitrate,108,681,512,0.04959658160805702,WOA_Nitrate,188,742,691,2.9008095264434814,WOA_Nitrate,13,9,4,0.11839034408330917,WOA_Nitrate,159,36,21,28.724733352661133,WOA_Nitrate,76,358,267,286.0950927734375,WOA_TEMP_K,92,507,370,294.3598937988281,WOA_TEMP_K,103,618,513,292.89849853515625,WOA_TEMP_K,5,689,682,0.0417323000729084,WOA_Nitrate,37,737,692,0.25600025057792664,WOA_Nitrate,151,882,743,278.0047607421875,WOA_TEMP_K,4,6,5,277.5057067871094,WOA_TEMP_K,9,13,10,0.09337590634822845,WOA_Nitrate,12,31,22,287.60076904296875,WOA_TEMP_K,147,158,37,27.81155014038086,WOA_Nitrate,70,355,268,29.782238006591797,WOA_Nitrate,6,368,359,9.257543563842773,WOA_Nitrate,90,406,371,8.474184036254883,WOA_Nitrate,2,509,508,292.9234619140625,WOA_TEMP_K,65,573,514,0.12809038162231445,WOA_Nitrate,38,632,619,292.1919860839844,WOA_TEMP_K,4,688,683,-2.0,WOA_TEMP_K,1,-1,-1,0.024210292845964432,WOA_Nitrate,31,718,693,300.28033447265625,WOA_TEMP_K,6,741,738,0.07206182926893234,WOA_Nitrate,97,759,744,2.3994576930999756,WOA_Nitrate,54,964,883,979
3,291.967529296875,WOA_TEMP_K,632,508,1,7.549012660980225,WOA_Nitrate,341,267,2,294.428955078125,WOA_TEMP_K,291,600,509,7.518493175506592,WOA_Nitrate,166,262,3,285.8365478515625,WOA_TEMP_K,175,503,268,5.163601398468018,WOA_Nitrate,61,593,510,2.116338014602661,WOA_Nitrate,230,934,601,287.55133056640625,WOA_TEMP_K,163,121,4,277.6365966796875,WOA_TEMP_K,3,266,263,281.95379638671875,WOA_TEMP_K,172,456,269,8.474184036254883,WOA_Nitrate,3,505,504,0.05060156434774399,WOA_Nitrate,57,516,511,292.4751892089844,WOA_TEMP_K,4,597,594,0.14443935453891754,WOA_Nitrate,218,763,602,4.663288116455078,WOA_Nitrate,12,952,935,281.3896484375,WOA_TEMP_K,80,36,5,0.11839034408330917,WOA_Nitrate,83,137,122,277.4967956542969,WOA_TEMP_K,2,265,264,-2.0,WOA_TEMP_K,1,-1,-1,280.4107971191406,WOA_TEMP_K,122,443,270,282.81817626953125,WOA_TEMP_K,50,482,457,-2.0,WOA_TEMP_K,1,-1,-1,288.5126037597656,WOA_TEMP_K,2,507,506,293.2066650390625,WOA_TEMP_K,5,515,512,0.3801235556602478,WOA_Nitrate,52,554,517,7.188085079193115,WOA_Nitrate,2,596,595,7.352665901184082,WOA_Nitrate,2,599,598,300.35797119140625,WOA_TEMP_K,120,720,603,302.00042724609375,WOA_TEMP_K,98,925,764,296.6021728515625,WOA_TEMP_K,9,941,936,6.728257179260254,WOA_Nitrate,3,956,953,957
4,287.60076904296875,WOA_TEMP_K,636,368,1,7.708664417266846,WOA_Nitrate,263,133,2,294.3598937988281,WOA_TEMP_K,373,592,369,280.9525451660156,WOA_TEMP_K,90,32,3,274.3023681640625,WOA_TEMP_K,173,233,134,5.94885778427124,WOA_Nitrate,127,575,370,297.98651123046875,WOA_TEMP_K,246,766,593,6.8647871017456055,WOA_Nitrate,21,27,4,282.4303894042969,WOA_TEMP_K,69,54,33,274.2248840332031,WOA_TEMP_K,81,232,135,25.313037872314453,WOA_Nitrate,92,363,234,0.6861951351165771,WOA_Nitrate,118,480,371,290.4360046386719,WOA_TEMP_K,9,585,576,2.020681381225586,WOA_Nitrate,116,759,594,302.2322082519531,WOA_TEMP_K,130,956,767,277.68145751953125,WOA_TEMP_K,16,6,5,277.6365966796875,WOA_TEMP_K,5,31,28,282.20416259765625,WOA_TEMP_K,14,53,34,7.678949356079102,WOA_Nitrate,55,132,55,28.81669044494629,WOA_Nitrate,80,223,136,-2.0,WOA_TEMP_K,1,-1,-1,274.99920654296875,WOA_TEMP_K,89,256,235,275.02276611328125,WOA_TEMP_K,3,365,364,292.87774658203125,WOA_TEMP_K,64,459,372,1.7181329727172852,WOA_Nitrate,54,532,481,6.1174540519714355,WOA_Nitrate,5,578,577,7.988773822784424,WOA_Nitrate,4,591,586,0.27178582549095154,WOA_Nitrate,112,710,595,2.9381589889526367,WOA_Nitrate,4,761,760,302.03839111328125,WOA_TEMP_K,124,947,768,0.9400821924209595,WOA_Nitrate,6,964,957,965
5,292.3228759765625,WOA_TEMP_K,641,512,1,8.340669631958008,WOA_Nitrate,349,297,2,296.349609375,WOA_TEMP_K,292,658,513,5.959904670715332,WOA_Nitrate,182,232,3,274.33856201171875,WOA_TEMP_K,167,385,298,0.06800809502601624,WOA_Nitrate,98,529,514,0.23313888907432556,WOA_Nitrate,194,844,659,287.60076904296875,WOA_TEMP_K,140,83,4,283.7154541015625,WOA_TEMP_K,42,286,233,13.422380447387695,WOA_Nitrate,73,304,299,286.97869873046875,WOA_TEMP_K,94,509,386,294.73980712890625,WOA_TEMP_K,11,522,515,6.816514015197754,WOA_Nitrate,87,657,530,0.20524509251117706,WOA_Nitrate,131,837,660,0.6204158067703247,WOA_Nitrate,63,922,845,280.6864013671875,WOA_TEMP_K,54,18,5,289.56640625,WOA_TEMP_K,86,129,84,281.5144958496094,WOA_TEMP_K,36,265,234,290.1573486328125,WOA_TEMP_K,6,292,287,11.901006698608398,WOA_Nitrate,10,303,300,17.381458282470703,WOA_Nitrate,63,308,305,9.257543563842773,WOA_Nitrate,92,414,387,288.5126037597656,WOA_TEMP_K,2,511,510,292.66204833984375,WOA_TEMP_K,6,517,516,295.72509765625,WOA_TEMP_K,5,528,523,294.44244384765625,WOA_TEMP_K,86,604,531,-2.0,WOA_TEMP_K,1,-1,-1,296.97552490234375,WOA_TEMP_K,127,676,661,300.5794677734375,WOA_TEMP_K,4,841,838,297.3148193359375,WOA_TEMP_K,41,855,846,300.86578369140625,WOA_TEMP_K,22,954,923,963
6,290.957275390625,WOA_TEMP_K,636,476,1,8.340669631958008,WOA_Nitrate,324,247,2,294.44244384765625,WOA_TEMP_K,312,606,477,280.0425109863281,WOA_TEMP_K,157,18,3,274.37384033203125,WOA_TEMP_K,167,349,248,5.14638614654541,WOA_Nitrate,80,599,478,302.22625732421875,WOA_TEMP_K,232,944,607,2.9008095264434814,WOA_Nitrate,11,5,4,0.11839034408330917,WOA_Nitrate,146,30,19,13.422380447387695,WOA_Nitrate,74,254,249,286.1990966796875,WOA_TEMP_K,93,475,350,0.3801235556602478,WOA_Nitrate,76,536,479,292.7377624511719,WOA_TEMP_K,4,605,600,2.3994576930999756,WOA_Nitrate,227,931,608,0.9232615232467651,WOA_Nitrate,5,950,945,-2.0,WOA_TEMP_K,2,-1,-1,277.6365966796875,WOA_TEMP_K,9,11,6,0.09185905754566193,WOA_Nitrate,9,29,20,287.433349609375,WOA_TEMP_K,137,158,31,11.901006698608398,WOA_Nitrate,7,253,250,274.2248840332031,WOA_TEMP_K,67,346,255,24.328594207763672,WOA_Nitrate,92,452,351,-2.0,WOA_TEMP_K,1,-1,-1,294.3768005371094,WOA_TEMP_K,41,533,480,291.5899658203125,WOA_TEMP_K,35,554,537,291.7850341796875,WOA_TEMP_K,3,604,601,-2.0,WOA_TEMP_K,1,-1,-1,300.920166015625,WOA_TEMP_K,220,884,609,4.663288116455078,WOA_Nitrate,7,939,932,302.4921569824219,WOA_TEMP_K,4,949,946,-2.0,WOA_TEMP_K,1,-1,-1,951
7,291.267822265625,WOA_TEMP_K,635,458,1,7.642237663269043,WOA_Nitrate,312,243,2,3.9878432750701904,WOA_Nitrate,323,934,459,280.0425109863281,WOA_TEMP_K,153,16,3,274.3023681640625,WOA_TEMP_K,159,337,244,294.3768005371094,WOA_TEMP_K,314,551,460,292.75909423828125,WOA_TEMP_K,9,942,935,2.9008095264434814,WOA_Nitrate,9,5,4,287.60076904296875,WOA_TEMP_K,144,124,17,274.2248840332031,WOA_TEMP_K,72,336,245,287.90374755859375,WOA_TEMP_K,87,457,338,292.46881103515625,WOA_TEMP_K,60,498,461,2.175736904144287,WOA_Nitrate,254,917,552,291.7850341796875,WOA_TEMP_K,4,939,936,4.663288116455078,WOA_Nitrate,5,946,943,-2.0,WOA_TEMP_K,1,-1,-1,277.6365966796875,WOA_TEMP_K,8,11,6,282.5738525390625,WOA_TEMP_K,72,43,18,0.11839034408330917,WOA_Nitrate,72,138,125,28.82461929321289,WOA_Nitrate,71,325,246,-2.0,WOA_TEMP_K,1,-1,-1,274.7357482910156,WOA_TEMP_K,86,358,339,-2.0,WOA_TEMP_K,1,-1,-1,291.48529052734375,WOA_TEMP_K,22,473,462,292.5203857421875,WOA_TEMP_K,38,500,499,0.37037500739097595,WOA_Nitrate,245,840,553,295.2310791015625,WOA_TEMP_K,9,921,918,291.48529052734375,WOA_TEMP_K,2,938,937,292.03125,WOA_TEMP_K,2,941,940,4.16499662399292,WOA_Nitrate,2,945,944,300.10931396484375,WOA_TEMP_K,3,950,947,951
8,294.3598937988281,WOA_TEMP_K,660,614,1,287.48724365234375,WOA_TEMP_K,410,391,2,2.175736904144287,WOA_Nitrate,250,966,615,282.4303894042969,WOA_TEMP_K,274,272,3,7.115273952484131,WOA_Nitrate,136,609,392,297.9713134765625,WOA_TEMP_K,238,791,616,4.602897644042969,WOA_Nitrate,12,982,967,7.569245338439941,WOA_Nitrate,176,49,4,283.9263610839844,WOA_TEMP_K,98,336,273,5.94885778427124,WOA_Nitrate,133,602,393,7.988773822784424,WOA_Nitrate,3,613,610,0.23345504701137543,WOA_Nitrate,113,736,617,300.920166015625,WOA_TEMP_K,125,921,792,3.422346591949463,WOA_Nitrate,8,979,968,300.0972595214844,WOA_TEMP_K,4,986,983,7.518493175506592,WOA_Nitrate,30,42,5,13.589052200317383,WOA_Nitrate,146,87,50,3.5882554054260254,WOA_Nitrate,63,279,274,286.2275085449219,WOA_TEMP_K,35,362,337,0.1056661382317543,WOA_Nitrate,129,417,394,6.1174540519714355,WOA_Nitrate,4,604,603,7.729924201965332,WOA_Nitrate,2,612,611,-2.0,WOA_TEMP_K,1,-1,-1,0.0839923545718193,WOA_Nitrate,82,657,618,1.2241697311401367,WOA_Nitrate,31,790,737,0.1377807855606079,WOA_Nitrate,102,838,793,302.2322082519531,WOA_TEMP_K,23,961,922,2.3046343326568604,WOA_Nitrate,6,970,969,296.406982421875,WOA_TEMP_K,2,981,980,299.6865539550781,WOA_TEMP_K,2,985,984,300.52001953125,WOA_TEMP_K,2,988,987,989
9,288.6862487792969,WOA_TEMP_K,657,378,1,8.040449142456055,WOA_Nitrate,284,151,2,294.26531982421875,WOA_TEMP_K,373,570,379,278.9277648925781,WOA_TEMP_K,110,12,3,274.17254638671875,WOA_TEMP_K,174,245,152,5.891585350036621,WOA_Nitrate,123,555,380,302.2322082519531,WOA_TEMP_K,250,944,571,277.51776123046875,WOA_TEMP_K,7,5,4,281.44158935546875,WOA_TEMP_K,103,42,13,271.9564208984375,WOA_TEMP_K,75,180,153,9.257543563842773,WOA_Nitrate,99,279,246,0.1056661382317543,WOA_Nitrate,115,406,381,7.988773822784424,WOA_Nitrate,8,569,556,0.2589055895805359,WOA_Nitrate,247,819,572,0.9232615232467651,WOA_Nitrate,3,948,945,-2.0,WOA_TEMP_K,1,-1,-1,277.6365966796875,WOA_TEMP_K,6,7,6,279.6031494140625,WOA_TEMP_K,21,17,14,0.5205907821655273,WOA_Nitrate,82,62,43,27.822940826416016,WOA_Nitrate,16,175,154,272.539794921875,WOA_TEMP_K,59,194,181,8.590429306030273,WOA_Nitrate,44,260,247,275.5558166503906,WOA_TEMP_K,55,311,280,289.587890625,WOA_TEMP_K,18,387,382,1.7181329727172852,WOA_Nitrate,97,514,407,290.4360046386719,WOA_TEMP_K,7,560,557,-2.0,WOA_TEMP_K,1,-1,-1,302.04595947265625,WOA_TEMP_K,176,810,573,300.8597412109375,WOA_TEMP_K,71,933,820,0.11242353171110153,WOA_Nitrate,2,947,946,-2.0,WOA_TEMP_K,1,-1,-1,949
