,N0000: threshold ,N0000: feature ,N0000: n_node_samples ,N0000: RH child ,N0000: LH child ,N0001: threshold ,N0001: feature ,N0001: n_node_samples ,N0001: RH child ,N0001: LH child ,N0002: threshold ,N0002: feature ,N0002: n_node_samples ,N0002: RH child ,N0002: LH child ,N0003: threshold ,N0003: feature ,N0003: n_node_samples ,N0003: RH child ,N0003: LH child ,N0004: threshold ,N0004: feature ,N0004: n_node_samples ,N0004: RH child ,N0004: LH child ,N0005: threshold ,N0005: feature ,N0005: n_node_samples ,N0005: RH child ,N0005: LH child ,N0006: threshold ,N0006: feature ,N0006: n_node_samples ,N0006: RH child ,N0006: LH child ,N0007: threshold ,N0007: feature ,N0007: n_node_samples ,N0007: RH child ,N0007: LH child ,N0008: threshold ,N0008: feature ,N0008: n_node_samples ,N0008: RH child ,N0008: LH child ,N0009: threshold ,N0009: feature ,N0009: n_node_samples ,N0009: RH child ,N0009: LH child ,N0010: threshold ,N0010: feature ,N0010: n_node_samples ,N0010: RH child ,N0010: LH child ,N0011: threshold ,N0011: feature ,N0011: n_node_samples ,N0011: RH child ,N0011: LH child ,N0012: threshold ,N0012: feature ,N0012: n_node_samples ,N0012: RH child ,N0012: LH child ,N0013: threshold ,N0013: feature ,N0013: n_node_samples ,N0013: RH child ,N0013: LH child ,N0014: threshold ,N0014: feature ,N0014: n_node_samples ,N0014: RH child ,N0014: LH child ,N0015: threshold ,N0015: feature ,N0015: n_node_samples ,N0015: RH child ,N0015: LH child ,N0016: threshold ,N0016: feature ,N0016: n_node_samples ,N0016: RH child ,N0016: LH child ,N0017: threshold ,N0017: feature ,N0017: n_node_samples ,N0017: RH child ,N0017: LH child ,N0018: threshold ,N0018: feature ,N0018: n_node_samples ,N0018: RH child ,N0018: LH child ,N0019: threshold ,N0019: feature ,N0019: n_node_samples ,N0019: RH child ,N0019: LH child ,N0020: threshold ,N0020: feature ,N0020: n_node_samples ,N0020: RH child ,N0020: LH child ,N0021: threshold ,N0021: feature ,N0021: n_node_samples ,N0021: RH child ,N0021: LH child ,N0022: threshold ,N0022: feature ,N0022: n_node_samples ,N0022: RH child ,N0022: LH child ,N0023: threshold ,N0023: feature ,N0023: n_node_samples ,N0023: RH child ,N0023: LH child ,N0024: threshold ,N0024: feature ,N0024: n_node_samples ,N0024: RH child ,N0024: LH child ,N0025: threshold ,N0025: feature ,N0025: n_node_samples ,N0025: RH child ,N0025: LH child ,N0026: threshold ,N0026: feature ,N0026: n_node_samples ,N0026: RH child ,N0026: LH child ,N0027: threshold ,N0027: feature ,N0027: n_node_samples ,N0027: RH child ,N0027: LH child ,N0028: threshold ,N0028: feature ,N0028: n_node_samples ,N0028: RH child ,N0028: LH child ,N0029: threshold ,N0029: feature ,N0029: n_node_samples ,N0029: RH child ,N0029: LH child ,N0030: threshold ,N0030: feature ,N0030: n_node_samples ,N0030: RH child ,N0030: LH child ,n_nodes
0,291.2042541503906,WOA_TEMP_K,637,472,1,32.167152404785156,WOA_Salinity,324,35,2,2.426514148712158,WOA_Nitrate,313,910,473,20.617704391479492,WOA_Salinity,20,10,3,7.708664417266846,WOA_Nitrate,304,253,36,294.266357421875,WOA_TEMP_K,291,555,474,292.09619140625,WOA_TEMP_K,22,920,911,0.19663533568382263,WOA_Nitrate,5,5,4,0.15085573494434357,WOA_Nitrate,15,20,11,35.23400115966797,WOA_Salinity,142,168,37,33.885887145996094,WOA_Salinity,162,351,254,36.639747619628906,WOA_Salinity,50,540,475,35.5177116394043,WOA_Salinity,241,789,556,291.3392333984375,WOA_TEMP_K,5,913,912,35.61470031738281,WOA_Salinity,17,934,921,-2.0,WOA_Salinity,1,-1,-1,279.6268005371094,WOA_TEMP_K,4,7,6,289.06964111328125,WOA_TEMP_K,7,13,12,31.460004806518555,WOA_Salinity,8,32,21,278.5148010253906,WOA_TEMP_K,80,41,38,289.24786376953125,WOA_TEMP_K,62,216,169,279.9581298828125,WOA_TEMP_K,80,350,255,285.2760009765625,WOA_TEMP_K,82,467,352,36.61079406738281,WOA_Salinity,40,531,476,293.7919921875,WOA_TEMP_K,10,552,541,0.06094636023044586,WOA_Nitrate,153,600,557,36.689849853515625,WOA_Salinity,88,895,790,-2.0,WOA_Salinity,1,-1,-1,35.0843505859375,WOA_Salinity,4,917,914,293.415283203125,WOA_TEMP_K,8,923,922,36.032691955566406,WOA_Salinity,9,948,935,951
1,288.09173583984375,WOA_TEMP_K,648,378,1,8.340669631958008,WOA_Nitrate,274,161,2,5.891585350036621,WOA_Nitrate,374,934,379,279.1221008300781,WOA_TEMP_K,107,14,3,33.86833953857422,WOA_Salinity,167,259,162,294.271484375,WOA_TEMP_K,364,581,380,34.94709777832031,WOA_Salinity,10,940,935,277.6365966796875,WOA_TEMP_K,7,9,4,34.74351119995117,WOA_Salinity,100,86,15,33.86674880981445,WOA_Salinity,83,258,163,274.13690185546875,WOA_TEMP_K,84,281,260,32.621612548828125,WOA_Salinity,117,412,381,2.3994576930999756,WOA_Nitrate,247,921,582,6.822469234466553,WOA_Nitrate,3,937,936,7.8227620124816895,WOA_Nitrate,7,952,941,33.42389678955078,WOA_Salinity,4,8,5,278.73089599609375,WOA_TEMP_K,3,13,10,284.510498046875,WOA_TEMP_K,41,63,16,35.23400115966797,WOA_Salinity,59,124,87,33.29935073852539,WOA_Salinity,82,179,164,-2.0,WOA_Salinity,1,-1,-1,24.169967651367188,WOA_Nitrate,11,270,261,275.201904296875,WOA_TEMP_K,73,305,282,0.1381014883518219,WOA_Nitrate,17,387,382,292.46881103515625,WOA_TEMP_K,100,526,413,36.36391067504883,WOA_Salinity,240,854,583,35.73284912109375,WOA_Salinity,7,931,922,-2.0,WOA_Salinity,1,-1,-1,34.53284454345703,WOA_Salinity,2,939,938,290.1573486328125,WOA_TEMP_K,6,943,942,-2.0,WOA_Salinity,1,-1,-1,953
2,290.92694091796875,WOA_TEMP_K,636,508,1,32.167152404785156,WOA_Salinity,340,31,2,296.34661865234375,WOA_TEMP_K,296,686,509,20.617704391479492,WOA_Salinity,18,10,3,7.708664417266846,WOA_Nitrate,322,263,32,6.182583332061768,WOA_Nitrate,108,677,510,35.693702697753906,WOA_Salinity,188,876,687,290.64691162109375,WOA_TEMP_K,5,9,4,0.15085573494434357,WOA_Nitrate,13,16,11,34.07366180419922,WOA_Salinity,154,70,33,33.909244537353516,WOA_Salinity,168,389,264,36.698448181152344,WOA_Salinity,103,662,511,35.32168960571289,WOA_Salinity,5,685,678,0.009883947670459747,WOA_Nitrate,124,691,688,36.533599853515625,WOA_Salinity,64,960,877,1.289750099182129,WOA_Nitrate,4,8,5,-2.0,WOA_Salinity,1,-1,-1,31.549549102783203,WOA_Salinity,5,13,12,31.53091049194336,WOA_Salinity,8,28,17,6.442724227905273,WOA_Nitrate,23,61,34,35.23400115966797,WOA_Salinity,131,168,71,272.539794921875,WOA_TEMP_K,88,294,265,286.0950927734375,WOA_TEMP_K,80,505,390,36.55093765258789,WOA_Salinity,94,631,512,295.2222595214844,WOA_TEMP_K,9,676,663,292.1919860839844,WOA_TEMP_K,4,684,679,-2.0,WOA_Salinity,1,-1,-1,35.25843811035156,WOA_Salinity,2,690,689,34.66565704345703,WOA_Salinity,122,811,692,36.36391067504883,WOA_Salinity,57,931,878,297.317626953125,WOA_TEMP_K,7,966,961,973
3,291.967529296875,WOA_TEMP_K,632,506,1,7.549012660980225,WOA_Nitrate,341,263,2,294.428955078125,WOA_TEMP_K,291,596,507,34.54621124267578,WOA_Salinity,166,102,3,285.8365478515625,WOA_TEMP_K,175,501,264,5.163601398468018,WOA_Nitrate,61,589,508,2.116338014602661,WOA_Nitrate,230,930,597,12.688749313354492,WOA_Salinity,57,5,4,287.433349609375,WOA_TEMP_K,109,170,103,33.909244537353516,WOA_Salinity,172,390,265,34.33354187011719,WOA_Salinity,3,503,502,36.647003173828125,WOA_Salinity,57,576,509,292.4751892089844,WOA_TEMP_K,4,593,590,0.14443935453891754,WOA_Nitrate,218,761,598,35.622459411621094,WOA_Salinity,12,940,931,-2.0,WOA_Salinity,2,-1,-1,32.25389862060547,WOA_Salinity,55,31,6,35.23400115966797,WOA_Salinity,52,139,104,35.51668930053711,WOA_Salinity,57,222,171,13.970744132995605,WOA_Nitrate,91,273,266,7.681279182434082,WOA_Nitrate,81,404,391,-2.0,WOA_Salinity,1,-1,-1,287.6290283203125,WOA_TEMP_K,2,505,504,36.603450775146484,WOA_Salinity,47,557,510,36.74034118652344,WOA_Salinity,10,582,577,35.11724853515625,WOA_Salinity,2,592,591,7.352665901184082,WOA_Nitrate,2,595,594,300.35797119140625,WOA_TEMP_K,120,718,599,302.00042724609375,WOA_TEMP_K,98,921,762,6.728257179260254,WOA_Nitrate,5,939,932,296.85760498046875,WOA_TEMP_K,7,944,941,953
4,287.60076904296875,WOA_TEMP_K,636,368,1,7.708664417266846,WOA_Nitrate,263,133,2,294.3598937988281,WOA_TEMP_K,373,592,369,280.9525451660156,WOA_TEMP_K,90,32,3,33.895450592041016,WOA_Salinity,173,245,134,5.94885778427124,WOA_Nitrate,127,575,370,35.613914489746094,WOA_Salinity,246,842,593,6.8647871017456055,WOA_Nitrate,21,27,4,35.23400115966797,WOA_Salinity,69,96,33,27.749679565429688,WOA_Nitrate,88,232,135,8.95120620727539,WOA_Nitrate,85,271,246,32.14868927001953,WOA_Salinity,118,394,371,34.94709777832031,WOA_Salinity,9,583,576,297.98651123046875,WOA_TEMP_K,159,705,594,2.6778945922851562,WOA_Nitrate,87,954,843,17.60360336303711,WOA_Salinity,16,6,5,277.6365966796875,WOA_TEMP_K,5,31,28,0.5328406095504761,WOA_Nitrate,37,35,34,286.732177734375,WOA_TEMP_K,32,124,97,24.722414016723633,WOA_Nitrate,81,193,136,28.674667358398438,WOA_Nitrate,7,236,233,276.74945068359375,WOA_TEMP_K,32,248,247,275.201904296875,WOA_TEMP_K,53,309,272,0.1381014883518219,WOA_Nitrate,12,381,372,292.46881103515625,WOA_TEMP_K,106,532,395,288.9852600097656,WOA_TEMP_K,4,582,577,7.988773822784424,WOA_Nitrate,5,591,584,0.27178582549095154,WOA_Nitrate,78,666,595,33.90330505371094,WOA_Salinity,81,739,706,297.77117919921875,WOA_TEMP_K,83,899,844,3.5043206214904785,WOA_Nitrate,4,958,955,961
5,292.3228759765625,WOA_TEMP_K,641,508,1,8.340669631958008,WOA_Nitrate,349,293,2,296.349609375,WOA_TEMP_K,292,652,509,35.237754821777344,WOA_Salinity,182,196,3,33.885887145996094,WOA_Salinity,167,395,294,36.691551208496094,WOA_Salinity,98,633,510,35.535552978515625,WOA_Salinity,194,854,653,292.04083251953125,WOA_TEMP_K,110,195,4,288.2003173828125,WOA_TEMP_K,72,228,197,13.970744132995605,WOA_Nitrate,81,302,295,286.97869873046875,WOA_TEMP_K,86,505,396,36.61493682861328,WOA_Salinity,86,616,511,295.0195007324219,WOA_TEMP_K,12,649,634,34.17849349975586,WOA_Salinity,129,747,654,36.51840591430664,WOA_Salinity,65,924,855,34.07060241699219,WOA_Salinity,109,78,5,-2.0,WOA_Salinity,1,-1,-1,3.633284568786621,WOA_Nitrate,30,221,198,35.691795349121094,WOA_Salinity,42,264,229,11.55649185180664,WOA_Nitrate,11,299,296,33.86674880981445,WOA_Salinity,70,386,303,274.2122802734375,WOA_TEMP_K,84,410,397,288.5126037597656,WOA_TEMP_K,2,507,506,6.816514015197754,WOA_Nitrate,69,615,512,0.3388228118419647,WOA_Nitrate,17,628,617,294.32696533203125,WOA_TEMP_K,10,646,635,37.041595458984375,WOA_Salinity,2,651,650,301.6761474609375,WOA_TEMP_K,60,728,655,34.460853576660156,WOA_Salinity,69,765,748,299.548583984375,WOA_TEMP_K,47,899,856,36.846900939941406,WOA_Salinity,18,938,925,951
6,290.957275390625,WOA_TEMP_K,636,474,1,8.340669631958008,WOA_Nitrate,324,245,2,294.44244384765625,WOA_TEMP_K,312,602,475,34.07366180419922,WOA_Salinity,157,60,3,33.910247802734375,WOA_Salinity,167,375,246,5.14638614654541,WOA_Nitrate,80,595,476,35.5682487487793,WOA_Salinity,232,824,603,14.810809135437012,WOA_Salinity,33,9,4,35.23400115966797,WOA_Salinity,124,164,61,13.970744132995605,WOA_Nitrate,89,254,247,286.1990966796875,WOA_TEMP_K,78,473,376,36.647003173828125,WOA_Salinity,76,578,477,35.32168960571289,WOA_Salinity,4,601,596,302.33099365234375,WOA_TEMP_K,147,821,604,299.6906433105469,WOA_TEMP_K,85,914,825,9.772706031799316,WOA_Salinity,4,8,5,0.1381014883518219,WOA_Nitrate,29,13,10,1.1971644163131714,WOA_Nitrate,61,83,62,287.54779052734375,WOA_TEMP_K,63,202,165,11.76342487335205,WOA_Nitrate,8,251,248,272.539794921875,WOA_TEMP_K,81,286,255,274.27923583984375,WOA_TEMP_K,77,396,377,-2.0,WOA_Salinity,1,-1,-1,36.61079406738281,WOA_Salinity,66,565,478,36.688751220703125,WOA_Salinity,10,580,579,291.7850341796875,WOA_TEMP_K,3,600,597,-2.0,WOA_Salinity,1,-1,-1,300.920166015625,WOA_TEMP_K,145,778,605,302.4921569824219,WOA_TEMP_K,2,823,822,36.721656799316406,WOA_Salinity,61,903,826,2.0903823375701904,WOA_Nitrate,24,938,915,943
7,291.267822265625,WOA_TEMP_K,635,458,1,32.167152404785156,WOA_Salinity,312,31,2,3.9878432750701904,WOA_Nitrate,323,934,459,0.1381014883518219,WOA_Nitrate,17,10,3,7.642237663269043,WOA_Nitrate,295,245,32,294.3768005371094,WOA_TEMP_K,314,551,460,292.75909423828125,WOA_TEMP_K,9,942,935,289.45989990234375,WOA_TEMP_K,4,7,4,12.688749313354492,WOA_Salinity,13,14,11,278.95416259765625,WOA_TEMP_K,136,40,33,33.885887145996094,WOA_Salinity,159,343,246,292.46881103515625,WOA_TEMP_K,60,498,461,2.175736904144287,WOA_Nitrate,254,917,552,35.0843505859375,WOA_Salinity,4,939,936,35.58125305175781,WOA_Salinity,5,948,943,31.743391036987305,WOA_Salinity,2,6,5,289.9869384765625,WOA_TEMP_K,2,9,8,1.3106672763824463,WOA_Nitrate,2,13,12,3.0424604415893555,WOA_Nitrate,11,26,15,33.742897033691406,WOA_Salinity,5,39,34,35.23400115966797,WOA_Salinity,131,158,41,33.88469696044922,WOA_Salinity,75,342,247,286.9822998046875,WOA_TEMP_K,84,457,344,291.48529052734375,WOA_TEMP_K,22,473,462,292.5203857421875,WOA_TEMP_K,38,500,499,0.37037500739097595,WOA_Nitrate,245,840,553,35.64649963378906,WOA_Salinity,9,923,918,6.9244561195373535,WOA_Nitrate,2,938,937,35.11724853515625,WOA_Salinity,2,941,940,300.10931396484375,WOA_TEMP_K,3,947,944,297.15765380859375,WOA_TEMP_K,2,950,949,951
8,294.3598937988281,WOA_TEMP_K,660,614,1,287.48724365234375,WOA_TEMP_K,410,391,2,35.58576202392578,WOA_Salinity,250,844,615,35.23400115966797,WOA_Salinity,274,320,3,7.115273952484131,WOA_Nitrate,136,609,392,0.11077664792537689,WOA_Nitrate,144,673,616,36.689849853515625,WOA_Salinity,106,962,845,7.642237663269043,WOA_Nitrate,201,95,4,3.5882554054260254,WOA_Nitrate,73,342,321,35.40599060058594,WOA_Salinity,133,488,393,292.89849853515625,WOA_TEMP_K,3,613,610,34.941993713378906,WOA_Salinity,32,652,617,0.13346247375011444,WOA_Nitrate,112,687,674,2.3046343326568604,WOA_Nitrate,93,951,846,36.85283660888672,WOA_Salinity,13,972,963,279.2694091796875,WOA_TEMP_K,53,18,5,33.885887145996094,WOA_Salinity,148,223,96,35.29045867919922,WOA_Salinity,18,327,322,35.41358947753906,WOA_Salinity,55,384,343,35.15275573730469,WOA_Salinity,56,483,394,36.57463836669922,WOA_Salinity,77,574,489,7.729924201965332,WOA_Nitrate,2,612,611,-2.0,WOA_Salinity,1,-1,-1,34.194847106933594,WOA_Salinity,20,631,618,0.019914086908102036,WOA_Nitrate,12,658,653,0.12880146503448486,WOA_Nitrate,15,684,675,297.9713134765625,WOA_TEMP_K,97,769,688,0.23621416091918945,WOA_Nitrate,87,926,847,3.422346591949463,WOA_Nitrate,6,959,952,298.33612060546875,WOA_TEMP_K,5,971,964,36.96894836425781,WOA_Salinity,8,976,973,987
9,288.6862487792969,WOA_TEMP_K,657,374,1,8.040449142456055,WOA_Nitrate,284,147,2,294.26531982421875,WOA_TEMP_K,373,568,375,34.07366180419922,WOA_Salinity,110,24,3,33.870704650878906,WOA_Salinity,174,243,148,5.891585350036621,WOA_Nitrate,123,553,376,302.2322082519531,WOA_TEMP_K,250,936,569,20.617704391479492,WOA_Salinity,14,7,4,35.23400115966797,WOA_Salinity,96,106,25,13.970744132995605,WOA_Nitrate,77,156,149,274.13690185546875,WOA_TEMP_K,97,271,244,32.621612548828125,WOA_Salinity,115,402,377,34.94709777832031,WOA_Salinity,8,555,554,36.36391067504883,WOA_Salinity,247,863,570,0.9232615232467651,WOA_Nitrate,3,940,937,279.6268005371094,WOA_TEMP_K,2,6,5,278.73089599609375,WOA_TEMP_K,12,13,8,0.7913471460342407,WOA_Nitrate,52,33,26,287.4827880859375,WOA_TEMP_K,44,132,107,33.75025939941406,WOA_Salinity,11,155,150,274.06744384765625,WOA_TEMP_K,66,216,157,271.38568115234375,WOA_TEMP_K,14,250,245,274.7918701171875,WOA_TEMP_K,83,285,272,0.1381014883518219,WOA_Nitrate,15,383,378,292.37603759765625,WOA_TEMP_K,100,504,403,-2.0,WOA_Salinity,1,-1,-1,293.18170166015625,WOA_TEMP_K,7,567,556,302.04595947265625,WOA_TEMP_K,187,854,571,36.689849853515625,WOA_Salinity,60,909,864,302.3874206542969,WOA_TEMP_K,2,939,938,-2.0,WOA_Salinity,1,-1,-1,941
