,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,500,WOA_TEMP_K,100.0,1.9545054924777516,17.417398071289085,17.36312127685549,0,0,643.098,643.0
1,238,WOA_MLDpt,47.599999999999994,8.508848401418899,30.450000762939453,26.123319565748968,1,1,267.77777777777777,263.0
2,175,WOA_Nitrate,35.0,0.3373126801898977,7.912936210632324,7.9662536512102395,1,1,267.77777777777777,263.0
3,58,WOA_Salinity,11.600000000000001,1.2190819116762128,32.167152404785156,32.736663818359375,1,1,267.77777777777777,263.0
4,20,WOA_TEMP_K,4.0,0.21965928063167423,14.450769042968773,14.46716766357424,1,1,267.77777777777777,263.0
5,9,SWrad,1.7999999999999998,0.121490478515625,292.72509765625,292.64410400390625,1,1,267.77777777777777,263.0
9,34,WOA_Salinity,6.800000000000001,0.5387839918053406,35.692291259765625,36.095817004933075,1,2,266.20588235294116,246.5
8,61,SWrad,12.2,6.09979912142277,295.5714416503906,293.78209398613603,1,2,266.20588235294116,246.5
6,307,WOA_TEMP_K,61.4,1.3968771187764286,22.073510742187523,22.354109236627156,1,2,266.20588235294116,246.5
7,98,WOA_Nitrate,19.6,1.6968800206113792,5.9220428466796875,5.069190322744603,1,2,266.20588235294116,246.5
10,190,WOA_Salinity,38.0,3.788568454853591,34.96819877624512,33.66388228567023,2,3,81.29032258064517,99.0
11,159,SWrad,31.8,45.1791501016354,188.23858642578125,177.0370560412137,2,3,81.29032258064517,99.0
12,66,WOA_MLDpt,13.200000000000001,11.783109769236834,5.849999904632568,12.214393854141235,2,3,81.29032258064517,99.0
13,54,WOA_Nitrate,10.8,3.600374957444167,0.16991377621889114,3.2991849137125193,2,3,81.29032258064517,99.0
14,31,WOA_TEMP_K,6.2,3.6466580002859343,6.892510986328148,8.11857634513611,2,3,81.29032258064517,99.0
19,1,SWrad,0.2,,292.72509765625,292.72509765625,2,4,329.0,329.0
17,61,WOA_MLDpt,12.2,116.92467236992073,30.549999237060547,101.37131146915624,2,4,329.0,329.0
18,54,WOA_TEMP_K,10.8,2.155808309903806,14.332788085937523,13.700567287868946,2,4,329.0,329.0
15,234,WOA_Salinity,46.800000000000004,0.6551414043834203,33.885887145996094,34.117366627750236,2,4,329.0,329.0
16,150,WOA_Nitrate,30.0,0.6976069180131033,7.681279182434082,7.6924571561813355,2,4,329.0,329.0
20,256,WOA_Nitrate,51.2,1.4973835083274887,5.94885778427124,5.342335364504834,2,5,181.54545454545453,156.5
21,133,WOA_TEMP_K,26.6,2.093887440432086,21.216729736328148,21.297589845585662,2,5,181.54545454545453,156.5
22,62,WOA_Salinity,12.4,1.4739805035991793,35.60890579223633,35.43290144397366,2,5,181.54545454545453,156.5
23,27,WOA_MLDpt,5.4,25.402994637111565,5.699999809265137,19.03148133666427,2,5,181.54545454545453,156.5
24,22,SWrad,4.3999999999999995,51.18116361178182,230.91030883789062,225.13252917203036,2,5,181.54545454545453,156.5
27,83,WOA_MLDpt,16.6,19.964699017757265,58.79999923706055,53.059035864221045,2,6,128.8082191780822,175.0
29,73,WOA_Nitrate,14.6,2.163641662343475,2.244873046875,2.099519544344855,2,6,128.8082191780822,175.0
28,75,WOA_TEMP_K,15.0,3.4828691350200356,21.226800537109398,22.264473876953144,2,6,128.8082191780822,175.0
26,111,SWrad,22.2,36.54708229857123,295.11236572265625,282.11383565266925,2,6,128.8082191780822,175.0
25,158,WOA_Salinity,31.6,0.42660739029070915,35.608604431152344,35.739501156384435,2,6,128.8082191780822,175.0
30,150,WOA_MLDpt,30.0,22.53070942474439,29.72499942779541,26.962333612442016,3,7,39.01587301587302,31.0
31,139,WOA_TEMP_K,27.800000000000004,4.041518051641775,6.254144287109398,7.967961197448315,3,7,39.01587301587302,31.0
32,76,WOA_Salinity,15.2,5.248776980256134,32.42195129394531,30.61927358727706,3,7,39.01587301587302,31.0
33,72,WOA_Nitrate,14.399999999999999,3.9871065612039844,2.7612041234970093,3.932919794693589,3,7,39.01587301587302,31.0
34,63,SWrad,12.6,54.405275240984615,180.27963256835938,178.65997375003874,3,7,39.01587301587302,31.0
39,50,WOA_Nitrate,10.0,3.4472016017133416,2.699722647666931,3.596539301276207,3,8,62.74,44.0
38,101,WOA_MLDpt,20.200000000000003,47.3140006229899,16.049999237060547,18.920296990045227,3,8,62.74,44.0
35,123,WOA_Salinity,24.6,5.437942257736751,35.226051330566406,32.91734034840653,3,8,62.74,44.0
36,120,SWrad,24.0,79.26778525656316,288.65679931640625,238.14855976104735,3,8,62.74,44.0
37,106,WOA_TEMP_K,21.2,2.919005503140232,14.507287597656273,14.804110775353795,3,8,62.74,44.0
40,219,WOA_Salinity,43.8,1.1694106305494723,34.07366180419922,34.291961356385116,3,9,89.8,96.0
41,94,WOA_MLDpt,18.8,96.40576831377052,132.0,144.35265826164408,3,9,89.8,96.0
42,77,WOA_Nitrate,15.4,6.211296230702003,8.543638229370117,11.828154379284227,3,9,89.8,96.0
43,75,WOA_TEMP_K,15.0,3.251631990182246,6.892510986328148,7.584367268880231,3,9,89.8,96.0
44,35,SWrad,7.000000000000001,74.09534616229321,179.50390625,147.14887063162666,3,9,89.8,96.0
45,183,WOA_Salinity,36.6,0.6729820199992746,33.885887145996094,34.2102969018488,3,10,55.0,70.0
46,170,WOA_TEMP_K,34.0,3.233332892620288,13.659143066406273,12.682331219841474,3,10,55.0,70.0
47,88,WOA_MLDpt,17.599999999999998,138.59555708118936,35.849998474121094,108.71022631363435,3,10,55.0,70.0
