,N0000: threshold ,N0000: feature ,N0000: n_node_samples ,N0000: RH child ,N0000: LH child ,N0001: threshold ,N0001: feature ,N0001: n_node_samples ,N0001: RH child ,N0001: LH child ,N0002: threshold ,N0002: feature ,N0002: n_node_samples ,N0002: RH child ,N0002: LH child ,N0003: threshold ,N0003: feature ,N0003: n_node_samples ,N0003: RH child ,N0003: LH child ,N0004: threshold ,N0004: feature ,N0004: n_node_samples ,N0004: RH child ,N0004: LH child ,N0005: threshold ,N0005: feature ,N0005: n_node_samples ,N0005: RH child ,N0005: LH child ,N0006: threshold ,N0006: feature ,N0006: n_node_samples ,N0006: RH child ,N0006: LH child ,N0007: threshold ,N0007: feature ,N0007: n_node_samples ,N0007: RH child ,N0007: LH child ,N0008: threshold ,N0008: feature ,N0008: n_node_samples ,N0008: RH child ,N0008: LH child ,N0009: threshold ,N0009: feature ,N0009: n_node_samples ,N0009: RH child ,N0009: LH child ,N0010: threshold ,N0010: feature ,N0010: n_node_samples ,N0010: RH child ,N0010: LH child ,N0011: threshold ,N0011: feature ,N0011: n_node_samples ,N0011: RH child ,N0011: LH child ,N0012: threshold ,N0012: feature ,N0012: n_node_samples ,N0012: RH child ,N0012: LH child ,N0013: threshold ,N0013: feature ,N0013: n_node_samples ,N0013: RH child ,N0013: LH child ,N0014: threshold ,N0014: feature ,N0014: n_node_samples ,N0014: RH child ,N0014: LH child ,N0015: threshold ,N0015: feature ,N0015: n_node_samples ,N0015: RH child ,N0015: LH child ,N0016: threshold ,N0016: feature ,N0016: n_node_samples ,N0016: RH child ,N0016: LH child ,N0017: threshold ,N0017: feature ,N0017: n_node_samples ,N0017: RH child ,N0017: LH child ,N0018: threshold ,N0018: feature ,N0018: n_node_samples ,N0018: RH child ,N0018: LH child ,N0019: threshold ,N0019: feature ,N0019: n_node_samples ,N0019: RH child ,N0019: LH child ,N0020: threshold ,N0020: feature ,N0020: n_node_samples ,N0020: RH child ,N0020: LH child ,N0021: threshold ,N0021: feature ,N0021: n_node_samples ,N0021: RH child ,N0021: LH child ,N0022: threshold ,N0022: feature ,N0022: n_node_samples ,N0022: RH child ,N0022: LH child ,N0023: threshold ,N0023: feature ,N0023: n_node_samples ,N0023: RH child ,N0023: LH child ,N0024: threshold ,N0024: feature ,N0024: n_node_samples ,N0024: RH child ,N0024: LH child ,N0025: threshold ,N0025: feature ,N0025: n_node_samples ,N0025: RH child ,N0025: LH child ,N0026: threshold ,N0026: feature ,N0026: n_node_samples ,N0026: RH child ,N0026: LH child ,N0027: threshold ,N0027: feature ,N0027: n_node_samples ,N0027: RH child ,N0027: LH child ,N0028: threshold ,N0028: feature ,N0028: n_node_samples ,N0028: RH child ,N0028: LH child ,N0029: threshold ,N0029: feature ,N0029: n_node_samples ,N0029: RH child ,N0029: LH child ,N0030: threshold ,N0030: feature ,N0030: n_node_samples ,N0030: RH child ,N0030: LH child ,n_nodes
0,291.2042541503906,WOA_TEMP_K,637,482,1,32.167152404785156,WOA_Salinity,324,35,2,2.426514148712158,WOA_Nitrate,313,920,483,20.617704391479492,WOA_Salinity,20,10,3,7.708664417266846,WOA_Nitrate,304,259,36,294.266357421875,WOA_TEMP_K,291,565,484,292.09619140625,WOA_TEMP_K,22,930,921,290.76470947265625,WOA_TEMP_K,5,9,4,7.850000381469727,WOA_MLDpt,15,22,11,35.23400115966797,WOA_Salinity,142,174,37,33.885887145996094,WOA_Salinity,162,359,260,57.349998474121094,WOA_MLDpt,50,538,485,295.5714416503906,SWrad,241,901,566,10.200000762939453,WOA_MLDpt,5,923,922,256.7882080078125,SWrad,17,946,931,171.71310424804688,SWrad,4,6,5,-2.0,WOA_MLDpt,1,-1,-1,25.63080406188965,WOA_Salinity,7,13,12,14.90000057220459,WOA_MLDpt,8,26,23,217.20986938476562,SWrad,80,169,38,289.24786376953125,WOA_TEMP_K,62,222,175,121.69999694824219,WOA_MLDpt,80,348,261,285.2760009765625,WOA_TEMP_K,82,477,360,35.47404479980469,WOA_Salinity,29,497,486,36.61079406738281,WOA_Salinity,21,558,539,302.23333740234375,WOA_TEMP_K,227,896,567,0.30357030034065247,WOA_Nitrate,14,919,902,-2.0,WOA_MLDpt,1,-1,-1,291.7850341796875,WOA_TEMP_K,4,927,924,237.8634033203125,SWrad,9,941,932,35.71070098876953,WOA_Salinity,8,954,947,961
1,288.09173583984375,WOA_TEMP_K,648,380,1,8.340669631958008,WOA_Nitrate,274,165,2,5.891585350036621,WOA_Nitrate,374,930,381,279.1221008300781,WOA_TEMP_K,107,14,3,33.86833953857422,WOA_Salinity,167,265,166,294.271484375,WOA_TEMP_K,364,581,382,20.899999618530273,WOA_MLDpt,10,942,931,277.6365966796875,WOA_TEMP_K,7,9,4,34.74351119995117,WOA_Salinity,100,92,15,33.86674880981445,WOA_Salinity,83,264,167,274.13690185546875,WOA_TEMP_K,84,287,266,32.621612548828125,WOA_Salinity,117,414,383,2.3994576930999756,WOA_Nitrate,247,917,582,6.091618537902832,WOA_Nitrate,6,933,932,121.10923767089844,SWrad,4,944,943,277.5057067871094,WOA_TEMP_K,4,8,5,35.400001525878906,WOA_MLDpt,3,13,10,266.6202697753906,SWrad,41,91,16,123.92727661132812,SWrad,59,124,93,33.29935073852539,WOA_Salinity,82,185,168,-2.0,WOA_MLDpt,1,-1,-1,24.169967651367188,WOA_Nitrate,11,276,267,275.201904296875,WOA_TEMP_K,73,311,288,0.1381014883518219,WOA_Nitrate,17,391,384,125.5999984741211,WOA_MLDpt,100,568,415,36.36391067504883,WOA_Salinity,240,852,583,35.73284912109375,WOA_Salinity,7,927,918,-2.0,WOA_MLDpt,1,-1,-1,292.1919860839844,WOA_TEMP_K,5,941,934,-2.0,WOA_MLDpt,1,-1,-1,24.399999618530273,WOA_MLDpt,3,946,945,949
2,290.92694091796875,WOA_TEMP_K,636,510,1,20.049999237060547,WOA_MLDpt,340,79,2,296.34661865234375,WOA_TEMP_K,296,690,511,32.621612548828125,WOA_Salinity,46,24,3,7.708664417266846,WOA_Nitrate,294,269,80,6.182583332061768,WOA_Nitrate,108,681,512,35.693702697753906,WOA_Salinity,188,882,691,0.1381014883518219,WOA_Nitrate,13,11,4,276.03118896484375,SWrad,33,78,25,34.07366180419922,WOA_Salinity,128,106,81,33.909244537353516,WOA_Salinity,166,397,270,36.698448181152344,WOA_Salinity,103,666,513,7.988773822784424,WOA_Nitrate,5,689,682,0.009883947670459747,WOA_Nitrate,124,695,692,36.533599853515625,WOA_Salinity,64,966,883,31.549549102783203,WOA_Salinity,5,6,5,184.69039916992188,SWrad,8,21,12,196.37701416015625,SWrad,32,67,26,-2.0,WOA_MLDpt,1,-1,-1,54.650001525878906,WOA_MLDpt,16,101,82,283.13250732421875,WOA_TEMP_K,112,142,107,124.19999694824219,WOA_MLDpt,88,380,271,286.0950927734375,WOA_TEMP_K,78,507,398,100.3965835571289,SWrad,94,523,514,62.29999923706055,WOA_MLDpt,9,680,667,292.1919860839844,WOA_TEMP_K,4,688,683,-2.0,WOA_MLDpt,1,-1,-1,35.25843811035156,WOA_Salinity,2,694,693,34.66565704345703,WOA_Salinity,122,815,696,36.36391067504883,WOA_Salinity,57,937,884,204.50765991210938,SWrad,7,974,967,979
3,291.967529296875,WOA_TEMP_K,632,512,1,30.5,WOA_MLDpt,341,167,2,294.428955078125,WOA_TEMP_K,291,602,513,32.079193115234375,WOA_Salinity,113,28,3,286.5018310546875,WOA_TEMP_K,228,451,168,5.163601398468018,WOA_Nitrate,61,595,514,2.116338014602661,WOA_Nitrate,230,936,603,0.1381014883518219,WOA_Nitrate,13,11,4,288.65679931640625,SWrad,100,166,29,34.92705535888672,WOA_Salinity,193,380,169,34.31651306152344,WOA_Salinity,35,459,452,36.647003173828125,WOA_Salinity,57,582,515,292.4751892089844,WOA_TEMP_K,4,599,596,0.14443935453891754,WOA_Nitrate,218,767,604,35.622459411621094,WOA_Salinity,12,946,937,175.94125366210938,SWrad,4,8,5,30.88409996032715,WOA_Salinity,9,27,12,192.3645477294922,SWrad,99,109,30,-2.0,WOA_MLDpt,1,-1,-1,7.827710151672363,WOA_Nitrate,124,211,170,279.64703369140625,WOA_TEMP_K,69,382,381,33.75714874267578,WOA_Salinity,4,456,453,144.30992126464844,SWrad,31,481,460,36.603450775146484,WOA_Salinity,47,563,516,36.74034118652344,WOA_Salinity,10,588,583,16.950000762939453,WOA_MLDpt,2,598,597,244.117919921875,SWrad,2,601,600,176.8826904296875,SWrad,120,640,605,46.650001525878906,WOA_MLDpt,98,869,768,6.728257179260254,WOA_Nitrate,5,945,938,67.94999694824219,WOA_MLDpt,7,958,947,959
4,287.60076904296875,WOA_TEMP_K,636,370,1,7.708664417266846,WOA_Nitrate,263,137,2,294.3598937988281,WOA_TEMP_K,373,594,371,280.9525451660156,WOA_TEMP_K,90,38,3,33.895450592041016,WOA_Salinity,173,249,138,5.94885778427124,WOA_Nitrate,127,577,372,35.613914489746094,WOA_Salinity,246,838,595,45.400001525878906,WOA_MLDpt,21,25,4,35.23400115966797,WOA_Salinity,69,100,39,213.8000030517578,WOA_MLDpt,88,240,139,8.95120620727539,WOA_Nitrate,85,275,250,164.64999389648438,WOA_MLDpt,118,568,373,18.950000762939453,WOA_MLDpt,9,583,578,231.66078186035156,SWrad,159,761,596,2.6778945922851562,WOA_Nitrate,87,952,839,16.950000762939453,WOA_MLDpt,12,10,5,278.20159912109375,WOA_TEMP_K,9,27,26,119.47074890136719,SWrad,37,67,40,286.732177734375,WOA_TEMP_K,32,128,101,33.56488800048828,WOA_Salinity,83,179,140,27.66978645324707,WOA_Nitrate,5,246,241,276.74945068359375,WOA_TEMP_K,32,252,251,275.201904296875,WOA_TEMP_K,53,313,276,32.57769775390625,WOA_Salinity,111,399,374,292.46881103515625,WOA_TEMP_K,7,570,569,249.88157653808594,SWrad,3,580,579,20.899999618530273,WOA_MLDpt,6,585,584,298.34149169921875,WOA_TEMP_K,116,706,597,35.349998474121094,WOA_MLDpt,43,793,762,297.77117919921875,WOA_TEMP_K,83,895,840,35.744537353515625,WOA_Salinity,4,956,953,959
5,292.3228759765625,WOA_TEMP_K,641,516,1,20.600000381469727,WOA_MLDpt,349,109,2,295.11236572265625,SWrad,292,940,517,6.208456039428711,WOA_Nitrate,59,98,3,8.340669631958008,WOA_Nitrate,290,301,110,294.44244384765625,WOA_TEMP_K,275,601,518,36.47565460205078,WOA_Salinity,17,964,941,7.449999809265137,WOA_MLDpt,53,23,4,11.550000190734863,WOA_MLDpt,6,102,99,34.68846130371094,WOA_Salinity,124,168,111,33.885887145996094,WOA_Salinity,166,405,302,36.644100189208984,WOA_Salinity,58,586,519,41.900001525878906,WOA_MLDpt,217,791,602,70.55000305175781,WOA_MLDpt,15,961,942,63.94999694824219,WOA_MLDpt,2,966,965,290.034912109375,WOA_TEMP_K,10,12,5,36.75904083251953,WOA_Salinity,43,91,24,34.2090950012207,WOA_Salinity,2,101,100,287.99688720703125,WOA_TEMP_K,4,104,103,32.79999923706055,WOA_MLDpt,32,123,112,210.53286743164062,SWrad,92,270,169,13.970744132995605,WOA_Nitrate,81,310,303,286.97869873046875,WOA_TEMP_K,85,513,406,36.61493682861328,WOA_Salinity,48,577,520,36.74034118652344,WOA_Salinity,10,594,587,300.0789794921875,WOA_TEMP_K,124,740,603,189.71701049804688,SWrad,93,863,792,0.1966702789068222,WOA_Nitrate,13,954,943,1.1267402172088623,WOA_Nitrate,2,963,962,-2.0,WOA_MLDpt,1,-1,-1,-2.0,WOA_MLDpt,1,-1,-1,967
6,290.957275390625,WOA_TEMP_K,636,472,1,30.5,WOA_MLDpt,324,141,2,294.44244384765625,WOA_TEMP_K,312,602,473,188.23858642578125,SWrad,99,78,3,8.340669631958008,WOA_Nitrate,225,267,142,5.14638614654541,WOA_Nitrate,80,595,474,35.5682487487793,WOA_Salinity,232,822,603,33.89635467529297,WOA_Salinity,47,41,4,1.6886664628982544,WOA_Nitrate,52,100,79,34.68846130371094,WOA_Salinity,81,184,143,33.910247802734375,WOA_Salinity,144,383,268,36.647003173828125,WOA_Salinity,76,578,475,35.32168960571289,WOA_Salinity,4,601,596,230.91030883789062,SWrad,147,763,604,299.6906433105469,WOA_TEMP_K,85,910,823,289.49249267578125,WOA_TEMP_K,21,24,5,186.62298583984375,SWrad,26,77,42,36.823387145996094,WOA_Salinity,13,99,80,27.5,WOA_MLDpt,39,138,101,278.16204833984375,WOA_TEMP_K,25,145,144,286.6322021484375,WOA_TEMP_K,56,226,185,126.80000305175781,WOA_MLDpt,69,366,269,274.27923583984375,WOA_TEMP_K,75,401,384,36.61079406738281,WOA_Salinity,66,565,476,54.650001525878906,WOA_MLDpt,10,594,579,17.899999618530273,WOA_MLDpt,3,600,597,-2.0,WOA_MLDpt,1,-1,-1,0.011801116168498993,WOA_Nitrate,116,608,605,36.849998474121094,WOA_MLDpt,31,787,764,36.721656799316406,WOA_Salinity,61,899,824,42.20000076293945,WOA_MLDpt,24,932,911,939
7,291.267822265625,WOA_TEMP_K,635,456,1,20.649999618530273,WOA_MLDpt,312,83,2,3.9878432750701904,WOA_Nitrate,323,928,457,5.650000095367432,WOA_MLDpt,48,16,3,7.642237663269043,WOA_Nitrate,264,247,84,294.3768005371094,WOA_TEMP_K,314,551,458,22.450000762939453,WOA_MLDpt,9,936,929,0.1381014883518219,WOA_Nitrate,7,9,4,16.5,WOA_MLDpt,41,66,17,34.07366180419922,WOA_Salinity,107,106,85,33.885887145996094,WOA_Salinity,157,345,248,292.46881103515625,WOA_TEMP_K,60,496,459,2.175736904144287,WOA_Nitrate,254,911,552,35.0843505859375,WOA_Salinity,4,933,930,4.663288116455078,WOA_Nitrate,5,940,937,31.549549102783203,WOA_Salinity,3,8,5,29.50654411315918,WOA_Salinity,4,15,10,196.37701416015625,SWrad,31,55,18,287.2514343261719,WOA_TEMP_K,10,70,67,54.650001525878906,WOA_MLDpt,13,103,86,282.5738525390625,WOA_TEMP_K,94,126,107,33.88469696044922,WOA_Salinity,75,344,249,286.9822998046875,WOA_TEMP_K,82,455,346,12.850000381469727,WOA_MLDpt,22,465,460,292.5203857421875,WOA_TEMP_K,38,498,497,0.37037500739097595,WOA_Nitrate,245,836,553,277.1165771484375,SWrad,9,921,912,6.9244561195373535,WOA_Nitrate,2,932,931,249.88157653808594,SWrad,2,935,934,55.04999923706055,WOA_MLDpt,2,939,938,38.95000076293945,WOA_MLDpt,3,942,941,945
8,294.3598937988281,WOA_TEMP_K,660,618,1,287.48724365234375,WOA_TEMP_K,410,393,2,35.58576202392578,WOA_Salinity,250,850,619,30.450000762939453,WOA_MLDpt,274,80,3,7.115273952484131,WOA_Nitrate,136,613,394,188.7279052734375,SWrad,144,695,620,36.689849853515625,WOA_Salinity,106,966,851,109.83743286132812,SWrad,67,19,4,34.76799774169922,WOA_Salinity,207,310,81,35.40599060058594,WOA_Salinity,133,490,395,7.988773822784424,WOA_Nitrate,3,617,614,0.13487398624420166,WOA_Nitrate,60,630,621,36.599998474121094,WOA_MLDpt,84,781,696,2.3046343326568604,WOA_Nitrate,93,955,852,56.79999923706055,WOA_MLDpt,13,976,967,278.98516845703125,WOA_TEMP_K,13,12,5,29.850000381469727,WOA_MLDpt,54,73,20,199.75,WOA_MLDpt,132,281,82,281.95379638671875,WOA_TEMP_K,75,320,311,35.15275573730469,WOA_Salinity,56,485,396,125.5999984741211,WOA_MLDpt,77,598,491,35.09684753417969,WOA_Salinity,2,616,615,-2.0,WOA_MLDpt,1,-1,-1,167.67999267578125,SWrad,13,629,622,297.980712890625,WOA_TEMP_K,47,668,631,30.599998474121094,WOA_MLDpt,48,768,697,215.9502410888672,SWrad,36,795,782,0.23621416091918945,WOA_Nitrate,87,930,853,3.422346591949463,WOA_Nitrate,6,963,956,298.8853759765625,WOA_TEMP_K,5,975,968,61.400001525878906,WOA_MLDpt,8,982,977,991
9,288.6862487792969,WOA_TEMP_K,657,380,1,8.040449142456055,WOA_Nitrate,284,153,2,294.26531982421875,WOA_TEMP_K,373,576,381,34.07366180419922,WOA_Salinity,110,24,3,33.870704650878906,WOA_Salinity,174,251,154,5.891585350036621,WOA_Nitrate,123,561,382,302.2322082519531,WOA_TEMP_K,250,942,577,20.617704391479492,WOA_Salinity,14,7,4,35.23400115966797,WOA_Salinity,96,112,25,13.970744132995605,WOA_Nitrate,77,162,155,274.13690185546875,WOA_TEMP_K,97,279,252,5.699999809265137,WOA_MLDpt,115,396,383,18.950000762939453,WOA_MLDpt,8,569,562,295.5714416503906,SWrad,247,909,578,46.79999923706055,WOA_MLDpt,3,946,943,1.2852238416671753,WOA_Nitrate,2,6,5,28.799999237060547,WOA_MLDpt,12,15,8,0.7913471460342407,WOA_Nitrate,52,33,26,287.4827880859375,WOA_TEMP_K,44,138,113,33.75025939941406,WOA_Salinity,11,161,156,124.19999694824219,WOA_MLDpt,66,246,163,149.41650390625,SWrad,14,272,253,274.7918701171875,WOA_TEMP_K,83,293,280,290.12030029296875,WOA_TEMP_K,7,391,384,1.7181329727172852,WOA_Nitrate,108,520,397,292.1919860839844,WOA_TEMP_K,4,568,563,6.571257591247559,WOA_Nitrate,4,573,570,36.36391067504883,WOA_Salinity,228,844,579,59.349998474121094,WOA_MLDpt,19,929,910,263.2928466796875,SWrad,2,945,944,-2.0,WOA_MLDpt,1,-1,-1,947
