,Unnamed: 0,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,0,500,Temperature,100.0,1.954505492477752,17.417398071289085,17.36312127685549,0,0,643.0980000000001,643.0
1,1,238,MLDpt,47.6,8.508848401418899,30.45000076293945,26.123319565748968,1,1,267.77777777777777,263.0
2,2,175,Nitrate,35.0,0.3373126801898977,7.912936210632324,7.966253651210239,1,1,267.77777777777777,263.0
3,3,58,Salinity,11.6,1.2190819116762128,32.16715240478516,32.73666381835937,1,1,267.77777777777777,263.0
4,4,20,Temperature,4.0,0.21965928063167425,14.450769042968775,14.46716766357424,1,1,267.77777777777777,263.0
5,5,9,SWrad,1.7999999999999998,0.121490478515625,292.72509765625,292.64410400390625,1,1,267.77777777777777,263.0
6,9,34,Salinity,6.800000000000002,0.5387839918053406,35.692291259765625,36.095817004933075,1,2,266.20588235294116,246.5
7,8,61,SWrad,12.2,6.09979912142277,295.5714416503906,293.78209398613603,1,2,266.20588235294116,246.5
8,6,307,Temperature,61.4,1.3968771187764286,22.073510742187523,22.35410923662716,1,2,266.20588235294116,246.5
9,7,98,Nitrate,19.6,1.6968800206113792,5.922042846679688,5.069190322744603,1,2,266.20588235294116,246.5
10,10,190,Salinity,38.0,3.7885684548535914,34.968198776245124,33.66388228567023,2,3,81.29032258064517,99.0
11,11,159,SWrad,31.8,45.1791501016354,188.23858642578125,177.03705604121367,2,3,81.29032258064517,99.0
12,12,66,MLDpt,13.2,11.783109769236836,5.8499999046325675,12.214393854141235,2,3,81.29032258064517,99.0
13,13,54,Nitrate,10.8,3.600374957444167,0.16991377621889114,3.2991849137125198,2,3,81.29032258064517,99.0
14,14,31,Temperature,6.2,3.6466580002859343,6.892510986328148,8.11857634513611,2,3,81.29032258064517,99.0
15,19,1,SWrad,0.2,,292.72509765625,292.72509765625,2,4,329.0,329.0
16,17,61,MLDpt,12.2,116.92467236992071,30.54999923706055,101.37131146915623,2,4,329.0,329.0
17,18,54,Temperature,10.8,2.1558083099038057,14.332788085937526,13.700567287868946,2,4,329.0,329.0
18,15,234,Salinity,46.8,0.6551414043834203,33.88588714599609,34.117366627750236,2,4,329.0,329.0
19,16,150,Nitrate,30.0,0.6976069180131033,7.681279182434082,7.692457156181335,2,4,329.0,329.0
20,20,256,Nitrate,51.2,1.497383508327489,5.94885778427124,5.342335364504834,2,5,181.54545454545453,156.5
21,21,133,Temperature,26.6,2.093887440432086,21.216729736328148,21.297589845585662,2,5,181.54545454545453,156.5
22,22,62,Salinity,12.4,1.473980503599179,35.60890579223633,35.432901443973655,2,5,181.54545454545453,156.5
23,23,27,MLDpt,5.4,25.40299463711157,5.699999809265138,19.031481336664267,2,5,181.54545454545453,156.5
24,24,22,SWrad,4.4,51.18116361178182,230.91030883789062,225.13252917203042,2,5,181.54545454545453,156.5
25,27,83,MLDpt,16.6,19.964699017757265,58.79999923706055,53.05903586422105,2,6,128.8082191780822,175.0
26,29,73,Nitrate,14.6,2.1636416623434753,2.244873046875,2.099519544344855,2,6,128.8082191780822,175.0
27,28,75,Temperature,15.0,3.482869135020036,21.226800537109398,22.264473876953144,2,6,128.8082191780822,175.0
28,26,111,SWrad,22.2,36.547082298571226,295.11236572265625,282.11383565266925,2,6,128.8082191780822,175.0
29,25,158,Salinity,31.6,0.4266073902907092,35.608604431152344,35.73950115638444,2,6,128.8082191780822,175.0
30,30,150,MLDpt,30.0,22.53070942474439,29.72499942779541,26.962333612442016,3,7,39.01587301587302,31.0
31,31,139,Temperature,27.800000000000004,4.041518051641774,6.254144287109398,7.967961197448315,3,7,39.01587301587302,31.0
32,32,76,Salinity,15.2,5.2487769802561335,32.421951293945305,30.61927358727706,3,7,39.01587301587302,31.0
33,33,72,Nitrate,14.4,3.987106561203984,2.7612041234970093,3.9329197946935888,3,7,39.01587301587302,31.0
34,34,63,SWrad,12.6,54.40527524098462,180.27963256835938,178.65997375003874,3,7,39.01587301587302,31.0
35,39,50,Nitrate,10.0,3.4472016017133416,2.699722647666931,3.596539301276207,3,8,62.74,44.0
36,37,106,Temperature,21.2,2.919005503140232,14.507287597656275,14.804110775353793,3,8,62.74,44.0
37,38,101,MLDpt,20.200000000000006,47.3140006229899,16.049999237060547,18.920296990045227,3,8,62.74,44.0
38,36,120,SWrad,24.0,79.26778525656316,288.65679931640625,238.14855976104732,3,8,62.74,44.0
39,35,123,Salinity,24.6,5.437942257736751,35.226051330566406,32.917340348406526,3,8,62.74,44.0
40,40,219,Salinity,43.8,1.1694106305494725,34.07366180419922,34.29196135638512,3,9,89.8,96.0
41,41,94,MLDpt,18.8,96.40576831377052,132.0,144.3526582616441,3,9,89.8,96.0
42,42,77,Nitrate,15.4,6.211296230702003,8.543638229370117,11.828154379284227,3,9,89.8,96.0
43,43,75,Temperature,15.0,3.251631990182246,6.892510986328148,7.584367268880231,3,9,89.8,96.0
44,44,35,SWrad,7.000000000000001,74.09534616229321,179.50390625,147.14887063162666,3,9,89.8,96.0
45,49,9,SWrad,1.7999999999999998,70.85681727469056,156.29122924804688,141.0856759813097,3,10,55.0,70.0
46,48,50,Nitrate,10.0,8.52973621477852,8.28623628616333,10.19443704545498,3,10,55.0,70.0
47,47,88,MLDpt,17.599999999999994,138.59555708118936,35.849998474121094,108.71022631363435,3,10,55.0,70.0
48,46,170,Temperature,34.0,3.2333328926202882,13.659143066406275,12.682331219841476,3,10,55.0,70.0
49,45,183,Salinity,36.6,0.6729820199992746,33.88588714599609,34.2102969018488,3,10,55.0,70.0
50,50,171,Salinity,34.2,1.838426960188446,35.61320114135742,34.978838491160964,3,11,99.13636363636364,108.5
51,51,131,Temperature,26.200000000000006,2.6702052536377123,18.912622070312523,19.44003733860629,3,11,99.13636363636364,108.5
52,52,108,MLDpt,21.6,51.016915388968954,5.699999809265138,40.296296031386774,3,11,99.13636363636364,108.5
53,53,46,Nitrate,9.2,2.831619499590984,2.778692483901977,2.9171832237473647,3,11,99.13636363636364,108.5
54,54,44,SWrad,8.799999999999997,53.11366262101093,178.38621520996094,186.6846049915661,3,11,99.13636363636364,108.5
