,Unnamed: 0,N0000: threshold ,N0000: feature ,N0000: n_node_samples ,N0000: RH child ,N0000: LH child ,N0001: threshold ,N0001: feature ,N0001: n_node_samples ,N0001: RH child ,N0001: LH child ,N0002: threshold ,N0002: feature ,N0002: n_node_samples ,N0002: RH child ,N0002: LH child ,N0003: threshold ,N0003: feature ,N0003: n_node_samples ,N0003: RH child ,N0003: LH child ,N0004: threshold ,N0004: feature ,N0004: n_node_samples ,N0004: RH child ,N0004: LH child ,N0005: threshold ,N0005: feature ,N0005: n_node_samples ,N0005: RH child ,N0005: LH child ,N0006: threshold ,N0006: feature ,N0006: n_node_samples ,N0006: RH child ,N0006: LH child ,N0007: threshold ,N0007: feature ,N0007: n_node_samples ,N0007: RH child ,N0007: LH child ,N0008: threshold ,N0008: feature ,N0008: n_node_samples ,N0008: RH child ,N0008: LH child ,N0009: threshold ,N0009: feature ,N0009: n_node_samples ,N0009: RH child ,N0009: LH child ,N0010: threshold ,N0010: feature ,N0010: n_node_samples ,N0010: RH child ,N0010: LH child ,N0011: threshold ,N0011: feature ,N0011: n_node_samples ,N0011: RH child ,N0011: LH child ,N0012: threshold ,N0012: feature ,N0012: n_node_samples ,N0012: RH child ,N0012: LH child ,N0013: threshold ,N0013: feature ,N0013: n_node_samples ,N0013: RH child ,N0013: LH child ,N0014: threshold ,N0014: feature ,N0014: n_node_samples ,N0014: RH child ,N0014: LH child ,N0015: threshold ,N0015: feature ,N0015: n_node_samples ,N0015: RH child ,N0015: LH child ,N0016: threshold ,N0016: feature ,N0016: n_node_samples ,N0016: RH child ,N0016: LH child ,N0017: threshold ,N0017: feature ,N0017: n_node_samples ,N0017: RH child ,N0017: LH child ,N0018: threshold ,N0018: feature ,N0018: n_node_samples ,N0018: RH child ,N0018: LH child ,N0019: threshold ,N0019: feature ,N0019: n_node_samples ,N0019: RH child ,N0019: LH child ,N0020: threshold ,N0020: feature ,N0020: n_node_samples ,N0020: RH child ,N0020: LH child ,N0021: threshold ,N0021: feature ,N0021: n_node_samples ,N0021: RH child ,N0021: LH child ,N0022: threshold ,N0022: feature ,N0022: n_node_samples ,N0022: RH child ,N0022: LH child ,N0023: threshold ,N0023: feature ,N0023: n_node_samples ,N0023: RH child ,N0023: LH child ,N0024: threshold ,N0024: feature ,N0024: n_node_samples ,N0024: RH child ,N0024: LH child ,N0025: threshold ,N0025: feature ,N0025: n_node_samples ,N0025: RH child ,N0025: LH child ,N0026: threshold ,N0026: feature ,N0026: n_node_samples ,N0026: RH child ,N0026: LH child ,N0027: threshold ,N0027: feature ,N0027: n_node_samples ,N0027: RH child ,N0027: LH child ,N0028: threshold ,N0028: feature ,N0028: n_node_samples ,N0028: RH child ,N0028: LH child ,N0029: threshold ,N0029: feature ,N0029: n_node_samples ,N0029: RH child ,N0029: LH child ,N0030: threshold ,N0030: feature ,N0030: n_node_samples ,N0030: RH child ,N0030: LH child ,n_nodes
0,0,292.468811035,Temperature,668,568,1,-34.5,Depth,372,501,2,296.441589355,Temperature,296,706,569,7.70866441727,Nitrate,335,256,3,277.554748535,Temperature,37,505,502,-845.5,Depth,97,651,570,-3721.0,Depth,199,834,707,278.477783203,Temperature,163,9,4,-67.5,Depth,172,480,257,-14.0,Depth,3,504,503,-12.5,Depth,34,545,506,5.09785795212,Nitrate,45,650,571,190.351379395,SWrad,52,675,652,305.73840332,SWrad,67,831,708,0.233815148473,Nitrate,132,956,835,-238.0,Depth,6,8,5,-83.0,Depth,157,199,10,-5438.5,Depth,138,261,258,13.4223804474,Nitrate,34,484,481,-2.0,Depth,1,-1,-1,-2.0,Depth,2,-1,-1,188.573287964,SWrad,22,534,507,1.67595207691,Nitrate,12,551,546,294.727844238,Temperature,44,631,572,-2.0,Depth,1,-1,-1,294.325012207,Temperature,18,666,653,-86.0,Depth,34,681,676,219.60218811,SWrad,64,726,709,298.860046387,Temperature,3,833,832,-9.0,Depth,96,947,836,301.533630371,Temperature,36,1014,957,1017
1,1,294.170715332,Temperature,667,652,1,7.70866441727,Nitrate,419,387,2,-25.5,Depth,248,998,653,-22.5,Depth,231,344,3,288.813781738,Temperature,188,651,388,307.362884521,SWrad,205,991,654,0.216746300459,Nitrate,43,1046,999,294.763366699,SWrad,209,343,4,162.021469116,SWrad,22,358,345,-67.0,Depth,186,628,389,-2.0,Depth,2,-1,-1,-3721.0,Depth,200,806,655,299.315979004,Temperature,5,997,992,299.443695068,Temperature,41,1035,1000,0.272478640079,Nitrate,2,1048,1047,-111.5,Depth,208,236,5,-2.0,Depth,1,-1,-1,2.87681365013,Nitrate,7,351,346,290.728210449,Temperature,15,376,359,191.713134766,SWrad,149,547,390,278.706237793,Temperature,37,650,629,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,216.076889038,SWrad,78,691,656,-214.5,Depth,122,894,807,0.598579764366,Nitrate,4,996,993,-2.0,Depth,1,-1,-1,-16.5,Depth,33,1018,1001,300.736328125,Temperature,8,1045,1036,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,1049
2,2,294.271484375,Temperature,660,684,1,-35.0,Depth,435,605,2,-4861.5,Depth,225,746,685,8.34066963196,Nitrate,388,350,3,277.68145752,Temperature,47,609,606,-5584.0,Depth,32,695,686,285.330780029,SWrad,193,1008,747,278.477783203,Temperature,210,11,4,287.892333984,Temperature,178,604,351,222.979003906,SWrad,3,608,607,-23.0,Depth,44,645,610,-5656.5,Depth,6,694,687,301.161804199,Temperature,26,735,696,-16.5,Depth,173,981,748,1.30452251434,Nitrate,20,1040,1009,277.505706787,Temperature,5,10,5,-111.5,Depth,205,267,12,9.03385353088,Nitrate,176,385,352,-2.0,Depth,2,-1,-1,-2.0,Depth,2,-1,-1,-2.0,Depth,1,-1,-1,-24.5,Depth,24,644,611,290.728210449,Temperature,20,671,646,0.0803474187851,Nitrate,5,691,688,-2.0,Depth,1,-1,-1,0.00915481429547,Nitrate,20,700,697,-5102.5,Depth,6,739,736,0.0482647530735,Nitrate,153,776,749,0.143879324198,Nitrate,20,1001,982,298.863342285,Temperature,17,1027,1010,286.631591797,SWrad,3,1042,1041,1045
3,3,294.359893799,Temperature,652,654,1,-32.5,Depth,418,567,2,-4398.5,Depth,234,756,655,7.64223766327,Nitrate,364,314,3,277.554748535,Temperature,54,571,568,-5650.5,Depth,54,665,656,285.643310547,SWrad,180,1000,757,-103.0,Depth,183,223,4,-61.5,Depth,181,542,315,274.854125977,Temperature,3,570,569,-11.5,Depth,51,625,572,0.0803474187851,Nitrate,7,660,657,0.0219096448272,Nitrate,47,677,666,0.137441307306,Nitrate,168,855,758,295.479980469,Temperature,12,1004,1001,292.084472656,Temperature,134,156,5,184.743743896,SWrad,49,281,224,285.885681152,Temperature,140,537,316,195.273376465,SWrad,41,560,543,-2.0,Depth,1,-1,-1,-2.0,Depth,2,-1,-1,289.801605225,Temperature,35,590,573,156.208709717,SWrad,16,635,626,-5761.0,Depth,4,659,658,191.565917969,SWrad,3,662,661,299.689605713,Temperature,6,674,667,0.110093899071,Nitrate,41,713,678,-3711.5,Depth,79,772,759,294.495849609,Temperature,89,859,856,0.00581736769527,Nitrate,2,1003,1002,302.929992676,SWrad,10,1016,1005,1023
4,4,292.667449951,Temperature,651,566,1,-34.5,Depth,374,507,2,296.349609375,Temperature,277,688,567,7.70866441727,Nitrate,343,248,3,191.093353271,SWrad,31,557,508,3.83925199509,Nitrate,81,685,568,-26.5,Depth,196,972,689,278.477783203,Temperature,157,7,4,288.813781738,Temperature,186,506,249,148.529922485,SWrad,26,524,509,290.440673828,Temperature,5,561,558,-501.0,Depth,79,634,569,293.739807129,Temperature,2,687,686,306.512817383,SWrad,159,967,690,-3.0,Depth,37,1010,973,-519.5,Depth,3,6,5,290.941345215,SWrad,154,247,8,9.03385353088,Nitrate,184,295,250,-2.0,Depth,2,-1,-1,3.1578578949,Nitrate,8,515,510,-3.0,Depth,18,554,525,-25.0,Depth,2,560,559,290.968139648,Temperature,3,565,562,294.817626953,Temperature,36,615,570,0.669229030609,Nitrate,43,676,635,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,-4861.5,Depth,156,740,691,0.121121935546,Nitrate,3,969,968,-16.5,Depth,35,991,974,196.848556519,SWrad,2,1012,1011,1013
5,5,294.359893799,Temperature,674,644,1,-32.5,Depth,420,573,2,-16.5,Depth,254,1020,645,7.70866441727,Nitrate,375,314,3,277.554748535,Temperature,45,579,574,-4069.0,Depth,230,781,646,0.195802807808,Nitrate,24,1044,1021,-86.5,Depth,191,253,4,-61.5,Depth,184,550,315,14.5680541992,Nitrate,5,576,575,-22.5,Depth,40,611,580,182.463165283,SWrad,70,662,647,299.664855957,Temperature,160,969,782,-9.0,Depth,22,1029,1022,214.668487549,SWrad,2,1046,1045,292.332550049,Temperature,151,194,5,27.5179290771,SWrad,40,255,254,282.082885742,Temperature,142,503,316,12.6088314056,Nitrate,42,554,551,-2.0,Depth,3,-1,-1,27.1279315948,Nitrate,2,578,577,0.247359156609,Nitrate,22,584,581,289.511199951,Temperature,18,631,612,172.810379028,SWrad,8,659,648,305.723876953,SWrad,62,780,663,0.245033398271,Nitrate,126,888,783,0.638674139977,Nitrate,34,1015,970,-15.5,Depth,11,1024,1023,-3.0,Depth,11,1043,1030,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,1047
6,6,294.359893799,Temperature,654,632,1,7.54901266098,Nitrate,417,357,2,-25.5,Depth,237,964,633,278.927764893,Temperature,221,16,3,-64.0,Depth,196,597,358,-5513.5,Depth,188,647,634,0.218253016472,Nitrate,49,1012,965,-238.0,Depth,9,9,4,-83.0,Depth,212,248,17,287.892333984,Temperature,151,596,359,272.394958496,Temperature,45,615,598,298.456420898,SWrad,7,646,635,301.752990723,Temperature,181,943,648,0.159018039703,Nitrate,46,1007,966,-4.0,Depth,3,1016,1013,-414.5,Depth,5,8,5,7.00024223328,Nitrate,4,15,10,288.140808105,Temperature,142,107,18,0.2601133883,Nitrate,70,262,249,281.309509277,Temperature,149,535,360,-2.0,Depth,2,-1,-1,271.705993652,Temperature,13,610,599,282.370849609,Temperature,32,629,616,0.354832857847,Nitrate,6,643,636,-2.0,Depth,1,-1,-1,305.73840332,SWrad,169,938,649,-3733.5,Depth,12,949,944,-16.0,Depth,41,986,967,-14.5,Depth,5,1011,1008,0.253531068563,Nitrate,2,1015,1014,-2.0,Depth,1,-1,-1,1017
7,7,293.48034668,Temperature,665,648,1,-32.5,Depth,406,567,2,-15.5,Depth,259,1048,649,7.70866441727,Nitrate,362,322,3,277.554748535,Temperature,44,571,568,0.0435767397285,Nitrate,241,717,650,0.143879324198,Nitrate,18,1068,1049,278.477783203,Temperature,192,11,4,-61.5,Depth,170,540,323,222.736022949,SWrad,2,570,569,-11.5,Depth,42,621,572,-2453.0,Depth,45,700,651,1.22416973114,Nitrate,196,1015,718,-3.0,Depth,15,1067,1050,0.197154700756,Nitrate,3,1070,1069,-414.5,Depth,5,8,5,-111.0,Depth,187,239,12,286.095092773,Temperature,129,535,324,-42.5,Depth,41,542,541,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,166.209899902,SWrad,27,594,573,-10.5,Depth,15,627,622,294.834289551,Temperature,27,653,652,302.600036621,Temperature,18,716,701,-3740.5,Depth,179,828,719,259.914550781,SWrad,17,1039,1016,-9.0,Depth,14,1054,1051,-2.0,Depth,1,-1,-1,-2.0,Depth,1,-1,-1,241.704071045,SWrad,2,1072,1071,1073
8,8,294.359893799,Temperature,681,646,1,287.62713623,Temperature,433,399,2,-4005.0,Depth,248,780,647,-100.0,Depth,288,310,3,-972.0,Depth,145,533,400,208.793212891,SWrad,69,667,648,285.643310547,SWrad,179,1004,781,292.482116699,SWrad,202,309,4,277.554748535,Temperature,86,338,311,4.86501502991,Nitrate,76,526,401,-11.5,Depth,69,635,534,172.810379028,SWrad,11,660,649,294.611083984,Temperature,58,671,668,0.189145863056,Nitrate,168,913,782,0.168989509344,Nitrate,11,1010,1005,281.470031738,Temperature,201,200,5,-2.0,Depth,1,-1,-1,125.604377747,SWrad,42,323,312,278.513885498,Temperature,44,342,339,138.867599487,SWrad,71,451,402,6.63562011719,Nitrate,5,530,527,256.455505371,SWrad,63,634,535,288.982269287,Temperature,6,639,636,299.277404785,Temperature,6,659,650,295.908569336,Temperature,5,662,661,267.159210205,SWrad,2,670,669,298.529174805,Temperature,56,715,672,0.0442423149943,Nitrate,111,810,783,-4.0,Depth,57,1003,914,300.019195557,SWrad,3,1009,1006,299.831298828,Temperature,8,1022,1011,1023
9,9,293.421569824,Temperature,669,642,1,-111.5,Depth,412,431,2,-3728.0,Depth,257,804,643,289.19229126,Temperature,264,336,3,9.18629455566,Nitrate,148,609,432,294.817626953,Temperature,83,661,644,0.248153030872,Nitrate,174,960,805,288.656799316,SWrad,204,335,4,137.798477173,SWrad,60,360,337,288.09173584,Temperature,108,524,433,-56.0,Depth,40,619,610,1.94523215294,Nitrate,9,658,645,-4857.0,Depth,74,733,662,290.043029785,SWrad,112,947,806,-3657.5,Depth,62,972,961,8.34066963196,Nitrate,203,110,5,-2.0,Depth,1,-1,-1,-1910.5,Depth,12,359,338,3.60751318932,Nitrate,48,426,361,-2.5,Depth,60,521,434,-22.5,Depth,48,576,525,-94.5,Depth,5,614,611,18.4490432739,Nitrate,35,631,620,117.534759521,SWrad,7,647,646,294.605041504,Temperature,2,660,659,274.2237854,SWrad,37,718,663,-4662.5,Depth,37,749,734,-16.5,Depth,104,926,807,-3058.0,Depth,8,953,948,300.747802734,Temperature,6,971,962,158.819290161,SWrad,56,1006,973,1059
