,Unnamed: 0,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,0,500,Temperature,100.0,1.12174487643,21.121484375,20.547307312,0,0,659.532,659.0
1,1,294,Nitrate,58.8,0.233854851691,7.70866441727,7.74050692312,1,1,415.958333333,416.5
2,2,182,Depth,36.4,29.0164496723,-35.0,-52.4917582418,1,1,415.958333333,416.5
3,3,24,Temperature,4.8,0.527373082418,14.460168457,14.3307866414,1,1,415.958333333,416.5
4,4,407,Depth,81.4,1635.93508073,-25.5,-917.482800983,1,2,250.666666667,248.5
5,5,68,Temperature,13.6,1.24411510564,22.9131713867,22.5938946892,1,2,250.666666667,248.5
6,6,19,Salinity,3.8,0.442289830118,35.6942367554,35.9732551575,1,2,250.666666667,248.5
7,7,6,Nitrate,1.2,0.0872255169034,0.0448506809771,0.0950493998826,1,2,250.666666667,248.5
8,8,205,Depth,41.0,59.4750556564,-86.0,-86.6243902439,2,3,267.763157895,262.0
9,9,131,Nitrate,26.2,0.297231990413,7.70866441727,7.8446030726,2,3,267.763157895,262.0
10,10,88,Salinity,17.6,0.475771142605,34.0736618042,34.1630502181,2,3,267.763157895,262.0
11,11,76,Temperature,15.2,4.54248261736,14.5072875977,12.3059020996,2,3,267.763157895,262.0
12,15,56,Nitrate,11.2,4.81226066554,9.18629455566,6.68529862272,2,4,91.125,106.5
13,14,72,Salinity,14.4,3.2390392231,33.8787498474,33.4474645985,2,4,91.125,106.5
14,12,221,Temperature,44.2,4.67453354678,12.1618896484,9.22991871553,2,4,91.125,106.5
15,13,151,Depth,30.2,518.683960673,-64.0,-204.102649007,2,4,91.125,106.5
16,16,193,Depth,38.6,1788.16015941,-3908.5,-3623.02849741,2,5,130.444444444,89.0
17,17,128,Salinity,25.6,0.642704726964,36.6219940186,36.156331718,2,5,130.444444444,89.0
18,18,98,Temperature,19.6,2.56614295593,23.2741943359,23.5632010946,2,5,130.444444444,89.0
19,19,81,Nitrate,16.2,1.85528016111,0.224538445473,1.43024014426,2,5,130.444444444,89.0
20,20,144,Salinity,28.8,1.38289519806,34.320148468,34.264636702,2,6,75.5188679245,50.0
21,21,141,Depth,28.2,1617.02480942,-16.5,-874.258865248,2,6,75.5188679245,50.0
22,22,109,Temperature,21.8,1.27391405826,25.3956542969,25.1288746685,2,6,75.5188679245,50.0
23,23,106,Nitrate,21.2,0.0602984514297,0.181468248367,0.167042227392,2,6,75.5188679245,50.0
24,24,253,Temperature,50.6,3.67517803151,5.76717529297,6.93985810412,3,7,180.553191489,206.0
25,25,105,Salinity,21.0,6.68488108068,33.7556495667,30.7824887139,3,7,180.553191489,206.0
26,26,95,Nitrate,19.0,1.73873262378,6.36974668503,5.981083368,3,7,180.553191489,206.0
27,27,47,Depth,9.4,894.846723809,-111.0,-331.595744681,3,7,180.553191489,206.0
28,31,58,Nitrate,11.6,3.80734007533,5.60366606712,6.31845468848,3,8,91.724137931,78.0
29,30,91,Temperature,18.2,5.54466079778,14.5072875977,12.0514368078,3,8,91.724137931,78.0
30,28,212,Depth,42.4,787.092838308,-61.5,-290.761792453,3,8,91.724137931,78.0
31,29,139,Salinity,27.8,9.80295021653,32.7788009644,25.6393068986,3,8,91.724137931,78.0
32,32,259,Salinity,51.8,9.22668947909,33.8644485474,30.1043191932,3,9,35.6610169492,17.0
33,33,94,Temperature,18.8,6.35139139762,12.9450927734,9.95288449551,3,9,35.6610169492,17.0
34,34,88,Depth,17.6,775.370243917,-61.5,-235.045454545,3,9,35.6610169492,17.0
35,35,59,Nitrate,11.8,6.84629269671,14.1372652054,9.60352173776,3,9,35.6610169492,17.0
36,36,188,Depth,37.6,1501.62499991,-42.5,-811.497340426,3,10,34.8169014085,36.0
37,37,121,Temperature,24.2,4.81126366832,9.22084960938,8.98780149349,3,10,34.8169014085,36.0
38,38,120,Salinity,24.0,11.0001374461,33.5824432373,29.9119938374,3,10,34.8169014085,36.0
39,39,71,Nitrate,14.2,5.62869276589,10.5755691528,9.72193496538,3,10,34.8169014085,36.0
40,43,84,Temperature,16.8,2.51066596059,21.8991027832,23.202537246,3,11,65.75,51.5
41,42,125,Salinity,25.0,6.68880458331,35.5865478516,34.3570769043,3,11,65.75,51.5
42,41,133,Depth,26.6,1744.82531132,-4776.0,-4036.13157895,3,11,65.75,51.5
