,Unnamed: 0,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,0,500,Temperature,100.0,1.12174487643,21.121484375,20.547307312,0,0,659.532,659.0
1,1,380,Depth,76.0,27.5702073091,-35.0,-50.1947368421,1,1,407.0,407.0
2,2,119,Temperature,23.8,0.673946809244,14.460168457,14.3327683393,1,1,407.0,407.0
3,3,1,Phosphate,0.2,,0.532649815083,0.532649815083,1,1,407.0,407.0
4,4,401,Depth,80.2,1632.4523059,-25.5,-911.648379052,1,2,244.916666667,243.5
5,5,69,Temperature,13.8,1.23834060886,22.9131713867,22.6049460591,1,2,244.916666667,243.5
6,6,18,Salinity,3.6,0.454629092118,35.6942367554,35.9827594757,1,2,244.916666667,243.5
7,7,12,Phosphate,2.4,0.00819565684435,0.0329890102148,0.0319765834138,1,2,244.916666667,243.5
8,8,322,Temperature,64.4,1.81772462818,14.8432556152,14.4915222358,2,3,337.6875,347.5
9,9,133,Depth,26.6,12.3403925011,-100.0,-100.973684211,2,3,337.6875,347.5
10,10,29,Salinity,5.8,0.870524254559,33.7249488831,34.2248679852,2,3,337.6875,347.5
11,11,16,Phosphate,3.2,0.0374491486103,0.532649815083,0.517561517656,2,3,337.6875,347.5
12,15,36,Salinity,7.2,5.08780336368,32.5130996704,30.9070312712,2,4,47.5,47.5
13,14,38,Phosphate,7.6,0.359189338479,0.535974919796,0.574328037469,2,4,47.5,47.5
14,12,282,Temperature,56.4,1.13666797021,4.40474853516,4.36799768759,2,4,47.5,47.5
15,13,144,Depth,28.8,844.458272721,-436.25,-725.677083333,2,4,47.5,47.5
16,16,173,Depth,34.6,1772.94904057,-3733.5,-3434.47976879,2,5,166.604938272,195.0
17,17,142,Phosphate,28.4,0.247051449901,0.259402632713,0.270426726093,2,5,166.604938272,195.0
18,18,104,Salinity,20.8,0.553076629889,36.6470031738,36.2447456213,2,5,166.604938272,195.0
19,19,81,Temperature,16.2,2.39005457718,23.2741943359,23.3701103305,2,5,166.604938272,195.0
20,20,153,Depth,30.6,1762.41044889,-16.5,-998.009803922,2,6,63.7472527473,48.0
21,21,128,Salinity,25.6,1.19172420916,33.3740921021,34.2672760785,2,6,63.7472527473,48.0
22,22,128,Temperature,25.6,1.30051919702,25.3956542969,25.2779687405,2,6,63.7472527473,48.0
23,23,91,Phosphate,18.2,0.0835305095051,0.199026048183,0.14550845982,2,6,63.7472527473,48.0
24,24,241,Salinity,48.2,0.720192271978,33.726852417,33.9829441878,3,7,231.826086957,250.0
25,25,204,Depth,40.8,277.680365118,-100.0,-124.017156863,3,7,231.826086957,250.0
26,26,32,Phosphate,6.4,0.168931079759,0.625156283379,0.603090110701,3,7,231.826086957,250.0
27,27,23,Temperature,4.6,3.729658684,15.6404052734,13.8448995839,3,7,231.826086957,250.0
28,31,8,Salinity,1.6,0.0696513867911,33.8787498474,33.86369133,3,8,185.625,183.0
29,30,33,Depth,6.6,1456.65092852,-972.0,-1487.95454545,3,8,185.625,183.0
30,28,325,Phosphate,65.0,0.298892777371,0.994054615498,0.834386740029,3,8,185.625,183.0
31,29,134,Temperature,26.8,4.52892901425,4.40474853516,6.87448990096,3,8,185.625,183.0
32,32,186,Phosphate,37.2,0.389760638459,1.00543963909,0.804200965731,3,9,18.6629213483,5.0
33,33,114,Depth,22.8,220.318867668,-14.0,-71.7324561404,3,9,18.6629213483,5.0
34,34,111,Salinity,22.2,5.56564191963,31.9197006226,28.054359101,3,9,18.6629213483,5.0
35,35,89,Temperature,17.8,6.80924433023,1.70412597656,5.54921497816,3,9,18.6629213483,5.0
36,36,235,Depth,47.0,411.017448976,-18.5,-89.1744680851,3,10,45.3582089552,46.0
