,Unnamed: 0,N0000: threshold ,N0000: feature ,N0000: n_node_samples ,N0000: RH child ,N0000: LH child ,N0001: threshold ,N0001: feature ,N0001: n_node_samples ,N0001: RH child ,N0001: LH child ,N0002: threshold ,N0002: feature ,N0002: n_node_samples ,N0002: RH child ,N0002: LH child ,N0003: threshold ,N0003: feature ,N0003: n_node_samples ,N0003: RH child ,N0003: LH child ,N0004: threshold ,N0004: feature ,N0004: n_node_samples ,N0004: RH child ,N0004: LH child ,N0005: threshold ,N0005: feature ,N0005: n_node_samples ,N0005: RH child ,N0005: LH child ,N0006: threshold ,N0006: feature ,N0006: n_node_samples ,N0006: RH child ,N0006: LH child ,N0007: threshold ,N0007: feature ,N0007: n_node_samples ,N0007: RH child ,N0007: LH child ,N0008: threshold ,N0008: feature ,N0008: n_node_samples ,N0008: RH child ,N0008: LH child ,N0009: threshold ,N0009: feature ,N0009: n_node_samples ,N0009: RH child ,N0009: LH child ,N0010: threshold ,N0010: feature ,N0010: n_node_samples ,N0010: RH child ,N0010: LH child ,N0011: threshold ,N0011: feature ,N0011: n_node_samples ,N0011: RH child ,N0011: LH child ,N0012: threshold ,N0012: feature ,N0012: n_node_samples ,N0012: RH child ,N0012: LH child ,N0013: threshold ,N0013: feature ,N0013: n_node_samples ,N0013: RH child ,N0013: LH child ,N0014: threshold ,N0014: feature ,N0014: n_node_samples ,N0014: RH child ,N0014: LH child ,N0015: threshold ,N0015: feature ,N0015: n_node_samples ,N0015: RH child ,N0015: LH child ,N0016: threshold ,N0016: feature ,N0016: n_node_samples ,N0016: RH child ,N0016: LH child ,N0017: threshold ,N0017: feature ,N0017: n_node_samples ,N0017: RH child ,N0017: LH child ,N0018: threshold ,N0018: feature ,N0018: n_node_samples ,N0018: RH child ,N0018: LH child ,N0019: threshold ,N0019: feature ,N0019: n_node_samples ,N0019: RH child ,N0019: LH child ,N0020: threshold ,N0020: feature ,N0020: n_node_samples ,N0020: RH child ,N0020: LH child ,N0021: threshold ,N0021: feature ,N0021: n_node_samples ,N0021: RH child ,N0021: LH child ,N0022: threshold ,N0022: feature ,N0022: n_node_samples ,N0022: RH child ,N0022: LH child ,N0023: threshold ,N0023: feature ,N0023: n_node_samples ,N0023: RH child ,N0023: LH child ,N0024: threshold ,N0024: feature ,N0024: n_node_samples ,N0024: RH child ,N0024: LH child ,N0025: threshold ,N0025: feature ,N0025: n_node_samples ,N0025: RH child ,N0025: LH child ,N0026: threshold ,N0026: feature ,N0026: n_node_samples ,N0026: RH child ,N0026: LH child ,N0027: threshold ,N0027: feature ,N0027: n_node_samples ,N0027: RH child ,N0027: LH child ,N0028: threshold ,N0028: feature ,N0028: n_node_samples ,N0028: RH child ,N0028: LH child ,N0029: threshold ,N0029: feature ,N0029: n_node_samples ,N0029: RH child ,N0029: LH child ,N0030: threshold ,N0030: feature ,N0030: n_node_samples ,N0030: RH child ,N0030: LH child ,n_nodes
0,0,292.468811035,Temperature,668,540,1,30.5,MLDpt,372,165,2,296.441589355,Temperature,296,678,541,32.0791931152,Salinity,125,36,3,287.610168457,Temperature,247,453,166,5.09785795212,Nitrate,97,677,542,35.9544563293,Salinity,199,896,679,10.2792949677,Salinity,17,7,4,35.2428970337,Salinity,108,140,37,35.0588607788,Salinity,196,382,167,35.4021911621,Salinity,51,481,454,36.6898498535,Salinity,96,666,543,-2.0,MLDpt,1,-1,-1,0.109772548079,Nitrate,140,743,680,36.4509010315,Salinity,59,938,897,5.44999980927,MLDpt,2,6,5,31.8646888733,Salinity,15,35,8,9.2476940155,Nitrate,85,123,38,287.547790527,Temperature,23,150,141,279.980651855,Temperature,126,337,168,439.099975586,MLDpt,70,424,383,35.0380477905,Salinity,14,478,455,3.3884806633,Nitrate,37,535,482,0.164093226194,Nitrate,90,591,544,294.416381836,Temperature,6,674,667,-2.0,MLDpt,2,-1,-1,-2.0,MLDpt,2,-1,-1,0.0233200509101,Nitrate,36,698,681,0.17721028626,Nitrate,104,795,744,35.9663887024,Salinity,44,901,898,298.555999756,Temperature,15,958,939,963
1,1,294.170715332,Temperature,667,612,1,7.70866441727,Nitrate,419,357,2,35.5857620239,Salinity,248,860,613,17.4500007629,MLDpt,231,92,3,35.5465393066,Salinity,188,611,358,0.109772548079,Nitrate,158,681,614,36.4500007629,Salinity,90,936,861,6.41426563263,Nitrate,55,91,4,280.042510986,Temperature,176,108,93,33.8787498474,Salinity,186,476,359,-2.0,MLDpt,2,-1,-1,298.406005859,Temperature,40,640,615,0.137441307306,Nitrate,118,699,682,36.363910675,Salinity,62,919,862,0.145098030567,Nitrate,28,966,937,16.5499992371,MLDpt,54,88,5,-2.0,MLDpt,1,-1,-1,45.4000015259,MLDpt,9,105,94,292.24987793,Temperature,167,298,109,33.8620910645,Salinity,86,469,360,30.3999996185,MLDpt,100,480,477,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,1,-1,-1,69.5999984741,MLDpt,18,637,616,33.8764572144,Salinity,22,642,641,297.470397949,Temperature,19,688,683,0.807698309422,Nitrate,99,833,700,6.35000038147,MLDpt,39,864,863,298.725585938,Temperature,23,923,920,294.57421875,Temperature,19,941,938,2.012560606,Nitrate,9,982,967,983
2,2,294.271484375,Temperature,660,646,1,7.54901266098,Nitrate,435,377,2,0.0435767397285,Nitrate,225,696,647,33.6955871582,Salinity,240,80,3,286.095092773,Temperature,195,641,378,0.0149254361168,Nitrate,38,671,648,55.2999992371,MLDpt,187,900,697,20.9938087463,Salinity,44,17,4,292.357910156,Temperature,196,314,81,30.2999992371,MLDpt,191,398,379,287.625427246,Temperature,4,643,642,294.834289551,Temperature,12,650,649,30.8999996185,MLDpt,26,683,672,30.4500007629,MLDpt,127,817,698,56.5500030518,MLDpt,60,904,901,290.669952393,Temperature,8,14,5,278.596130371,Temperature,36,29,18,18.8999996185,MLDpt,154,129,82,59.2999992371,MLDpt,42,354,315,34.4585075378,Salinity,27,395,380,33.9092445374,Salinity,164,516,399,-2.0,MLDpt,1,-1,-1,9.56903839111,Nitrate,3,645,644,-2.0,MLDpt,1,-1,-1,298.649597168,Temperature,11,660,651,300.736328125,Temperature,14,680,673,43.5,MLDpt,12,689,684,0.0517186038196,Nitrate,77,706,699,34.1327133179,Salinity,50,855,818,35.275844574,Salinity,7,903,902,298.151184082,Temperature,53,952,905,989
3,3,294.359893799,Temperature,652,616,1,287.610168457,Temperature,418,369,2,35.5805130005,Salinity,234,842,617,35.2390518188,Salinity,267,316,3,32.5130996704,Salinity,151,395,370,0.109772548079,Nitrate,148,681,618,36.672454834,Salinity,86,938,843,7.64223766327,Nitrate,202,103,4,250.0,MLDpt,65,344,317,0.120813146234,Nitrate,16,372,371,288.122955322,Temperature,135,415,396,35.3435516357,Salinity,35,664,619,0.137441307306,Nitrate,113,697,682,1.44863450527,Nitrate,71,925,844,55.7999992371,MLDpt,15,954,939,3.04713439941,Nitrate,59,42,5,282.64263916,Temperature,143,307,104,135.350006104,MLDpt,26,343,318,35.4582977295,Salinity,39,368,345,-2.0,MLDpt,2,-1,-1,21.5638542175,Salinity,14,380,373,1.11537969112,Nitrate,10,400,397,105.349998474,MLDpt,125,599,416,298.593200684,Temperature,26,633,620,35.4681510925,Salinity,9,670,665,297.120300293,Temperature,24,686,683,43.25,MLDpt,89,799,698,35.9595031738,Salinity,64,866,845,47.1500015259,MLDpt,7,931,926,36.7093963623,Salinity,8,941,940,0.215624332428,Nitrate,7,960,955,967
4,4,292.667449951,Temperature,651,536,1,7.54901266098,Nitrate,374,275,2,36.6437911987,Salinity,277,932,537,34.3014526367,Salinity,175,98,3,287.900146484,Temperature,199,533,276,295.507598877,Temperature,259,625,538,296.699066162,Temperature,18,950,933,6.44272422791,Nitrate,53,89,4,35.2340011597,Salinity,122,184,99,31.3999996185,MLDpt,196,310,277,9.56903839111,Nitrate,3,535,534,3.83925199509,Nitrate,60,622,539,35.9544563293,Salinity,199,869,626,101.949996948,MLDpt,10,949,934,0.0885677784681,Nitrate,8,954,951,290.568450928,Temperature,47,66,5,32.9752502441,Salinity,6,91,90,19.7000007629,MLDpt,51,117,100,289.19732666,Temperature,71,222,185,9.14002799988,Nitrate,43,281,278,33.8638877869,Salinity,153,396,311,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,2,-1,-1,0.504843354225,Nitrate,58,601,540,5.32720375061,Nitrate,2,624,623,0.109772548079,Nitrate,149,688,627,35.9663887024,Salinity,50,873,870,294.326965332,Temperature,9,942,935,-2.0,MLDpt,1,-1,-1,297.336547852,Temperature,2,953,952,0.207956165075,Nitrate,6,958,955,965
5,5,294.359893799,Temperature,674,614,1,287.433349609,Temperature,420,387,2,0.248153030872,Nitrate,254,848,615,30.2999992371,MLDpt,285,84,3,35.3890914917,Salinity,135,483,388,0.109772548079,Nitrate,175,747,616,301.704772949,Temperature,79,986,849,29.8500003815,MLDpt,78,65,4,34.9910545349,Salinity,207,324,85,289.350097656,Temperature,54,418,389,62.4500007629,MLDpt,81,587,484,35.8095626831,Salinity,91,688,617,296.506439209,Temperature,84,781,748,30.2999992371,MLDpt,77,897,850,0.727590560913,Nitrate,2,988,987,16.25,MLDpt,58,18,5,3.85917854309,Nitrate,20,71,66,7.82771015167,Nitrate,144,131,86,33.5999984741,MLDpt,63,326,325,35.1527557373,Salinity,17,415,390,35.2583999634,Salinity,37,482,419,3.3884806633,Nitrate,60,576,485,36.4570922852,Salinity,21,593,588,301.482940674,Temperature,41,677,618,36.4841003418,Salinity,50,724,689,294.451904297,Temperature,30,754,749,296.993774414,Temperature,54,789,782,299.986938477,Temperature,29,890,851,63.5999984741,MLDpt,48,957,898,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,1,-1,-1,989
6,6,294.359893799,Temperature,654,594,1,7.54901266098,Nitrate,417,335,2,35.6234130859,Salinity,237,822,595,278.927764893,Temperature,221,16,3,32.6500015259,MLDpt,196,381,336,35.5952606201,Salinity,146,821,596,36.672454834,Salinity,91,938,823,277.63659668,Temperature,9,11,4,13.1499996185,MLDpt,212,76,17,282.509399414,Temperature,43,376,337,33.1289520264,Salinity,153,387,382,301.791320801,Temperature,145,800,597,-2.0,MLDpt,1,-1,-1,6.35000038147,MLDpt,79,825,824,53.9000015259,MLDpt,12,950,939,7.00024223328,Nitrate,6,6,5,277.800292969,Temperature,3,13,12,5.69999980927,MLDpt,36,29,18,292.357910156,Temperature,176,282,77,32.8686943054,Salinity,33,341,338,35.413444519,Salinity,10,380,377,122.550003052,MLDpt,12,386,383,33.9105911255,Salinity,141,487,388,301.065612793,Temperature,133,775,598,33.9446563721,Salinity,12,812,801,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,1,-1,-1,36.4144515991,Salinity,78,891,826,0.0877355188131,Nitrate,7,945,940,73.75,MLDpt,5,956,951,959
7,7,293.48034668,Temperature,665,594,1,7.70866441727,Nitrate,406,367,2,0.0435767397285,Nitrate,259,658,595,34.0219993591,Salinity,234,86,3,286.095092773,Temperature,172,587,368,0.0417323000729,Nitrate,49,655,596,1.22416973114,Nitrate,210,972,659,59.25,MLDpt,47,83,4,292.357910156,Temperature,187,328,87,33.8638877869,Salinity,168,470,369,26.1000003815,MLDpt,4,589,588,294.834289551,Temperature,41,598,597,36.4412994385,Salinity,8,657,656,34.1134414673,Salinity,193,761,660,35.5863113403,Salinity,17,988,973,280.213745117,Temperature,45,20,5,279.574310303,Temperature,2,85,84,35.2340011597,Salinity,157,227,88,292.906494141,Temperature,30,348,329,33.8620910645,Salinity,79,469,370,30.3999996185,MLDpt,89,478,471,-2.0,MLDpt,1,-1,-1,31.25,MLDpt,3,591,590,-2.0,MLDpt,1,-1,-1,34.9342956543,Salinity,40,610,599,-2.0,MLDpt,4,-1,-1,-2.0,MLDpt,4,-1,-1,61.4000015259,MLDpt,68,758,661,0.57299888134,Nitrate,125,943,762,4.61475324631,Nitrate,8,983,974,36.0626602173,Salinity,9,1000,989,1003
8,8,294.359893799,Temperature,681,624,1,287.62713623,Temperature,433,387,2,35.9544563293,Salinity,248,866,625,30.3999996185,MLDpt,288,86,3,35.4063415527,Salinity,145,503,388,294.55178833,Temperature,161,633,626,36.446647644,Salinity,87,914,867,9.2476940155,Nitrate,81,65,4,35.0597496033,Salinity,207,328,87,35.1383972168,Salinity,60,496,389,292.468811035,Temperature,85,571,504,0.093140207231,Nitrate,5,628,627,300.742919922,Temperature,156,813,634,36.0192489624,Salinity,48,871,868,36.672454834,Salinity,39,948,915,279.26940918,Temperature,52,12,5,32.4065437317,Salinity,29,67,66,121.900001526,MLDpt,143,285,88,278.549987793,MLDpt,64,360,329,32.7999992371,MLDpt,56,471,390,287.959503174,Temperature,4,498,497,3.3884806633,Nitrate,45,568,505,36.6888961792,Salinity,40,615,572,-2.0,MLDpt,1,-1,-1,35.6882629395,Salinity,4,632,629,54.7999992371,MLDpt,128,778,635,34.1520500183,Salinity,28,829,814,2.52925944328,Nitrate,2,870,869,36.4288024902,Salinity,46,907,872,36.4901504517,Salinity,25,923,916,55.7999992371,MLDpt,14,958,949,975
9,9,293.421569824,Temperature,669,588,1,8.34066963196,Nitrate,412,349,2,0.328930199146,Nitrate,257,860,589,34.3014526367,Salinity,230,112,3,33.8787498474,Salinity,182,467,350,35.8095626831,Salinity,185,767,590,301.634643555,Temperature,72,980,861,42.5499992371,MLDpt,66,99,4,292.357910156,Temperature,164,314,113,33.8620910645,Salinity,89,462,351,32.6500015259,MLDpt,93,481,468,0.109772548079,Nitrate,116,648,591,36.8469009399,Salinity,69,855,768,48.7999992371,MLDpt,69,921,862,1.62714421749,Nitrate,3,982,981,280.042510986,Temperature,55,16,5,34.1073532104,Salinity,11,109,100,35.2340011597,Salinity,137,233,114,0.0482110567391,Nitrate,27,320,315,18.5925865173,Nitrate,86,373,352,71.5500030518,MLDpt,3,464,463,34.6571502686,Salinity,11,478,469,274.11340332,Temperature,82,497,482,35.2432556152,Salinity,31,633,592,0.137441307306,Nitrate,85,666,649,299.635559082,Temperature,66,836,769,297.336547852,Temperature,3,859,856,299.118103027,Temperature,37,900,863,55.7999992371,MLDpt,32,951,922,-2.0,MLDpt,1,-1,-1,301.660888672,Temperature,2,984,983,985
