,Unnamed: 0,N0000: threshold ,N0000: feature ,N0000: n_node_samples ,N0000: RH child ,N0000: LH child ,N0001: threshold ,N0001: feature ,N0001: n_node_samples ,N0001: RH child ,N0001: LH child ,N0002: threshold ,N0002: feature ,N0002: n_node_samples ,N0002: RH child ,N0002: LH child ,N0003: threshold ,N0003: feature ,N0003: n_node_samples ,N0003: RH child ,N0003: LH child ,N0004: threshold ,N0004: feature ,N0004: n_node_samples ,N0004: RH child ,N0004: LH child ,N0005: threshold ,N0005: feature ,N0005: n_node_samples ,N0005: RH child ,N0005: LH child ,N0006: threshold ,N0006: feature ,N0006: n_node_samples ,N0006: RH child ,N0006: LH child ,N0007: threshold ,N0007: feature ,N0007: n_node_samples ,N0007: RH child ,N0007: LH child ,N0008: threshold ,N0008: feature ,N0008: n_node_samples ,N0008: RH child ,N0008: LH child ,N0009: threshold ,N0009: feature ,N0009: n_node_samples ,N0009: RH child ,N0009: LH child ,N0010: threshold ,N0010: feature ,N0010: n_node_samples ,N0010: RH child ,N0010: LH child ,N0011: threshold ,N0011: feature ,N0011: n_node_samples ,N0011: RH child ,N0011: LH child ,N0012: threshold ,N0012: feature ,N0012: n_node_samples ,N0012: RH child ,N0012: LH child ,N0013: threshold ,N0013: feature ,N0013: n_node_samples ,N0013: RH child ,N0013: LH child ,N0014: threshold ,N0014: feature ,N0014: n_node_samples ,N0014: RH child ,N0014: LH child ,N0015: threshold ,N0015: feature ,N0015: n_node_samples ,N0015: RH child ,N0015: LH child ,N0016: threshold ,N0016: feature ,N0016: n_node_samples ,N0016: RH child ,N0016: LH child ,N0017: threshold ,N0017: feature ,N0017: n_node_samples ,N0017: RH child ,N0017: LH child ,N0018: threshold ,N0018: feature ,N0018: n_node_samples ,N0018: RH child ,N0018: LH child ,N0019: threshold ,N0019: feature ,N0019: n_node_samples ,N0019: RH child ,N0019: LH child ,N0020: threshold ,N0020: feature ,N0020: n_node_samples ,N0020: RH child ,N0020: LH child ,N0021: threshold ,N0021: feature ,N0021: n_node_samples ,N0021: RH child ,N0021: LH child ,N0022: threshold ,N0022: feature ,N0022: n_node_samples ,N0022: RH child ,N0022: LH child ,N0023: threshold ,N0023: feature ,N0023: n_node_samples ,N0023: RH child ,N0023: LH child ,N0024: threshold ,N0024: feature ,N0024: n_node_samples ,N0024: RH child ,N0024: LH child ,N0025: threshold ,N0025: feature ,N0025: n_node_samples ,N0025: RH child ,N0025: LH child ,N0026: threshold ,N0026: feature ,N0026: n_node_samples ,N0026: RH child ,N0026: LH child ,N0027: threshold ,N0027: feature ,N0027: n_node_samples ,N0027: RH child ,N0027: LH child ,N0028: threshold ,N0028: feature ,N0028: n_node_samples ,N0028: RH child ,N0028: LH child ,N0029: threshold ,N0029: feature ,N0029: n_node_samples ,N0029: RH child ,N0029: LH child ,N0030: threshold ,N0030: feature ,N0030: n_node_samples ,N0030: RH child ,N0030: LH child ,n_nodes
0,0,292.468811035,Temperature,668,546,1,30.5,MLDpt,372,167,2,296.441589355,Temperature,296,684,547,188.108886719,SWrad,125,96,3,287.610168457,Temperature,247,459,168,5.09785795212,Nitrate,97,683,548,306.512817383,SWrad,199,962,685,279.66784668,Temperature,64,19,4,287.869628906,Temperature,61,136,97,35.0588607788,Salinity,196,388,169,144.309921265,SWrad,51,511,460,36.6898498535,Salinity,96,672,549,-2.0,MLDpt,1,-1,-1,35.9597015381,Salinity,195,899,686,298.432922363,Temperature,4,964,963,25.75,MLDpt,10,8,5,182.555297852,SWrad,54,75,20,286.653137207,Temperature,44,125,98,4.92161893845,Nitrate,17,166,137,279.980651855,Temperature,126,339,170,439.099975586,MLDpt,70,430,389,40.5,MLDpt,26,472,461,234.953491211,SWrad,25,533,512,0.164093226194,Nitrate,90,597,550,294.416381836,Temperature,6,680,673,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,1,-1,-1,0.109772548079,Nitrate,138,746,687,36.4509010315,Salinity,57,937,900,-2.0,MLDpt,2,-1,-1,309.42590332,SWrad,2,966,965,967
1,1,294.170715332,Temperature,667,616,1,7.70866441727,Nitrate,419,365,2,35.5857620239,Salinity,248,862,617,17.4500007629,MLDpt,231,96,3,35.5465393066,Salinity,188,615,366,226.5052948,SWrad,158,763,618,36.4500007629,Salinity,90,940,863,290.941345215,SWrad,55,95,4,280.042510986,Temperature,176,114,97,33.8787498474,Salinity,186,484,367,-2.0,MLDpt,2,-1,-1,299.046203613,Temperature,105,738,619,37.0,MLDpt,53,835,764,36.363910675,Salinity,62,921,864,0.145098030567,Nitrate,28,970,941,16.5499992371,MLDpt,54,92,5,-2.0,MLDpt,1,-1,-1,45.4000015259,MLDpt,9,111,98,292.24987793,Temperature,167,304,115,33.8620910645,Salinity,86,477,368,30.3999996185,MLDpt,100,488,485,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,1,-1,-1,62.75,MLDpt,83,715,620,0.37677770853,Nitrate,22,760,739,33.5221443176,Salinity,37,770,765,35.0051994324,Salinity,16,851,836,306.7578125,SWrad,39,916,865,298.725585938,Temperature,23,925,922,0.13121253252,Nitrate,19,967,942,2.012560606,Nitrate,9,986,971,987
2,2,294.271484375,Temperature,660,650,1,7.54901266098,Nitrate,435,381,2,307.362884521,SWrad,225,990,651,33.6955871582,Salinity,240,82,3,286.095092773,Temperature,195,645,382,35.6942367554,Salinity,221,877,652,35.9753417969,Salinity,4,996,991,20.9938087463,Salinity,44,17,4,292.357910156,Temperature,196,316,83,30.2999992371,MLDpt,191,402,383,287.625427246,Temperature,4,647,646,261.699462891,SWrad,141,834,653,36.4525985718,Salinity,80,941,878,45.5,MLDpt,3,995,992,-2.0,MLDpt,1,-1,-1,290.669952393,Temperature,8,14,5,278.596130371,Temperature,36,29,18,18.8999996185,MLDpt,154,131,84,59.2999992371,MLDpt,42,358,317,34.4585075378,Salinity,27,399,384,33.9092445374,Salinity,164,520,403,-2.0,MLDpt,1,-1,-1,9.56903839111,Nitrate,3,649,648,54.5,MLDpt,119,795,654,22.1000003815,MLDpt,22,848,835,38.25,MLDpt,45,916,879,294.451904297,Temperature,35,945,942,19.9499988556,MLDpt,2,994,993,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,1,-1,-1,997
3,3,294.359893799,Temperature,652,616,1,287.610168457,Temperature,418,371,2,35.5805130005,Salinity,234,840,617,35.2390518188,Salinity,267,320,3,32.5130996704,Salinity,151,399,372,0.109772548079,Nitrate,148,681,618,36.672454834,Salinity,86,934,841,7.64223766327,Nitrate,202,107,4,250.0,MLDpt,65,348,321,0.120813146234,Nitrate,16,376,373,288.122955322,Temperature,135,419,400,296.199035645,SWrad,35,676,619,0.137441307306,Nitrate,113,697,682,285.643310547,SWrad,71,911,842,55.7999992371,MLDpt,15,950,935,3.04713439941,Nitrate,59,42,5,282.64263916,Temperature,143,311,108,60.5636062622,SWrad,26,327,322,359.450012207,MLDpt,39,350,349,178.38621521,SWrad,2,375,374,184.69039917,SWrad,14,396,377,1.11537969112,Nitrate,10,404,401,105.349998474,MLDpt,125,601,420,35.3435516357,Salinity,32,663,620,0.0113275181502,Nitrate,3,680,677,297.120300293,Temperature,24,686,683,43.25,MLDpt,89,799,698,298.729614258,Temperature,59,888,843,0.165342584252,Nitrate,12,917,912,36.7093963623,Salinity,8,937,936,0.215624332428,Nitrate,7,956,951,963
4,4,292.667449951,Temperature,651,526,1,7.54901266098,Nitrate,374,269,2,36.6437911987,Salinity,277,924,527,34.3014526367,Salinity,175,94,3,287.900146484,Temperature,199,523,270,306.512817383,SWrad,259,919,528,296.699066162,Temperature,18,942,925,6.44272422791,Nitrate,53,85,4,35.2340011597,Salinity,122,178,95,31.3999996185,MLDpt,196,302,271,123.441116333,SWrad,3,525,524,294.376800537,Temperature,256,576,529,298.432922363,Temperature,3,921,920,101.949996948,MLDpt,10,941,926,0.0885677784681,Nitrate,8,946,943,290.568450928,Temperature,47,62,5,65.7000045776,MLDpt,6,93,86,19.7000007629,MLDpt,51,113,96,289.19732666,Temperature,71,216,179,9.14002799988,Nitrate,43,275,272,33.8638877869,Salinity,153,388,303,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,2,-1,-1,56.9000015259,MLDpt,32,557,530,35.9597015381,Salinity,224,848,577,-2.0,MLDpt,1,-1,-1,30.8500003815,MLDpt,2,923,922,294.326965332,Temperature,9,934,927,-2.0,MLDpt,1,-1,-1,207.796356201,SWrad,2,945,944,36.8763427734,Salinity,6,950,947,957
5,5,294.359893799,Temperature,674,614,1,287.433349609,Temperature,420,387,2,0.248153030872,Nitrate,254,844,615,30.2999992371,MLDpt,285,84,3,240.529144287,SWrad,135,577,388,178.761947632,SWrad,175,669,616,301.704772949,Temperature,79,982,845,176.63067627,SWrad,78,41,4,34.9910545349,Salinity,207,326,85,234.54309082,SWrad,110,566,389,290.246887207,Temperature,25,587,578,160.325012207,SWrad,52,640,617,36.1500015259,MLDpt,123,799,670,303.665405273,SWrad,77,979,846,0.727590560913,Nitrate,2,984,983,279.26940918,Temperature,29,12,5,16.25,MLDpt,49,49,42,7.82771015167,Nitrate,144,131,86,208.099243164,SWrad,63,386,327,40.5,MLDpt,100,479,390,35.4180603027,Salinity,10,568,567,35.2129898071,Salinity,6,580,579,35.5216369629,Salinity,19,597,588,36.5593490601,Salinity,16,639,618,34.0282363892,Salinity,36,642,641,298.099121094,Temperature,93,730,671,0.113809294999,Nitrate,30,829,800,30.2999992371,MLDpt,75,892,847,0.665644466877,Nitrate,2,981,980,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,1,-1,-1,985
6,6,294.359893799,Temperature,654,598,1,7.54901266098,Nitrate,417,337,2,35.6234130859,Salinity,237,826,599,278.927764893,Temperature,221,16,3,32.6500015259,MLDpt,196,383,338,35.5952606201,Salinity,146,825,600,36.672454834,Salinity,91,942,827,277.63659668,Temperature,9,11,4,13.1499996185,MLDpt,212,78,17,282.509399414,Temperature,43,378,339,33.1289520264,Salinity,153,389,384,301.791320801,Temperature,145,804,601,-2.0,MLDpt,1,-1,-1,6.35000038147,MLDpt,79,829,828,177.593963623,SWrad,12,948,943,277.348693848,Temperature,6,6,5,5.66148233414,Nitrate,3,15,12,5.69999980927,MLDpt,36,29,18,292.357910156,Temperature,176,284,79,32.8686943054,Salinity,33,343,340,9.78199195862,Nitrate,10,382,379,122.550003052,MLDpt,12,388,385,33.9105911255,Salinity,141,491,390,301.065612793,Temperature,133,779,602,33.9446563721,Salinity,12,816,805,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,1,-1,-1,-2.0,MLDpt,1,-1,-1,36.4144515991,Salinity,78,895,830,297.006591797,Temperature,3,947,944,0.0877355188131,Nitrate,9,954,949,963
7,7,293.48034668,Temperature,665,592,1,7.70866441727,Nitrate,406,363,2,0.0435767397285,Nitrate,259,656,593,34.0219993591,Salinity,234,86,3,286.095092773,Temperature,172,585,364,184.915878296,SWrad,49,603,594,1.22416973114,Nitrate,210,970,657,59.25,MLDpt,47,83,4,292.357910156,Temperature,187,324,87,33.8638877869,Salinity,168,466,365,26.1000003815,MLDpt,4,587,586,0.0147720631212,Nitrate,11,598,595,35.704208374,Salinity,38,635,604,34.1134414673,Salinity,193,759,658,259.914550781,SWrad,17,994,971,280.213745117,Temperature,45,20,5,3.96126174927,Nitrate,2,85,84,35.2340011597,Salinity,157,223,88,292.906494141,Temperature,30,344,325,33.8620910645,Salinity,79,465,366,30.3999996185,MLDpt,89,474,467,-2.0,MLDpt,1,-1,-1,123.441116333,SWrad,3,589,588,296.914489746,Temperature,2,597,596,298.725585938,Temperature,9,602,599,14.3500003815,MLDpt,16,618,605,299.576416016,Temperature,22,645,636,61.4000015259,MLDpt,68,756,659,0.57299888134,Nitrate,125,941,760,206.191558838,SWrad,12,975,972,281.468261719,SWrad,5,998,995,1003
8,8,294.359893799,Temperature,681,622,1,287.62713623,Temperature,433,383,2,35.9544563293,Salinity,248,862,623,30.3999996185,MLDpt,288,84,3,35.4063415527,Salinity,145,499,384,228.562484741,SWrad,161,759,624,36.446647644,Salinity,87,910,863,179.909439087,SWrad,81,45,4,35.0597496033,Salinity,207,326,85,35.1383972168,Salinity,60,492,385,292.468811035,Temperature,85,567,500,299.046203613,Temperature,107,728,625,294.55178833,Temperature,54,763,760,281.566894531,SWrad,48,895,864,36.672454834,Salinity,39,944,911,279.26940918,Temperature,36,12,5,288.656799316,SWrad,45,83,46,121.900001526,MLDpt,143,283,86,278.549987793,MLDpt,64,358,327,32.7999992371,MLDpt,56,467,386,287.959503174,Temperature,4,494,493,3.3884806633,Nitrate,45,564,501,36.6888961792,Salinity,40,613,568,72.6500015259,MLDpt,78,727,626,34.6537475586,Salinity,29,750,729,20.25,MLDpt,2,762,761,297.144866943,SWrad,52,859,764,0.0701576769352,Nitrate,38,886,865,0.162973463535,Nitrate,10,899,896,36.4901504517,Salinity,25,919,912,55.7999992371,MLDpt,14,954,945,971
9,9,293.421569824,Temperature,669,592,1,8.34066963196,Nitrate,412,353,2,0.328930199146,Nitrate,257,868,593,34.3014526367,Salinity,230,114,3,33.8787498474,Salinity,182,471,354,35.8095626831,Salinity,185,775,594,301.634643555,Temperature,72,988,869,42.5499992371,MLDpt,66,99,4,292.357910156,Temperature,164,318,115,33.8620910645,Salinity,89,466,355,32.6500015259,MLDpt,93,485,472,0.109772548079,Nitrate,116,654,595,36.8469009399,Salinity,69,863,776,48.7999992371,MLDpt,69,931,870,265.922912598,SWrad,3,990,989,280.042510986,Temperature,55,16,5,119.205368042,SWrad,11,107,100,35.2340011597,Salinity,137,237,116,0.0482110567391,Nitrate,27,324,319,18.5925865173,Nitrate,86,377,356,71.5500030518,MLDpt,3,468,467,34.6571502686,Salinity,11,482,473,274.11340332,Temperature,82,501,486,249.09777832,SWrad,31,633,596,0.137441307306,Nitrate,85,672,655,299.635559082,Temperature,66,844,777,36.9875869751,Salinity,3,865,864,209.116394043,SWrad,37,900,871,55.7999992371,MLDpt,32,961,932,-2.0,MLDpt,1,-1,-1,59.0999984741,MLDpt,2,992,991,993
