,Unnamed: 0,N0000: threshold ,N0000: feature ,N0000: n_node_samples ,N0000: RH child ,N0000: LH child ,N0001: threshold ,N0001: feature ,N0001: n_node_samples ,N0001: RH child ,N0001: LH child ,N0002: threshold ,N0002: feature ,N0002: n_node_samples ,N0002: RH child ,N0002: LH child ,N0003: threshold ,N0003: feature ,N0003: n_node_samples ,N0003: RH child ,N0003: LH child ,N0004: threshold ,N0004: feature ,N0004: n_node_samples ,N0004: RH child ,N0004: LH child ,N0005: threshold ,N0005: feature ,N0005: n_node_samples ,N0005: RH child ,N0005: LH child ,N0006: threshold ,N0006: feature ,N0006: n_node_samples ,N0006: RH child ,N0006: LH child ,N0007: threshold ,N0007: feature ,N0007: n_node_samples ,N0007: RH child ,N0007: LH child ,N0008: threshold ,N0008: feature ,N0008: n_node_samples ,N0008: RH child ,N0008: LH child ,N0009: threshold ,N0009: feature ,N0009: n_node_samples ,N0009: RH child ,N0009: LH child ,N0010: threshold ,N0010: feature ,N0010: n_node_samples ,N0010: RH child ,N0010: LH child ,N0011: threshold ,N0011: feature ,N0011: n_node_samples ,N0011: RH child ,N0011: LH child ,N0012: threshold ,N0012: feature ,N0012: n_node_samples ,N0012: RH child ,N0012: LH child ,N0013: threshold ,N0013: feature ,N0013: n_node_samples ,N0013: RH child ,N0013: LH child ,N0014: threshold ,N0014: feature ,N0014: n_node_samples ,N0014: RH child ,N0014: LH child ,N0015: threshold ,N0015: feature ,N0015: n_node_samples ,N0015: RH child ,N0015: LH child ,N0016: threshold ,N0016: feature ,N0016: n_node_samples ,N0016: RH child ,N0016: LH child ,N0017: threshold ,N0017: feature ,N0017: n_node_samples ,N0017: RH child ,N0017: LH child ,N0018: threshold ,N0018: feature ,N0018: n_node_samples ,N0018: RH child ,N0018: LH child ,N0019: threshold ,N0019: feature ,N0019: n_node_samples ,N0019: RH child ,N0019: LH child ,N0020: threshold ,N0020: feature ,N0020: n_node_samples ,N0020: RH child ,N0020: LH child ,N0021: threshold ,N0021: feature ,N0021: n_node_samples ,N0021: RH child ,N0021: LH child ,N0022: threshold ,N0022: feature ,N0022: n_node_samples ,N0022: RH child ,N0022: LH child ,N0023: threshold ,N0023: feature ,N0023: n_node_samples ,N0023: RH child ,N0023: LH child ,N0024: threshold ,N0024: feature ,N0024: n_node_samples ,N0024: RH child ,N0024: LH child ,N0025: threshold ,N0025: feature ,N0025: n_node_samples ,N0025: RH child ,N0025: LH child ,N0026: threshold ,N0026: feature ,N0026: n_node_samples ,N0026: RH child ,N0026: LH child ,N0027: threshold ,N0027: feature ,N0027: n_node_samples ,N0027: RH child ,N0027: LH child ,N0028: threshold ,N0028: feature ,N0028: n_node_samples ,N0028: RH child ,N0028: LH child ,N0029: threshold ,N0029: feature ,N0029: n_node_samples ,N0029: RH child ,N0029: LH child ,N0030: threshold ,N0030: feature ,N0030: n_node_samples ,N0030: RH child ,N0030: LH child ,n_nodes
0,0,292.468811035,Temperature,668,568,1,-34.5,Depth,372,501,2,296.441589355,Temperature,296,706,569,7.70866441727,Nitrate,335,256,3,277.554748535,Temperature,37,505,502,-845.5,Depth,97,651,570,-3721.0,Depth,199,834,707,278.477783203,Temperature,163,9,4,-67.5,Depth,172,480,257,274.854125977,Temperature,3,504,503,-12.5,Depth,34,545,506,5.09785795212,Nitrate,45,650,571,36.6184501648,Salinity,52,701,652,0.0247581377625,Nitrate,67,723,708,0.233815148473,Nitrate,132,958,835,32.9491500854,Salinity,6,6,5,-83.0,Depth,157,199,10,33.9016418457,Salinity,138,363,258,273.417999268,Temperature,34,498,481,-2.0,Salinity,1,-1,-1,-2.0,Salinity,2,-1,-1,32.2937011719,Salinity,22,518,507,1.67595207691,Nitrate,12,551,546,36.6895523071,Salinity,44,639,572,-2.0,Salinity,1,-1,-1,34.1372108459,Salinity,44,684,653,36.646900177,Salinity,8,705,702,0.0103463511914,Nitrate,9,716,709,0.245978236198,Nitrate,58,791,724,-9.0,Depth,96,949,836,301.533630371,Temperature,36,1014,959,1017
1,1,294.170715332,Temperature,667,650,1,7.70866441727,Nitrate,419,385,2,-25.5,Depth,248,992,651,-22.5,Depth,231,344,3,35.5465393066,Salinity,188,649,386,35.5857620239,Salinity,205,879,652,33.1598892212,Salinity,43,1002,993,278.917175293,Temperature,209,9,4,1.06696629524,Nitrate,22,358,345,33.8787498474,Salinity,186,504,387,-2.0,Salinity,2,-1,-1,-5501.5,Depth,135,666,653,-3326.0,Depth,70,963,880,0.272478640079,Nitrate,5,1001,994,-9.0,Depth,38,1032,1003,33.4238967896,Salinity,3,8,5,-111.5,Depth,206,237,10,27.7895507812,Salinity,8,349,346,2.5226316452,Nitrate,14,364,359,33.8620910645,Salinity,86,497,388,-67.0,Depth,100,646,505,-2.0,Salinity,1,-1,-1,-2.0,Salinity,1,-1,-1,0.354832857847,Nitrate,9,665,654,0.807698309422,Nitrate,126,852,667,2.17573690414,Nitrate,48,956,881,0.173843711615,Nitrate,22,985,964,-9.0,Depth,4,998,995,-2.0,Salinity,1,-1,-1,299.443695068,Temperature,28,1027,1004,0.137780785561,Nitrate,10,1042,1033,1045
2,2,294.271484375,Temperature,660,684,1,-35.0,Depth,435,607,2,-4861.5,Depth,225,746,685,8.34066963196,Nitrate,388,352,3,277.68145752,Temperature,47,611,608,-5584.0,Depth,32,695,686,0.0442423149943,Nitrate,193,790,747,278.477783203,Temperature,210,11,4,35.5465393066,Salinity,178,606,353,23.0729980469,Salinity,3,610,609,-23.0,Depth,44,647,612,295.206787109,Temperature,6,688,687,301.161804199,Temperature,26,735,696,0.0417323000729,Nitrate,31,787,748,1.44863450527,Nitrate,162,1020,791,33.4238967896,Salinity,5,10,5,-111.5,Depth,205,269,12,33.9092445374,Salinity,176,479,354,-2.0,Salinity,2,-1,-1,-2.0,Salinity,2,-1,-1,-2.0,Salinity,1,-1,-1,32.3094902039,Salinity,24,616,613,290.728210449,Temperature,20,671,648,-2.0,Salinity,1,-1,-1,-6224.5,Depth,5,692,689,0.00915481429547,Nitrate,20,700,697,-5102.5,Depth,6,739,736,-4700.0,Depth,25,754,749,-14.5,Depth,6,789,788,-16.5,Depth,153,999,792,36.0626602173,Salinity,9,1034,1021,1037
3,3,294.359893799,Temperature,652,652,1,-32.5,Depth,418,565,2,-4398.5,Depth,234,754,653,7.64223766327,Nitrate,364,312,3,277.554748535,Temperature,54,569,566,-5650.5,Depth,54,663,654,35.5805130005,Salinity,180,932,755,35.2428970337,Salinity,183,165,4,-61.5,Depth,181,540,313,-14.0,Depth,3,568,567,-11.5,Depth,51,623,570,0.0803474187851,Nitrate,7,658,655,0.0219096448272,Nitrate,47,675,664,-24.5,Depth,117,907,756,36.6898498535,Salinity,63,1006,933,278.917175293,Temperature,87,8,5,292.032470703,Temperature,96,257,166,285.885681152,Temperature,140,535,314,34.6571502686,Salinity,41,562,541,-2.0,Salinity,1,-1,-1,-2.0,Salinity,2,-1,-1,32.5130996704,Salinity,35,584,571,-10.5,Depth,16,625,624,-5761.0,Depth,4,657,656,298.152160645,Temperature,3,660,659,299.689605713,Temperature,6,672,665,0.110093899071,Nitrate,41,711,676,0.0620727650821,Nitrate,91,776,757,299.101745605,Temperature,26,927,908,-3849.0,Depth,57,939,934,-3799.5,Depth,6,1010,1007,1017
4,4,292.667449951,Temperature,651,564,1,-34.5,Depth,374,505,2,36.6437911987,Salinity,277,980,565,7.70866441727,Nitrate,343,250,3,32.3673019409,Salinity,31,531,506,-16.5,Depth,259,953,566,296.699066162,Temperature,18,998,981,278.477783203,Temperature,157,7,4,288.813781738,Temperature,186,504,251,-4.5,Depth,13,528,507,-6.5,Depth,18,561,532,35.6192474365,Salinity,241,830,567,33.3740921021,Salinity,18,961,954,293.133483887,Temperature,10,983,982,0.0885677784681,Nitrate,8,1002,999,33.4238967896,Salinity,3,6,5,-111.0,Depth,154,175,8,33.8638877869,Salinity,184,361,252,-2.0,Salinity,2,-1,-1,289.877716064,Temperature,11,511,508,2.5226316452,Nitrate,2,530,529,289.511199951,Temperature,16,546,533,34.4998931885,Salinity,2,563,562,35.5640029907,Salinity,154,821,568,-4081.0,Depth,87,870,831,0.268025755882,Nitrate,4,960,955,0.228718906641,Nitrate,14,979,962,-2.0,Salinity,1,-1,-1,294.326965332,Temperature,9,991,984,-4770.0,Depth,2,1001,1000,36.8763427734,Salinity,6,1006,1003,1013
5,5,294.359893799,Temperature,674,644,1,-32.5,Depth,420,573,2,-16.5,Depth,254,1012,645,7.70866441727,Nitrate,375,318,3,277.554748535,Temperature,45,579,574,-4069.0,Depth,230,777,646,33.3740921021,Salinity,24,1020,1013,-86.5,Depth,191,257,4,33.8787498474,Salinity,184,436,319,14.5680541992,Nitrate,5,576,575,-22.5,Depth,40,611,580,-5426.5,Depth,70,662,647,299.664855957,Temperature,160,963,778,296.747009277,Temperature,5,1015,1014,-9.0,Depth,19,1026,1021,292.332550049,Temperature,151,198,5,-49.0,Depth,40,281,258,14.1372652054,Nitrate,91,329,320,-67.0,Depth,93,568,437,-2.0,Salinity,3,-1,-1,272.077453613,Temperature,2,578,577,0.247359156609,Nitrate,22,584,581,289.511199951,Temperature,18,631,612,0.112966671586,Nitrate,11,659,648,301.126464844,Temperature,59,756,663,35.8899002075,Salinity,126,904,779,0.638674139977,Nitrate,34,1007,964,-2.0,Salinity,2,-1,-1,0.268025755882,Nitrate,3,1019,1016,34.5700492859,Salinity,9,1025,1022,34.5700492859,Salinity,10,1030,1027,1039
6,6,294.359893799,Temperature,654,636,1,7.54901266098,Nitrate,417,359,2,-25.5,Depth,237,968,637,278.927764893,Temperature,221,16,3,-64.0,Depth,196,601,360,-5513.5,Depth,188,651,638,33.3740921021,Salinity,49,980,969,-238.0,Depth,9,9,4,-83.0,Depth,212,250,17,287.892333984,Temperature,151,600,361,272.394958496,Temperature,45,619,602,35.5546607971,Salinity,7,650,639,301.752990723,Temperature,181,947,652,0.272478640079,Nitrate,8,979,970,-13.5,Depth,41,1006,981,-414.5,Depth,5,8,5,7.00024223328,Nitrate,4,15,10,288.140808105,Temperature,142,107,18,32.698600769,Salinity,70,270,251,33.9105911255,Salinity,149,479,362,-2.0,Salinity,2,-1,-1,271.705993652,Temperature,13,614,603,282.370849609,Temperature,32,633,620,0.354832857847,Nitrate,6,647,640,-2.0,Salinity,1,-1,-1,37.0216903687,Salinity,169,940,653,-3733.5,Depth,12,953,948,-9.0,Depth,7,974,971,-2.0,Salinity,1,-1,-1,0.159018039703,Nitrate,28,1003,982,0.0650602206588,Nitrate,13,1010,1007,1023
7,7,293.48034668,Temperature,665,642,1,-32.5,Depth,406,563,2,-15.5,Depth,259,1048,643,7.70866441727,Nitrate,362,322,3,277.554748535,Temperature,44,567,564,0.0435767397285,Nitrate,241,711,644,33.3740921021,Salinity,18,1058,1049,278.477783203,Temperature,192,11,4,-61.5,Depth,170,536,323,14.9168624878,Nitrate,2,566,565,-11.5,Depth,42,615,568,-2453.0,Depth,45,694,645,1.22416973114,Nitrate,196,1017,712,-9.0,Depth,5,1051,1050,-10.5,Depth,13,1060,1059,-414.5,Depth,5,8,5,-111.0,Depth,187,239,12,33.8638877869,Salinity,129,407,324,10.5755691528,Nitrate,41,538,537,-2.0,Salinity,1,-1,-1,-2.0,Salinity,1,-1,-1,31.721660614,Salinity,27,582,569,-10.5,Depth,15,621,616,294.834289551,Temperature,27,647,646,302.600036621,Temperature,18,710,695,-3740.5,Depth,179,822,713,35.5863113403,Salinity,17,1033,1018,-2.0,Salinity,1,-1,-1,-4.0,Depth,4,1055,1052,-2.0,Salinity,3,-1,-1,300.542175293,Temperature,10,1072,1061,1073
8,8,294.359893799,Temperature,681,652,1,287.62713623,Temperature,433,405,2,-4005.0,Depth,248,786,653,-100.0,Depth,288,316,3,-972.0,Depth,145,537,406,294.611083984,Temperature,69,657,654,35.9544563293,Salinity,179,948,787,33.7273864746,Salinity,202,67,4,277.554748535,Temperature,86,344,317,4.86501502991,Nitrate,76,530,407,-11.5,Depth,69,641,538,35.5867118835,Salinity,2,656,655,300.742919922,Temperature,67,747,658,0.248153030872,Nitrate,112,875,788,36.6898498535,Salinity,67,1016,949,-435.0,Depth,38,54,5,6.91052436829,Nitrate,164,131,68,272.539794922,Temperature,42,335,318,278.513885498,Temperature,44,348,345,292.05090332,Temperature,71,485,408,6.63562011719,Nitrate,5,534,531,36.6142501831,Salinity,63,638,539,288.982269287,Temperature,6,645,642,-2.0,Salinity,1,-1,-1,-2.0,Salinity,1,-1,-1,34.5946502686,Salinity,47,662,659,0.0216184072196,Nitrate,20,753,748,-16.5,Depth,67,860,789,-4.0,Depth,45,947,876,36.0443611145,Salinity,61,955,950,296.531494141,Temperature,6,1024,1017,1027
9,9,293.421569824,Temperature,669,632,1,-111.5,Depth,412,425,2,-3728.0,Depth,257,794,633,289.19229126,Temperature,264,330,3,9.18629455566,Nitrate,148,599,426,294.817626953,Temperature,83,651,634,0.248153030872,Nitrate,174,950,795,33.8787498474,Salinity,204,107,4,1.65393280983,Nitrate,60,410,331,12.6887493134,Salinity,108,430,427,33.3662109375,Salinity,40,613,600,1.94523215294,Nitrate,9,648,635,-4857.0,Depth,74,723,652,34.5828437805,Salinity,112,869,796,-3657.5,Depth,62,962,951,7.85596609116,Nitrate,58,12,5,-4504.0,Depth,146,151,108,36.5822372437,Salinity,51,397,332,1.8250977993,Nitrate,9,412,411,-48.5,Depth,3,429,428,32.7788009644,Salinity,105,462,431,32.4150886536,Salinity,28,604,601,25.2802886963,Nitrate,12,625,614,293.874053955,Temperature,7,641,636,-4135.0,Depth,2,650,649,34.7250099182,Salinity,37,664,653,-4662.5,Depth,37,739,724,-16.0,Depth,48,856,797,299.046203613,Temperature,64,929,870,35.8017120361,Salinity,6,959,952,33.948890686,Salinity,56,1010,963,1053
