,Unnamed: 0,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,0,500,Temperature,100.0,1.95450549248,17.4173980713,17.3631212769,0,0,643.098,643.0
1,1,410,Depth,82.0,37.2444088371,-36.5,-65.056097561,1,1,329.0,326.0
2,2,52,Temperature,10.4,0.337530370643,14.450769043,14.5192997859,1,1,329.0,326.0
3,3,32,Salinity,6.4,0.933262047747,32.1671524048,32.3992440701,1,1,329.0,326.0
4,4,6,Phosphate,1.2,0.00207433173773,0.0584447793663,0.0578101035208,1,1,329.0,326.0
5,5,220,Phosphate,44.0,0.227574639719,1.19507598877,1.11034513676,1,2,248.147058824,243.0
6,6,185,Temperature,37.0,1.37343209402,22.0735107422,22.5051464184,1,2,248.147058824,243.0
7,7,61,Depth,12.2,1924.55681755,-507.5,-1916.69672131,1,2,248.147058824,243.0
8,8,34,Salinity,6.8,0.427888898856,35.6025295258,35.7952083139,1,2,248.147058824,243.0
9,11,120,Temperature,24.0,1.67860010364,14.4516845703,14.0212880452,2,3,163.425,212.0
10,12,40,Phosphate,8.0,0.319629370698,0.0727145187557,0.252339725848,2,3,163.425,212.0
11,9,204,Salinity,40.8,2.55657919909,33.8187866211,33.3680634218,2,3,163.425,212.0
12,10,136,Depth,27.2,106.780128521,-101.0,-127.047794118,2,3,163.425,212.0
13,13,229,Temperature,45.8,2.18271746182,4.40474853516,4.73454773749,2,4,35.8571428571,25.0
14,14,181,Phosphate,36.2,0.38448258404,0.188036471605,0.367594964144,2,4,35.8571428571,25.0
15,15,69,Depth,13.8,565.062941613,-100.5,-340.289855072,2,4,35.8571428571,25.0
16,16,21,Salinity,4.2,3.72978255019,34.1160049438,33.0945000421,2,4,35.8571428571,25.0
17,17,251,Temperature,50.2,1.33964314866,21.2268005371,21.9830718386,2,5,188.176470588,201.0
18,18,141,Phosphate,28.2,0.327143135742,0.905983448029,0.856592914208,2,5,188.176470588,201.0
