,Unnamed: 0,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,0,500,Temperature,100.0,1.95450549248,17.4173980713,17.3631212769,0,0,643.098,643.0
1,1,359,Nitrate,71.8,0.674406275503,7.70866441727,7.89249214169,1,1,379.346153846,393.0
2,2,115,Salinity,23.0,1.36884194157,32.1671524048,32.9426874575,1,1,379.346153846,393.0
3,3,26,Temperature,5.2,0.196394870302,14.450769043,14.454775062,1,1,379.346153846,393.0
4,4,338,Temperature,67.6,1.42572520787,22.8981567383,22.4420067962,1,2,257.456140351,244.0
5,5,105,Nitrate,21.0,1.80218982017,5.92204284668,4.93151304447,1,2,257.456140351,244.0
6,6,57,Salinity,11.4,0.525228843893,35.6898040771,35.9981087133,1,2,257.456140351,244.0
7,8,97,Nitrate,19.4,3.92546119154,0.225016474724,3.8226395827,2,3,104.125,104.5
8,9,40,Temperature,8.0,1.7822826843,6.4323059082,6.80866012573,2,3,104.125,104.5
9,7,363,Salinity,72.6,3.9895051237,35.202507019,33.7060302493,2,3,104.125,104.5
10,10,345,Salinity,69.0,0.374930636121,33.885887146,33.8901696025,2,4,160.125,172.0
11,11,91,Nitrate,18.2,1.80926470522,7.64223766327,7.22705835317,2,4,160.125,172.0
12,12,64,Temperature,12.8,2.43261280423,14.3327880859,13.3721180916,2,4,160.125,172.0
13,13,282,Nitrate,56.4,1.62400380573,5.94885778427,5.25833362118,2,5,138.666666667,138.0
14,14,137,Temperature,27.4,2.56307638457,21.2268005371,21.5168897197,2,5,138.666666667,138.0
15,15,81,Salinity,16.2,10.5468589736,35.3890914917,31.6787197443,2,5,138.666666667,138.0
16,18,93,Nitrate,18.6,2.4290675484,2.304271698,2.23074102654,2,6,155.494623656,189.0
17,16,284,Salinity,56.8,0.41876661118,35.6086044312,35.6992051568,2,6,155.494623656,189.0
18,17,123,Temperature,24.6,3.40950051294,21.7800537109,22.336674239,2,6,155.494623656,189.0
19,20,172,Temperature,34.4,4.70978317179,5.97210083008,8.75828474178,3,7,51.6666666667,54.5
20,21,156,Salinity,31.2,8.7551490784,31.7439203262,27.1070733743,3,7,51.6666666667,54.5
21,19,172,Nitrate,34.4,3.42967953474,6.42849493027,4.12909921207,3,7,51.6666666667,54.5
22,22,218,Salinity,43.6,9.17202011996,35.2340011597,31.0973003895,3,8,52.8481012658,34.0
23,23,203,Temperature,40.6,2.7579438745,14.5072875977,14.4591249964,3,8,52.8481012658,34.0
24,24,79,Nitrate,15.8,2.89394085649,2.90080952644,3.22475652585,3,8,52.8481012658,34.0
25,25,323,Salinity,64.6,4.0494966849,33.882900238,33.5421438896,3,9,89.1470588235,80.5
26,26,109,Nitrate,21.8,8.57298477249,14.1372652054,16.0651727008,3,9,89.1470588235,80.5
27,27,68,Temperature,13.6,4.20441970183,6.84563598633,6.75926046932,3,9,89.1470588235,80.5
28,30,81,Nitrate,16.2,9.59181798103,8.59042930603,12.6449259006,3,10,75.4444444444,89.0
29,28,295,Temperature,59.0,4.51452789076,13.0454956055,11.7878193484,3,10,75.4444444444,89.0
30,29,124,Salinity,24.8,9.49658125418,33.885887146,31.6944022332,3,10,75.4444444444,89.0
31,33,64,Nitrate,12.8,2.57311967904,0.144439354539,1.79000545561,3,11,85.890625,73.0
32,32,152,Temperature,30.4,3.2294632486,19.3188110352,19.7754070081,3,11,85.890625,73.0
33,31,284,Salinity,56.8,10.0591593797,35.0575485229,32.138651915,3,11,85.890625,73.0
34,34,221,Salinity,44.2,7.43434997645,35.1977005005,33.7425397899,3,12,113.75,113.0
35,35,171,Temperature,34.2,3.22149795307,19.325189209,20.5129276387,3,12,113.75,113.0
36,36,108,Nitrate,21.6,3.06783700888,5.11130976677,4.2556284309,3,12,113.75,113.0
37,39,158,Salinity,31.6,7.32463620034,35.0843505859,33.5803588915,3,13,87.5632911392,76.0
38,37,173,Nitrate,34.6,1.974290153,0.110776647925,0.952850735579,3,13,87.5632911392,76.0
39,38,169,Temperature,33.8,4.08719961784,26.1933227539,24.3696847408,3,13,87.5632911392,76.0
40,41,131,Nitrate,26.2,2.26473204807,2.30463433266,2.64133354192,3,14,59.1145038168,64.0
41,42,131,Temperature,26.2,2.6867450399,26.3303466797,25.0474431395,3,14,59.1145038168,64.0
42,40,238,Salinity,47.6,10.8516851937,36.0382423401,32.7556734967,3,14,59.1145038168,64.0
